date	freq
2015-06-01	81
2015-06-02	90
2015-06-03	271
2015-06-04	78
2015-06-05	71
2015-06-06	69
2015-06-07	87
2015-06-08	82
2015-06-09	64
2015-06-10	38
2015-06-11	101
2015-06-12	140
2015-06-13	89
2015-06-14	104
2015-06-15	63
2015-06-16	86
2015-06-17	81
2015-06-18	70
2015-06-19	82
2015-06-20	86
2015-06-21	100
2015-06-22	79
2015-06-23	70
2015-06-24	75
2015-06-25	67
2015-06-26	96
2015-06-27	93
2015-06-28	105
2015-06-29	70
2015-06-30	104
2015-07-01	71
2015-07-02	102
2015-07-03	72
2015-07-04	80
2015-07-05	91
2015-07-06	81
2015-07-07	68
2015-07-08	89
2015-07-09	74
2015-07-10	70
2015-07-11	89
2015-07-12	70
2015-07-13	69
2015-07-14	90
2015-07-15	51
2015-07-16	78
2015-07-17	75
2015-07-18	80
2015-07-19	69
2015-07-20	100
2015-07-21	67
2015-07-22	59
2015-07-23	62
2015-07-24	64
2015-07-25	103
2015-07-26	87
2015-07-27	80
2015-07-28	80
2015-07-29	78
2015-07-30	80
2015-07-31	73
2015-08-01	61
2015-08-02	93
2015-08-03	71
2015-08-04	86
2015-08-05	108
2015-08-06	81
2015-08-07	67
2015-08-08	63
2015-08-09	79
2015-08-10	71
2015-08-11	75
2015-08-12	70
2015-08-13	77
2015-08-14	60
2015-08-15	82
2015-08-16	76
2015-08-17	66
2015-08-18	74
2015-08-19	71
2015-08-20	76
2015-08-21	79
2015-08-22	94
2015-08-23	102
2015-08-24	86
2015-08-25	79
2015-08-26	72
2015-08-27	102
2015-08-28	121
2015-08-29	76
2015-08-30	56
2015-08-31	74
2015-09-01	68
2015-09-02	89
2015-09-03	85
2015-09-04	67
2015-09-05	86
2015-09-06	74
2015-09-07	71
2015-09-08	74
2015-09-09	582
2015-09-10	196
2015-09-11	112
2015-09-12	102
2015-09-13	111
2015-09-14	93
2015-09-15	100
2015-09-16	53
2015-09-17	68
2015-09-18	83
2015-09-19	74
2015-09-20	72
2015-09-21	74
2015-09-22	67
2015-09-23	74
2015-09-24	65
2015-09-25	83
2015-09-26	80
2015-09-27	98
2015-09-28	65
2015-09-29	71
2015-09-30	61
2015-10-01	69
2015-10-02	72
2015-10-03	69
2015-10-04	91
2015-10-05	81
2015-10-06	65
2015-10-07	70
2015-10-08	63
2015-10-09	82
2015-10-10	80
2015-10-11	65
2015-10-12	73
2015-10-13	60
2015-10-14	75
2015-10-15	59
2015-10-16	75
2015-10-17	94
2015-10-18	79
2015-10-19	72
2015-10-20	74
2015-10-21	46
2015-10-22	57
2015-10-23	75
2015-10-24	58
2015-10-25	42
2015-10-26	61
2015-10-27	66
2015-10-28	54
2015-10-29	57
2015-10-30	66
2015-10-31	84
2015-11-01	74
2015-11-02	77
2015-11-03	65
2015-11-04	66
2015-11-05	80
2015-11-06	82
2015-11-07	72
2015-11-08	94
2015-11-09	62
2015-11-10	61
2015-11-11	60
2015-11-12	84
2015-11-13	71
2015-11-14	76
2015-11-15	85
2015-11-16	64
2015-11-17	74
2015-11-18	98
2015-11-19	63
2015-11-20	81
2015-11-21	60
2015-11-22	92
2015-11-23	103
2015-11-24	65
2015-11-25	65
2015-11-26	74
2015-11-27	81
2015-11-28	68
2015-11-29	110
2015-11-30	69
2015-12-01	93
2015-12-02	80
2015-12-03	67
2015-12-04	82
2015-12-05	83
2015-12-06	153
2015-12-07	89
2015-12-08	82
2015-12-09	72
2015-12-10	72
2015-12-11	70
2015-12-12	102
2015-12-13	71
2015-12-14	76
2015-12-15	52
2015-12-16	64
2015-12-17	65
2015-12-18	90
2015-12-19	86
2015-12-20	77
2015-12-21	74
2015-12-22	63
2015-12-23	77
2015-12-24	58
2015-12-25	66
2015-12-26	63
2015-12-27	70
2015-12-28	82
2015-12-29	77
2015-12-30	62
2015-12-31	66
2016-01-01	44
2016-01-02	54
2016-01-03	65
2016-01-04	68
2016-01-05	82
2016-01-06	54
2016-01-07	76
2016-01-08	66
2016-01-09	89
2016-01-10	90
2016-01-11	95
2016-01-12	47
2016-01-13	71
2016-01-14	205
2016-01-15	119
2016-01-16	96
