date	freq
2015-06-01	1690
2015-06-02	1784
2015-06-03	1847
2015-06-04	1736
2015-06-05	1833
2015-06-06	1492
2015-06-07	1553
2015-06-08	1837
2015-06-09	1855
2015-06-10	1895
2015-06-11	1758
2015-06-12	1645
2015-06-13	1501
2015-06-14	1691
2015-06-15	1777
2015-06-16	1756
2015-06-17	1728
2015-06-18	1766
2015-06-19	1690
2015-06-20	1582
2015-06-21	1525
2015-06-22	1795
2015-06-23	2101
2015-06-24	1847
2015-06-25	1782
2015-06-26	1818
2015-06-27	1555
2015-06-28	1634
2015-06-29	1646
2015-06-30	1685
2015-07-01	1746
2015-07-02	1712
2015-07-03	1722
2015-07-04	1556
2015-07-05	1619
2015-07-06	1754
2015-07-07	1700
2015-07-08	1797
2015-07-09	2043
2015-07-10	4574
2015-07-11	2307
2015-07-12	1756
2015-07-13	1801
2015-07-14	1804
2015-07-15	1715
2015-07-16	1735
2015-07-17	1666
2015-07-18	1396
2015-07-19	1376
2015-07-20	1475
2015-07-21	1610
2015-07-22	1603
2015-07-23	1722
2015-07-24	1583
2015-07-25	1265
2015-07-26	1345
2015-07-27	1634
2015-07-28	1600
2015-07-29	1594
2015-07-30	1679
2015-07-31	1571
2015-08-01	1385
2015-08-02	1488
2015-08-03	1626
2015-08-04	1673
2015-08-05	1553
2015-08-06	1544
2015-08-07	1595
2015-08-08	1460
2015-08-09	1336
2015-08-10	1624
2015-08-11	1557
2015-08-12	1545
2015-08-13	1422
2015-08-14	1326
2015-08-15	1333
2015-08-16	1379
2015-08-17	1535
2015-08-18	1605
2015-08-19	1602
2015-08-20	1581
2015-08-21	1498
2015-08-22	1361
2015-08-23	1430
2015-08-24	1605
2015-08-25	1637
2015-08-26	1611
2015-08-27	1627
2015-08-28	1576
2015-08-29	1299
2015-08-30	1352
2015-08-31	1596
2015-09-01	1690
2015-09-02	1714
2015-09-03	1659
2015-09-04	1617
2015-09-05	1483
2015-09-06	1442
2015-09-07	1675
2015-09-08	1633
2015-09-09	1723
2015-09-10	1568
2015-09-11	1419
2015-09-12	1343
2015-09-13	1412
2015-09-14	1530
2015-09-15	1605
2015-09-16	1641
2015-09-17	1550
2015-09-18	1532
2015-09-19	1357
2015-09-20	1333
2015-09-21	1323
2015-09-22	1377
2015-09-23	1718
2015-09-24	1592
2015-09-25	1599
2015-09-26	1512
2015-09-27	1617
2015-09-28	1496
2015-09-29	1653
2015-09-30	1651
2015-10-01	2060
2015-10-02	1620
2015-10-03	1593
2015-10-04	1568
2015-10-05	1939
2015-10-06	2045
2015-10-07	1901
2015-10-08	1617
2015-10-09	1646
2015-10-10	1423
2015-10-11	1480
2015-10-12	1635
2015-10-13	1653
2015-10-14	1818
2015-10-15	1734
2015-10-16	1784
2015-10-17	1428
2015-10-18	1495
2015-10-19	1752
2015-10-20	1876
2015-10-21	1822
2015-10-22	1846
2015-10-23	1655
2015-10-24	1709
