date	freq
2015-06-01	75
2015-06-02	100
2015-06-03	103
2015-06-04	81
2015-06-05	94
2015-06-06	69
2015-06-07	74
2015-06-08	71
2015-06-09	70
2015-06-10	90
2015-06-11	72
2015-06-12	66
2015-06-13	56
2015-06-14	70
2015-06-15	60
2015-06-16	85
2015-06-17	82
2015-06-18	75
2015-06-19	82
2015-06-20	68
2015-06-21	73
2015-06-22	88
2015-06-23	63
2015-06-24	67
2015-06-25	98
2015-06-26	80
2015-06-27	63
2015-06-28	62
2015-06-29	87
2015-06-30	70
2015-07-01	62
2015-07-02	72
2015-07-03	73
2015-07-04	55
2015-07-05	47
2015-07-06	85
2015-07-07	80
2015-07-08	75
2015-07-09	92
2015-07-10	70
2015-07-11	75
2015-07-12	65
2015-07-13	68
2015-07-14	70
2015-07-15	78
2015-07-16	63
2015-07-17	79
2015-07-18	67
2015-07-19	59
2015-07-20	70
2015-07-21	58
2015-07-22	91
2015-07-23	75
2015-07-24	79
2015-07-25	65
2015-07-26	60
2015-07-27	68
2015-07-28	62
2015-07-29	74
2015-07-30	64
2015-07-31	57
2015-08-01	79
2015-08-02	57
2015-08-03	76
2015-08-04	75
2015-08-05	91
2015-08-06	63
2015-08-07	69
2015-08-08	56
2015-08-09	67
2015-08-10	82
2015-08-11	73
2015-08-12	61
2015-08-13	75
2015-08-14	74
2015-08-15	52
2015-08-16	45
2015-08-17	64
2015-08-18	68
2015-08-19	78
2015-08-20	62
2015-08-21	83
2015-08-22	72
2015-08-23	75
2015-08-24	82
2015-08-25	65
2015-08-26	75
2015-08-27	73
2015-08-28	53
2015-08-29	74
2015-08-30	71
2015-08-31	98
2015-09-01	81
2015-09-02	104
2015-09-03	90
2015-09-04	93
2015-09-05	73
2015-09-06	105
2015-09-07	76
2015-09-08	88
2015-09-09	80
2015-09-10	85
2015-09-11	72
2015-09-12	52
2015-09-13	61
2015-09-14	76
2015-09-15	73
2015-09-16	86
2015-09-17	80
2015-09-18	61
2015-09-19	59
2015-09-20	50
2015-09-21	47
2015-09-22	58
2015-09-23	48
2015-09-24	75
2015-09-25	104
2015-09-26	72
2015-09-27	66
2015-09-28	74
2015-09-29	84
2015-09-30	67
2015-10-01	65
2015-10-02	69
2015-10-03	71
2015-10-04	54
2015-10-05	91
2015-10-06	69
2015-10-07	103
2015-10-08	78
2015-10-09	64
2015-10-10	71
2015-10-11	66
2015-10-12	70
2015-10-13	72
2015-10-14	87
2015-10-15	67
2015-10-16	85
2015-10-17	70
2015-10-18	91
2015-10-19	86
2015-10-20	80
2015-10-21	94
2015-10-22	88
2015-10-23	86
2015-10-24	73
2015-10-25	78
2015-10-26	123
2015-10-27	78
2015-10-28	81
2015-10-29	112
2015-10-30	92
2015-10-31	92
2015-11-01	65
2015-11-02	68
2015-11-03	71
2015-11-04	74
2015-11-05	92
2015-11-06	105
2015-11-07	94
2015-11-08	65
2015-11-09	91
2015-11-10	71
2015-11-11	66
2015-11-12	78
2015-11-13	84
2015-11-14	77
2015-11-15	59
2015-11-16	70
2015-11-17	102
2015-11-18	93
2015-11-19	94
2015-11-20	87
2015-11-21	65
2015-11-22	54
2015-11-23	97
2015-11-24	88
2015-11-25	90
2015-11-26	73
2015-11-27	109
2015-11-28	83
2015-11-29	85
2015-11-30	83
2015-12-01	78
2015-12-02	90
2015-12-03	101
2015-12-04	75
2015-12-05	79
2015-12-06	92
2015-12-07	93
2015-12-08	62
2015-12-09	84
2015-12-10	88
2015-12-11	90
2015-12-12	115
2015-12-13	69
2015-12-14	90
2015-12-15	87
2015-12-16	66
2015-12-17	93
2015-12-18	88
2015-12-19	78
2015-12-20	73
2015-12-21	94
2015-12-22	163
2015-12-23	62
2015-12-24	56
2015-12-25	81
2015-12-26	54
2015-12-27	80
2015-12-28	76
2015-12-29	52
2015-12-30	63
2015-12-31	63
2016-01-01	54
2016-01-02	41
2016-01-03	44
2016-01-04	76
2016-01-05	57
2016-01-06	59
2016-01-07	73
2016-01-08	91
2016-01-09	60
2016-01-10	54
2016-01-11	67
2016-01-12	68
2016-01-13	62
2016-01-14	86
2016-01-15	72
2016-01-16	82
2016-01-17	80
2016-01-18	65
2016-01-19	81
2016-01-20	94
2016-01-21	83
2016-01-22	69
2016-01-23	81
2016-01-24	66
2016-01-25	63
2016-01-26	65
2016-01-27	62
2016-01-28	69
2016-01-29	106
2016-01-30	78
2016-01-31	68
2016-02-01	95
2016-02-02	111
2016-02-03	151
2016-02-04	87
2016-02-05	90
2016-02-06	56
2016-02-07	77
2016-02-08	84
2016-02-09	95
2016-02-10	66
2016-02-11	67
2016-02-12	71
2016-02-13	64
2016-02-14	52
2016-02-15	168
2016-02-16	94
2016-02-17	65
2016-02-18	85
2016-02-19	56
2016-02-20	71
2016-02-21	73
2016-02-22	57
2016-02-23	75
2016-02-24	75
2016-02-25	83
2016-02-26	61
2016-02-27	74
2016-02-28	57
2016-02-29	80
2016-03-01	61
2016-03-02	73
2016-03-03	85
2016-03-04	73
2016-03-05	70
2016-03-06	63
2016-03-07	76
2016-03-08	127
2016-03-09	77
2016-03-10	84
2016-03-11	62
2016-03-12	87
2016-03-13	73
2016-03-14	83
2016-03-15	58
2016-03-16	59
2016-03-17	72
2016-03-18	60
2016-03-19	53
2016-03-20	56
2016-03-21	58
2016-03-22	63
2016-03-23	64
2016-03-24	84
2016-03-25	76
2016-03-26	66
2016-03-27	60
2016-03-28	69
2016-03-29	74
2016-03-30	77
2016-03-31	52
2016-04-01	73
2016-04-02	70
2016-04-03	54
2016-04-04	66
2016-04-05	85
2016-04-06	78
2016-04-07	98
2016-04-08	75
2016-04-09	84
2016-04-10	75
2016-04-11	88
2016-04-12	106
2016-04-13	91
2016-04-14	80
2016-04-15	89
2016-04-16	56
2016-04-17	57
2016-04-18	84
2016-04-19	85
2016-04-20	99
2016-04-21	106
2016-04-22	76
2016-04-23	62
2016-04-24	56
2016-04-25	65
2016-04-26	71
2016-04-27	78
2016-04-28	81
2016-04-29	78
2016-04-30	53
2016-05-01	72
2016-05-02	74
2016-05-03	72
2016-05-04	66
2016-05-05	53
2016-05-06	62
2016-05-07	99
2016-05-08	71
2016-05-09	64
2016-05-10	72
2016-05-11	93
2016-05-12	60
2016-05-13	77
2016-05-14	72
2016-05-15	75
2016-05-16	88
2016-05-17	101
2016-05-18	101
2016-05-19	78
2016-05-20	95
2016-05-21	73
2016-05-22	77
2016-05-23	69
2016-05-24	82
2016-05-25	84
2016-05-26	79
2016-05-27	74
2016-05-28	72
2016-05-29	73
2016-05-30	71
2016-05-31	100
