date	freq
2015-06-01	1274
2015-06-02	1267
2015-06-03	1263
2015-06-04	1381
2015-06-05	1347
2015-06-06	1157
2015-06-07	1230
2015-06-08	1347
2015-06-09	1386
2015-06-10	1352
2015-06-11	1354
2015-06-12	1392
2015-06-13	1202
2015-06-14	1320
2015-06-15	1372
2015-06-16	1360
2015-06-17	1296
2015-06-18	1434
2015-06-19	1334
2015-06-20	1191
2015-06-21	1195
2015-06-22	1286
2015-06-23	1296
2015-06-24	1233
2015-06-25	1229
2015-06-26	1416
2015-06-27	1196
2015-06-28	1264
2015-06-29	1241
2015-06-30	1151
2015-07-01	1189
2015-07-02	1319
2015-07-03	1320
2015-07-04	1278
2015-07-05	1215
2015-07-06	1306
2015-07-07	1293
2015-07-08	1436
2015-07-09	1250
2015-07-10	1217
2015-07-11	1132
2015-07-12	1318
2015-07-13	1236
2015-07-14	1179
2015-07-15	1213
2015-07-16	1220
2015-07-17	1140
2015-07-18	1062
2015-07-19	978
2015-07-20	1048
2015-07-21	1082
2015-07-22	1214
2015-07-23	1256
2015-07-24	1230
2015-07-25	1040
2015-07-26	1061
2015-07-27	1100
2015-07-28	1130
2015-07-29	1205
2015-07-30	1276
2015-07-31	1209
2015-08-01	959
2015-08-02	965
2015-08-03	1065
2015-08-04	1155
2015-08-05	1124
2015-08-06	1093
2015-08-07	1073
2015-08-08	1049
2015-08-09	971
2015-08-10	1161
2015-08-11	1088
2015-08-12	1027
2015-08-13	992
2015-08-14	932
2015-08-15	937
2015-08-16	1032
2015-08-17	1156
2015-08-18	1163
2015-08-19	1145
2015-08-20	1199
2015-08-21	1019
2015-08-22	1092
2015-08-23	1024
2015-08-24	1155
2015-08-25	1199
2015-08-26	1204
2015-08-27	1292
2015-08-28	1205
2015-08-29	1104
2015-08-30	1173
2015-08-31	1235
2015-09-01	1206
2015-09-02	1252
2015-09-03	1346
2015-09-04	1207
2015-09-05	1113
2015-09-06	1151
2015-09-07	1241
2015-09-08	1250
2015-09-09	1256
2015-09-10	1166
2015-09-11	1229
2015-09-12	1138
2015-09-13	1126
2015-09-14	1248
2015-09-15	1174
2015-09-16	1299
2015-09-17	1220
2015-09-18	1346
2015-09-19	1237
2015-09-20	1091
2015-09-21	1119
2015-09-22	1104
2015-09-23	1268
2015-09-24	1232
2015-09-25	1281
2015-09-26	1177
2015-09-27	1183
2015-09-28	1295
2015-09-29	1270
2015-09-30	1279
2015-10-01	1471
2015-10-02	1364
2015-10-03	1305
2015-10-04	1269
2015-10-05	1318
2015-10-06	1374
2015-10-07	1351
2015-10-08	1398
2015-10-09	1400
2015-10-10	1184
2015-10-11	1254
2015-10-12	1644
2015-10-13	1424
2015-10-14	1342
2015-10-15	1287
2015-10-16	1360
2015-10-17	1209
2015-10-18	1221
2015-10-19	1380
2015-10-20	1393
2015-10-21	1384
2015-10-22	1555
2015-10-23	1256
2015-10-24	1278
2015-10-25	1247
2015-10-26	1337
2015-10-27	1477
2015-10-28	1577
2015-10-29	1467
2015-10-30	1439
2015-10-31	1307
2015-11-01	1341
2015-11-02	1494
2015-11-03	1399
2015-11-04	1313
2015-11-05	1393
2015-11-06	1347
2015-11-07	1369
2015-11-08	1530
2015-11-09	1434
2015-11-10	1411
2015-11-11	1406
2015-11-12	1296
2015-11-13	1231
2015-11-14	1316
2015-11-15	1262
2015-11-16	1368
2015-11-17	1658
2015-11-18	1657
2015-11-19	1597
2015-11-20	1473
2015-11-21	1351
2015-11-22	1328
2015-11-23	1616
2015-11-24	1392
2015-11-25	1508
2015-11-26	1471
2015-11-27	1437
2015-11-28	1320
2015-11-29	1395
2015-11-30	1384
2015-12-01	1343
2015-12-02	1314
2015-12-03	1405
2015-12-04	1322
2015-12-05	1265
2015-12-06	1308
2015-12-07	1309
2015-12-08	1318
2015-12-09	1269
2015-12-10	1370
2015-12-11	1337
2015-12-12	1179
2015-12-13	1222
2015-12-14	1215
2015-12-15	1206
2015-12-16	1206
2015-12-17	1175
2015-12-18	1139
2015-12-19	1044
2015-12-20	1054
2015-12-21	1223
2015-12-22	1257
2015-12-23	1149
2015-12-24	1268
2015-12-25	1205
2015-12-26	1066
2015-12-27	1071
2015-12-28	1052
2015-12-29	955
2015-12-30	927
2015-12-31	942
2016-01-01	666
2016-01-02	798
2016-01-03	1039
2016-01-04	941
2016-01-05	1073
2016-01-06	1076
2016-01-07	1122
2016-01-08	1196
2016-01-09	1138
2016-01-10	1136
2016-01-11	1283
2016-01-12	1266
2016-01-13	1322
2016-01-14	1196
