date	freq
2015-06-01	830
2015-06-02	787
2015-06-03	866
2015-06-04	794
2015-06-05	733
2015-06-06	698
2015-06-07	823
2015-06-08	759
2015-06-09	831
2015-06-10	838
2015-06-11	810
2015-06-12	804
2015-06-13	833
2015-06-14	826
2015-06-15	977
2015-06-16	754
2015-06-17	831
2015-06-18	771
2015-06-19	759
2015-06-20	726
2015-06-21	770
2015-06-22	749
2015-06-23	780
2015-06-24	714
2015-06-25	806
2015-06-26	752
2015-06-27	698
2015-06-28	740
2015-06-29	729
2015-06-30	399
2015-07-01	693
2015-07-02	759
2015-07-03	757
2015-07-04	740
2015-07-05	843
2015-07-06	708
2015-07-07	709
2015-07-08	729
2015-07-09	721
2015-07-10	852
2015-07-11	715
2015-07-12	759
2015-07-13	805
2015-07-14	812
2015-07-15	790
2015-07-16	739
2015-07-17	694
2015-07-18	686
2015-07-19	694
2015-07-20	737
2015-07-21	745
2015-07-22	754
2015-07-23	815
2015-07-24	795
2015-07-25	860
2015-07-26	852
2015-07-27	815
2015-07-28	1386
2015-07-29	1016
2015-07-30	912
2015-07-31	813
2015-08-01	1451
2015-08-02	1061
2015-08-03	879
2015-08-04	1831
2015-08-05	1236
2015-08-06	1245
2015-08-07	910
2015-08-08	844
2015-08-09	897
2015-08-10	802
2015-08-11	801
2015-08-12	861
2015-08-13	1074
2015-08-14	840
2015-08-15	759
2015-08-16	811
2015-08-17	832
2015-08-18	950
2015-08-19	835
2015-08-20	771
2015-08-21	896
2015-08-22	1053
2015-08-23	1358
2015-08-24	1060
2015-08-25	1134
2015-08-26	939
2015-08-27	966
2015-08-28	914
2015-08-29	884
2015-08-30	900
2015-08-31	894
2015-09-01	893
2015-09-02	812
2015-09-03	794
2015-09-04	846
2015-09-05	898
2015-09-06	911
2015-09-07	957
2015-09-08	962
2015-09-09	970
2015-09-10	864
2015-09-11	983
2015-09-12	1026
2015-09-13	880
2015-09-14	912
2015-09-15	921
2015-09-16	811
2015-09-17	772
2015-09-18	714
2015-09-19	689
2015-09-20	706
2015-09-21	782
2015-09-22	783
2015-09-23	837
2015-09-24	763
2015-09-25	750
2015-09-26	756
2015-09-27	887
2015-09-28	783
2015-09-29	694
2015-09-30	883
2015-10-01	745
2015-10-02	782
2015-10-03	732
2015-10-04	722
2015-10-05	822
2015-10-06	1149
2015-10-07	858
2015-10-08	1072
2015-10-09	933
2015-10-10	899
2015-10-11	809
2015-10-12	1166
2015-10-13	977
2015-10-14	847
2015-10-15	862
2015-10-16	834
2015-10-17	772
2015-10-18	903
2015-10-19	816
2015-10-20	831
2015-10-21	756
2015-10-22	784
2015-10-23	698
2015-10-24	726
2015-10-25	742
2015-10-26	866
2015-10-27	924
2015-10-28	769
2015-10-29	842
2015-10-30	746
2015-10-31	844
2015-11-01	834
2015-11-02	945
2015-11-03	826
2015-11-04	744
2015-11-05	735
2015-11-06	756
2015-11-07	753
2015-11-08	787
2015-11-09	745
2015-11-10	736
2015-11-11	755
2015-11-12	799
2015-11-13	803
2015-11-14	681
2015-11-15	716
2015-11-16	850
2015-11-17	782
2015-11-18	774
2015-11-19	731
2015-11-20	828
2015-11-21	732
2015-11-22	773
2015-11-23	779
2015-11-24	791
2015-11-25	828
2015-11-26	802
2015-11-27	785
2015-11-28	753
2015-11-29	698
2015-11-30	749
2015-12-01	774
2015-12-02	682
2015-12-03	701
2015-12-04	715
2015-12-05	696
2015-12-06	728
2015-12-07	788
2015-12-08	701
2015-12-09	778
2015-12-10	712
2015-12-11	614
2015-12-12	663
2015-12-13	741
2015-12-14	678
2015-12-15	656
2015-12-16	653
2015-12-17	624
2015-12-18	578
2015-12-19	690
2015-12-20	695
2015-12-21	683
2015-12-22	620
2015-12-23	682
2015-12-24	613
2015-12-25	542
2015-12-26	576
2015-12-27	619
2015-12-28	657
2015-12-29	628
2015-12-30	661
2015-12-31	600
2016-01-01	520
2016-01-02	591
2016-01-03	576
2016-01-04	599
2016-01-05	585
2016-01-06	805
2016-01-07	993
2016-01-08	693
2016-01-09	777
2016-01-10	707
2016-01-11	580
2016-01-12	630
2016-01-13	620
2016-01-14	604
2016-01-15	585
2016-01-16	600
2016-01-17	777
2016-01-18	583
2016-01-19	620
2016-01-20	671
2016-01-21	343
2016-01-22	603
2016-01-23	594
2016-01-24	315
2016-01-25	849
2016-01-26	741
2016-01-27	679
2016-01-28	689
2016-01-29	758
2016-01-30	1683
2016-01-31	2760
2016-02-01	1134
2016-02-02	654
2016-02-03	792
2016-02-04	682
2016-02-05	577
2016-02-06	575
2016-02-07	694
2016-02-08	683
2016-02-09	605
2016-02-10	673
2016-02-11	722
2016-02-12	576
2016-02-13	590
2016-02-14	613
2016-02-15	543
2016-02-16	638
2016-02-17	568
2016-02-18	616
2016-02-19	604
2016-02-20	685
2016-02-21	647
2016-02-22	610
2016-02-23	671
2016-02-24	649
2016-02-25	633
2016-02-26	604
2016-02-27	593
2016-02-28	666
2016-02-29	639
2016-03-01	1252
2016-03-02	1212
2016-03-03	1684
2016-03-04	800
2016-03-05	659
2016-03-06	704
2016-03-07	647
2016-03-08	610
2016-03-09	1646
2016-03-10	712
2016-03-11	594
2016-03-12	567
2016-03-13	691
2016-03-14	643
2016-03-15	658
2016-03-16	905
2016-03-17	824
2016-03-18	719
2016-03-19	697
2016-03-20	646
2016-03-21	618
2016-03-22	780
2016-03-23	728
2016-03-24	659
2016-03-25	653
2016-03-26	611
2016-03-27	894
2016-03-28	737
2016-03-29	688
2016-03-30	581
2016-03-31	633
2016-04-01	626
2016-04-02	653
2016-04-03	643
2016-04-04	556
2016-04-05	635
2016-04-06	583
2016-04-07	609
2016-04-08	630
2016-04-09	538
2016-04-10	656
2016-04-11	634
2016-04-12	498
2016-04-13	648
2016-04-14	557
2016-04-15	599
2016-04-16	596
2016-04-17	609
2016-04-18	586
2016-04-19	572
2016-04-20	578
2016-04-21	553
2016-04-22	585
2016-04-23	606
2016-04-24	636
2016-04-25	558
2016-04-26	593
2016-04-27	588
2016-04-28	531
2016-04-29	530
2016-04-30	586
2016-05-01	674
2016-05-02	580
2016-05-03	551
2016-05-04	584
2016-05-05	804
2016-05-06	732
2016-05-07	645
2016-05-08	712
2016-05-09	612
2016-05-10	694
2016-05-11	638
2016-05-12	610
2016-05-13	712
2016-05-14	687
2016-05-15	612
2016-05-16	607
2016-05-17	672
2016-05-18	880
2016-05-19	690
2016-05-20	573
2016-05-21	585
2016-05-22	725
2016-05-23	729
2016-05-24	621
2016-05-25	766
2016-05-26	735
2016-05-27	613
2016-05-28	577
2016-05-29	617
2016-05-30	601
2016-05-31	568
