date	freq
2015-06-01	19
2015-06-02	20
2015-06-03	24
2015-06-04	18
2015-06-05	14
2015-06-06	16
2015-06-07	14
2015-06-08	24
2015-06-09	19
2015-06-10	11
2015-06-11	14
2015-06-12	8
2015-06-13	10
2015-06-14	24
2015-06-15	23
2015-06-16	18
2015-06-17	15
2015-06-18	13
2015-06-19	19
2015-06-20	16
2015-06-21	19
2015-06-22	17
2015-06-23	15
2015-06-24	19
2015-06-25	27
2015-06-26	14
2015-06-27	19
2015-06-28	14
2015-06-29	12
2015-06-30	25
2015-07-01	15
2015-07-02	21
2015-07-03	19
2015-07-04	19
2015-07-05	22
2015-07-06	27
2015-07-07	20
2015-07-08	18
2015-07-09	23
2015-07-10	13
2015-07-11	20
2015-07-12	16
2015-07-13	20
2015-07-14	17
2015-07-15	14
2015-07-16	4
2015-07-17	22
2015-07-18	10
2015-07-19	14
2015-07-20	19
2015-07-21	25
2015-07-22	12
2015-07-23	18
2015-07-24	12
2015-07-25	19
2015-07-26	15
2015-07-27	20
2015-07-28	10
2015-07-29	30
2015-07-30	7
2015-07-31	9
2015-08-01	23
2015-08-02	15
2015-08-03	21
2015-08-04	24
2015-08-05	18
2015-08-06	14
2015-08-07	13
2015-08-08	22
2015-08-09	14
2015-08-10	22
2015-08-11	16
2015-08-12	15
2015-08-13	14
2015-08-14	19
2015-08-15	16
2015-08-16	25
2015-08-17	7
2015-08-18	17
2015-08-19	19
2015-08-20	18
2015-08-21	22
2015-08-22	13
2015-08-23	10
2015-08-24	13
2015-08-25	12
2015-08-26	23
2015-08-27	22
2015-08-28	9
2015-08-29	16
2015-08-30	14
2015-08-31	19
2015-09-01	10
2015-09-02	18
2015-09-03	16
2015-09-04	14
2015-09-05	15
2015-09-06	17
2015-09-07	11
2015-09-08	15
2015-09-09	12
2015-09-10	16
2015-09-11	10
2015-09-12	14
2015-09-13	19
2015-09-14	16
2015-09-15	24
2015-09-16	8
2015-09-17	22
2015-09-18	13
2015-09-19	13
2015-09-20	9
2015-09-21	11
2015-09-22	9
2015-09-23	11
2015-09-24	14
2015-09-25	8
2015-09-26	15
2015-09-27	26
2015-09-28	19
2015-09-29	10
2015-09-30	21
2015-10-01	14
2015-10-02	19
2015-10-03	17
2015-10-04	11
2015-10-05	16
2015-10-06	12
2015-10-07	14
2015-10-08	13
2015-10-09	26
2015-10-10	12
2015-10-11	17
2015-10-12	15
2015-10-13	24
2015-10-14	12
2015-10-15	7
2015-10-16	17
2015-10-17	12
2015-10-18	17
2015-10-19	17
2015-10-20	9
2015-10-21	10
2015-10-22	18
2015-10-23	8
2015-10-24	16
2015-10-25	15
2015-10-26	4
2015-10-27	7
2015-10-28	8
2015-10-29	3
2015-10-30	15
2015-10-31	13
2015-11-01	12
2015-11-02	22
2015-11-03	12
2015-11-04	12
2015-11-05	19
2015-11-06	17
2015-11-07	15
2015-11-08	21
2015-11-09	22
2015-11-10	37
2015-11-11	37
2015-11-12	19
2015-11-13	36
2015-11-14	43
2015-11-15	42
2015-11-16	51
2015-11-17	42
2015-11-18	25
2015-11-19	22
2015-11-20	15
2015-11-21	17
2015-11-22	18
2015-11-23	19
2015-11-24	26
2015-11-25	22
2015-11-26	17
2015-11-27	15
2015-11-28	19
2015-11-29	22
2015-11-30	14
2015-12-01	35
2015-12-02	26
2015-12-03	35
2015-12-04	30
2015-12-05	18
2015-12-06	20
2015-12-07	22
2015-12-08	23
2015-12-09	35
