date	freq
2015-06-01	505
2015-06-02	515
2015-06-03	548
2015-06-04	595
2015-06-05	547
2015-06-06	516
2015-06-07	425
2015-06-08	554
2015-06-09	579
2015-06-10	558
2015-06-11	525
2015-06-12	609
2015-06-13	512
2015-06-14	468
2015-06-15	552
2015-06-16	552
2015-06-17	544
2015-06-18	569
2015-06-19	630
2015-06-20	503
2015-06-21	528
2015-06-22	561
2015-06-23	551
2015-06-24	539
2015-06-25	568
2015-06-26	631
2015-06-27	519
2015-06-28	566
2015-06-29	547
2015-06-30	565
2015-07-01	541
2015-07-02	551
2015-07-03	522
2015-07-04	487
2015-07-05	486
2015-07-06	576
2015-07-07	584
2015-07-08	581
2015-07-09	596
2015-07-10	565
2015-07-11	455
2015-07-12	440
2015-07-13	580
2015-07-14	513
2015-07-15	486
2015-07-16	466
2015-07-17	484
2015-07-18	384
2015-07-19	442
2015-07-20	466
2015-07-21	499
2015-07-22	573
2015-07-23	605
2015-07-24	584
2015-07-25	513
2015-07-26	497
2015-07-27	505
2015-07-28	525
2015-07-29	520
2015-07-30	471
2015-07-31	490
2015-08-01	400
2015-08-02	408
2015-08-03	477
2015-08-04	569
2015-08-05	550
2015-08-06	487
2015-08-07	434
2015-08-08	390
2015-08-09	404
2015-08-10	518
2015-08-11	493
2015-08-12	436
2015-08-13	411
2015-08-14	429
2015-08-15	456
2015-08-16	399
2015-08-17	453
2015-08-18	495
2015-08-19	567
2015-08-20	510
2015-08-21	524
2015-08-22	414
2015-08-23	497
2015-08-24	488
2015-08-25	587
2015-08-26	544
2015-08-27	489
2015-08-28	468
2015-08-29	440
2015-08-30	435
2015-08-31	521
2015-09-01	601
2015-09-02	603
2015-09-03	530
2015-09-04	553
2015-09-05	543
2015-09-06	537
2015-09-07	565
2015-09-08	547
2015-09-09	606
2015-09-10	542
2015-09-11	524
2015-09-12	427
2015-09-13	468
2015-09-14	523
2015-09-15	487
2015-09-16	493
2015-09-17	512
2015-09-18	544
2015-09-19	431
2015-09-20	439
2015-09-21	455
2015-09-22	481
2015-09-23	545
2015-09-24	543
2015-09-25	506
2015-09-26	479
2015-09-27	543
2015-09-28	529
2015-09-29	516
2015-09-30	511
2015-10-01	605
2015-10-02	557
2015-10-03	535
2015-10-04	533
2015-10-05	616
2015-10-06	641
2015-10-07	610
2015-10-08	582
2015-10-09	581
2015-10-10	536
2015-10-11	473
2015-10-12	470
2015-10-13	542
2015-10-14	560
2015-10-15	525
2015-10-16	550
2015-10-17	473
2015-10-18	511
2015-10-19	593
2015-10-20	588
2015-10-21	503
2015-10-22	641
2015-10-23	508
2015-10-24	515
2015-10-25	454
2015-10-26	650
2015-10-27	643
2015-10-28	565
2015-10-29	604
2015-10-30	631
2015-10-31	546
2015-11-01	536
2015-11-02	690
2015-11-03	510
2015-11-04	579
2015-11-05	595
2015-11-06	571
2015-11-07	613
2015-11-08	578
2015-11-09	605
2015-11-10	692
2015-11-11	645
2015-11-12	580
2015-11-13	511
2015-11-14	512
2015-11-15	475
2015-11-16	537
2015-11-17	695
2015-11-18	589
2015-11-19	555
2015-11-20	533
2015-11-21	545
2015-11-22	476
2015-11-23	524
2015-11-24	540
2015-11-25	563
2015-11-26	606
2015-11-27	576
2015-11-28	516
2015-11-29	502
2015-11-30	500
2015-12-01	543
2015-12-02	572
2015-12-03	604
2015-12-04	527
2015-12-05	516
2015-12-06	528
2015-12-07	512
2015-12-08	581
2015-12-09	528
2015-12-10	594
2015-12-11	545
2015-12-12	516
2015-12-13	440
2015-12-14	491
2015-12-15	549
2015-12-16	503
2015-12-17	588
2015-12-18	561
2015-12-19	451
2015-12-20	386
2015-12-21	474
2015-12-22	530
2015-12-23	460
2015-12-24	457
2015-12-25	593
2015-12-26	436
2015-12-27	455
2015-12-28	415
2015-12-29	426
2015-12-30	381
2015-12-31	423
2016-01-01	306
2016-01-02	436
2016-01-03	404
2016-01-04	458
2016-01-05	461
2016-01-06	601
2016-01-07	592
2016-01-08	540
2016-01-09	533
2016-01-10	542
2016-01-11	536
2016-01-12	587
2016-01-13	572
2016-01-14	571
2016-01-15	533
2016-01-16	527
2016-01-17	547
2016-01-18	547
2016-01-19	607
2016-01-20	618
2016-01-21	588
2016-01-22	638
2016-01-23	504
2016-01-24	524
2016-01-25	596
2016-01-26	573
2016-01-27	607
2016-01-28	560
2016-01-29	701
2016-01-30	521
2016-01-31	510
2016-02-01	513
2016-02-02	609
2016-02-03	633
2016-02-04	614
2016-02-05	736
2016-02-06	620
2016-02-07	582
2016-02-08	908
2016-02-09	1176
2016-02-10	562
2016-02-11	727
2016-02-12	724
2016-02-13	483
2016-02-14	462
2016-02-15	535
2016-02-16	609
2016-02-17	595
2016-02-18	577
2016-02-19	585
2016-02-20	498
2016-02-21	506
2016-02-22	507
2016-02-23	689
2016-02-24	512
2016-02-25	624
2016-02-26	599
2016-02-27	478
2016-02-28	560
2016-02-29	571
2016-03-01	611
2016-03-02	580
2016-03-03	521
2016-03-04	578
2016-03-05	489
2016-03-06	437
2016-03-07	537
2016-03-08	477
2016-03-09	565
2016-03-10	556
2016-03-11	522
2016-03-12	457
2016-03-13	477
2016-03-14	482
2016-03-15	542
2016-03-16	501
2016-03-17	523
2016-03-18	472
2016-03-19	421
2016-03-20	421
2016-03-21	453
2016-03-22	457
2016-03-23	518
2016-03-24	487
2016-03-25	527
2016-03-26	411
2016-03-27	453
2016-03-28	467
2016-03-29	447
2016-03-30	509
2016-03-31	507
2016-04-01	503
2016-04-02	495
2016-04-03	442
2016-04-04	499
