date	freq
2015-06-01	19
2015-06-02	17
2015-06-03	18
2015-06-04	21
2015-06-05	12
2015-06-06	12
2015-06-07	20
2015-06-08	15
2015-06-09	15
2015-06-10	9
2015-06-11	21
2015-06-12	14
2015-06-13	19
2015-06-14	24
2015-06-15	27
2015-06-16	31
2015-06-17	20
2015-06-18	18
2015-06-19	10
2015-06-20	22
2015-06-21	13
2015-06-22	18
2015-06-23	13
2015-06-24	24
2015-06-25	21
2015-06-26	19
2015-06-27	18
2015-06-28	11
2015-06-29	19
2015-06-30	20
2015-07-01	26
2015-07-02	24
2015-07-03	16
2015-07-04	21
2015-07-05	29
2015-07-06	23
2015-07-07	11
2015-07-08	16
2015-07-09	23
2015-07-10	24
2015-07-11	30
2015-07-12	24
2015-07-13	14
2015-07-14	25
2015-07-15	14
2015-07-16	15
2015-07-17	14
2015-07-18	21
2015-07-19	13
2015-07-20	21
2015-07-21	32
2015-07-22	18
2015-07-23	26
2015-07-24	15
2015-07-25	25
2015-07-26	14
2015-07-27	15
2015-07-28	9
2015-07-29	16
2015-07-30	11
2015-07-31	11
2015-08-01	10
2015-08-02	11
2015-08-03	21
2015-08-04	16
2015-08-05	11
2015-08-06	10
2015-08-07	12
2015-08-08	9
2015-08-09	15
2015-08-10	12
2015-08-11	11
2015-08-12	12
2015-08-13	20
2015-08-14	13
2015-08-15	12
2015-08-16	15
2015-08-17	7
2015-08-18	21
2015-08-19	18
2015-08-20	12
2015-08-21	14
2015-08-22	20
2015-08-23	6
2015-08-24	13
2015-08-25	15
2015-08-26	19
2015-08-27	24
2015-08-28	12
2015-08-29	22
2015-08-30	17
2015-08-31	18
2015-09-01	8
2015-09-02	12
2015-09-03	18
2015-09-04	17
2015-09-05	11
2015-09-06	17
2015-09-07	13
2015-09-08	34
2015-09-09	10
2015-09-10	25
2015-09-11	23
2015-09-12	15
2015-09-13	18
2015-09-14	15
2015-09-15	8
2015-09-16	5
2015-09-17	18
2015-09-18	10
2015-09-19	10
2015-09-20	10
2015-09-21	19
2015-09-22	15
2015-09-23	13
2015-09-24	8
2015-09-25	18
2015-09-26	6
2015-09-27	14
2015-09-28	6
2015-09-29	21
2015-09-30	12
2015-10-01	16
2015-10-02	5
2015-10-03	18
2015-10-04	11
2015-10-05	6
2015-10-06	17
2015-10-07	16
2015-10-08	12
2015-10-09	12
2015-10-10	6
2015-10-11	17
2015-10-12	15
2015-10-13	18
2015-10-14	14
2015-10-15	10
2015-10-16	22
2015-10-17	17
2015-10-18	10
2015-10-19	13
2015-10-20	7
2015-10-21	10
2015-10-22	12
2015-10-23	15
2015-10-24	12
2015-10-25	11
2015-10-26	12
2015-10-27	12
2015-10-28	9
2015-10-29	7
2015-10-30	21
2015-10-31	15
2015-11-01	22
2015-11-02	21
2015-11-03	18
2015-11-04	12
2015-11-05	21
2015-11-06	21
2015-11-07	18
2015-11-08	18
2015-11-09	10
2015-11-10	37
2015-11-11	24
2015-11-12	35
2015-11-13	23
2015-11-14	23
2015-11-15	35
2015-11-16	37
2015-11-17	26
2015-11-18	25
2015-11-19	12
2015-11-20	16
2015-11-21	13
2015-11-22	20
2015-11-23	9
2015-11-24	22
2015-11-25	10
2015-11-26	18
2015-11-27	19
2015-11-28	16
2015-11-29	19
2015-11-30	20
2015-12-01	22
2015-12-02	16
2015-12-03	26
2015-12-04	11
2015-12-05	30
2015-12-06	21
2015-12-07	17
2015-12-08	17
2015-12-09	28
2015-12-10	22
2015-12-11	22
2015-12-12	16
2015-12-13	11
2015-12-14	17
2015-12-15	19
2015-12-16	25
2015-12-17	21
2015-12-18	17
2015-12-19	23
2015-12-20	17
2015-12-21	17
2015-12-22	10
2015-12-23	23
2015-12-24	16
2015-12-25	13
2015-12-26	9
2015-12-27	7
2015-12-28	18
2015-12-29	11
2015-12-30	14
2015-12-31	10
2016-01-01	7
2016-01-02	16
2016-01-03	10
2016-01-04	19
2016-01-05	26
2016-01-06	20
2016-01-07	21
2016-01-08	12
2016-01-09	13
2016-01-10	16
2016-01-11	20
2016-01-12	24
2016-01-13	15
2016-01-14	24
2016-01-15	10
2016-01-16	11
2016-01-17	22
2016-01-18	13
2016-01-19	24
2016-01-20	10
2016-01-21	21
2016-01-22	14
2016-01-23	6
2016-01-24	16
2016-01-25	27
2016-01-26	22
2016-01-27	17
2016-01-28	21
2016-01-29	26
2016-01-30	17
2016-01-31	20
2016-02-01	29
2016-02-02	31
2016-02-03	19
2016-02-04	21
2016-02-05	18
2016-02-06	17
2016-02-07	21
2016-02-08	21
2016-02-09	26
2016-02-10	17
2016-02-11	9
2016-02-12	13
2016-02-13	18
2016-02-14	12
2016-02-15	21
2016-02-16	22
2016-02-17	31
2016-02-18	17
2016-02-19	13
2016-02-20	17
2016-02-21	23
2016-02-22	20
2016-02-23	10
2016-02-24	12
2016-02-25	24
2016-02-26	8
2016-02-27	13
2016-02-28	22
2016-02-29	14
2016-03-01	20
2016-03-02	32
2016-03-03	14
2016-03-04	11
2016-03-05	15
2016-03-06	23
2016-03-07	23
2016-03-08	24
