date	freq
2015-06-01	839
2015-06-02	995
2015-06-03	853
2015-06-04	1176
2015-06-05	1087
2015-06-06	892
2015-06-07	861
2015-06-08	960
2015-06-09	1053
2015-06-10	1215
2015-06-11	888
2015-06-12	1156
2015-06-13	1076
2015-06-14	1004
2015-06-15	954
2015-06-16	1101
2015-06-17	957
2015-06-18	889
2015-06-19	917
2015-06-20	904
2015-06-21	837
2015-06-22	1005
2015-06-23	985
2015-06-24	995
2015-06-25	964
2015-06-26	1062
2015-06-27	891
2015-06-28	847
2015-06-29	1009
2015-06-30	904
2015-07-01	1099
2015-07-02	1078
2015-07-03	859
2015-07-04	933
2015-07-05	893
2015-07-06	903
2015-07-07	1120
2015-07-08	1089
2015-07-09	1031
2015-07-10	895
2015-07-11	1013
2015-07-12	931
2015-07-13	1097
2015-07-14	1345
2015-07-15	1160
2015-07-16	864
2015-07-17	1005
2015-07-18	771
2015-07-19	846
2015-07-20	1047
2015-07-21	1093
2015-07-22	1058
2015-07-23	992
2015-07-24	997
2015-07-25	1015
2015-07-26	919
2015-07-27	1161
2015-07-28	1226
2015-07-29	975
2015-07-30	903
2015-07-31	905
2015-08-01	840
2015-08-02	896
2015-08-03	966
2015-08-04	973
2015-08-05	929
2015-08-06	950
2015-08-07	875
2015-08-08	818
2015-08-09	902
2015-08-10	1071
2015-08-11	952
2015-08-12	998
2015-08-13	772
2015-08-14	891
2015-08-15	867
2015-08-16	889
2015-08-17	875
2015-08-18	930
2015-08-19	959
2015-08-20	976
2015-08-21	884
2015-08-22	788
2015-08-23	825
2015-08-24	821
2015-08-25	846
2015-08-26	1017
2015-08-27	962
2015-08-28	902
2015-08-29	811
2015-08-30	869
2015-08-31	958
2015-09-01	984
2015-09-02	925
2015-09-03	859
2015-09-04	880
2015-09-05	881
2015-09-06	1012
2015-09-07	1093
2015-09-08	984
2015-09-09	1054
2015-09-10	950
2015-09-11	1136
2015-09-12	882
2015-09-13	968
2015-09-14	837
2015-09-15	924
2015-09-16	855
2015-09-17	1013
2015-09-18	925
2015-09-19	1005
2015-09-20	895
2015-09-21	871
2015-09-22	973
2015-09-23	1019
2015-09-24	1033
2015-09-25	1089
2015-09-26	904
2015-09-27	845
2015-09-28	897
2015-09-29	949
2015-09-30	1027
2015-10-01	969
2015-10-02	793
2015-10-03	868
2015-10-04	901
2015-10-05	1016
2015-10-06	936
2015-10-07	966
2015-10-08	1108
2015-10-09	1133
2015-10-10	879
2015-10-11	1089
2015-10-12	1013
2015-10-13	1138
2015-10-14	973
2015-10-15	948
2015-10-16	1022
2015-10-17	772
2015-10-18	904
2015-10-19	1075
2015-10-20	998
2015-10-21	1099
2015-10-22	1089
2015-10-23	965
2015-10-24	1035
2015-10-25	1036
2015-10-26	1098
2015-10-27	986
2015-10-28	1103
2015-10-29	1084
2015-10-30	934
2015-10-31	877
2015-11-01	1231
2015-11-02	1130
2015-11-03	795
2015-11-04	1365
2015-11-05	1084
2015-11-06	1223
2015-11-07	1132
2015-11-08	997
2015-11-09	989
2015-11-10	1106
2015-11-11	1075
2015-11-12	1116
2015-11-13	887
2015-11-14	915
2015-11-15	1057
2015-11-16	1092
2015-11-17	1138
2015-11-18	969
2015-11-19	1160
2015-11-20	1002
2015-11-21	995
2015-11-22	983
2015-11-23	1268
2015-11-24	1128
2015-11-25	1121
2015-11-26	1053
2015-11-27	914
2015-11-28	985
2015-11-29	891
2015-11-30	927
2015-12-01	1098
2015-12-02	902
2015-12-03	1043
2015-12-04	928
2015-12-05	942
2015-12-06	825
2015-12-07	921
2015-12-08	1062
2015-12-09	1064
2015-12-10	1095
2015-12-11	974
2015-12-12	847
2015-12-13	1060
2015-12-14	915
2015-12-15	856
2015-12-16	938
2015-12-17	866
2015-12-18	865
2015-12-19	882
2015-12-20	772
2015-12-21	913
2015-12-22	1017
2015-12-23	893
2015-12-24	920
2015-12-25	827
2015-12-26	863
2015-12-27	887
2015-12-28	907
2015-12-29	842
2015-12-30	869
2015-12-31	912
2016-01-01	690
2016-01-02	796
2016-01-03	802
2016-01-04	918
2016-01-05	843
2016-01-06	924
2016-01-07	999
2016-01-08	1003
2016-01-09	938
2016-01-10	1051
2016-01-11	1056
2016-01-12	1033
2016-01-13	987
2016-01-14	991
2016-01-15	890
2016-01-16	897
2016-01-17	979
2016-01-18	1075
2016-01-19	1048
2016-01-20	1052
2016-01-21	1281
2016-01-22	984
2016-01-23	861
2016-01-24	846
2016-01-25	1034
2016-01-26	910
2016-01-27	927
2016-01-28	1065
2016-01-29	997
2016-01-30	965
2016-01-31	932
2016-02-01	893
2016-02-02	1014
2016-02-03	1145
2016-02-04	1199
2016-02-05	1105
2016-02-06	1240
2016-02-07	1104
2016-02-08	1166
2016-02-09	1066
2016-02-10	1299
2016-02-11	988
2016-02-12	1025
2016-02-13	1021
2016-02-14	974
2016-02-15	1062
2016-02-16	1254
2016-02-17	1023
2016-02-18	956
2016-02-19	1142
2016-02-20	1118
2016-02-21	946
2016-02-22	1000
2016-02-23	1041
2016-02-24	1132
2016-02-25	934
2016-02-26	946
2016-02-27	913
2016-02-28	1166
2016-02-29	1351
2016-03-01	1146
2016-03-02	1007
2016-03-03	1037
2016-03-04	1009
2016-03-05	814
2016-03-06	955
2016-03-07	1062
2016-03-08	944
2016-03-09	913
2016-03-10	1063
2016-03-11	1146
2016-03-12	913
2016-03-13	944
2016-03-14	972
2016-03-15	1039
2016-03-16	1025
2016-03-17	903
2016-03-18	1071
2016-03-19	894
2016-03-20	837
2016-03-21	1041
2016-03-22	1051
2016-03-23	1014
2016-03-24	900
2016-03-25	897
2016-03-26	851
2016-03-27	1169
2016-03-28	895
2016-03-29	951
2016-03-30	1068
2016-03-31	964
2016-04-01	1082
2016-04-02	832
2016-04-03	879
2016-04-04	924
2016-04-05	1062
2016-04-06	1003
2016-04-07	1176
2016-04-08	1069
2016-04-09	1262
2016-04-10	1158
2016-04-11	1142
2016-04-12	1191
2016-04-13	1145
2016-04-14	1034
2016-04-15	1078
2016-04-16	842
2016-04-17	986
2016-04-18	1098
2016-04-19	1084
2016-04-20	1128
2016-04-21	1283
2016-04-22	1213
2016-04-23	1019
2016-04-24	992
2016-04-25	1205
2016-04-26	1163
2016-04-27	1523
2016-04-28	1175
2016-04-29	977
2016-04-30	1080
2016-05-01	942
2016-05-02	1124
2016-05-03	937
2016-05-04	995
2016-05-05	767
2016-05-06	1381
2016-05-07	1003
2016-05-08	910
2016-05-09	998
2016-05-10	986
2016-05-11	1247
2016-05-12	1185
2016-05-13	1179
2016-05-14	978
2016-05-15	1027
2016-05-16	1192
2016-05-17	1608
2016-05-18	1032
2016-05-19	1105
2016-05-20	985
2016-05-21	1000
2016-05-22	917
2016-05-23	950
2016-05-24	1088
2016-05-25	1061
2016-05-26	1155
2016-05-27	1321
2016-05-28	975
2016-05-29	790
2016-05-30	952
2016-05-31	892
