date	freq
2015-06-01	223
2015-06-02	239
2015-06-03	204
2015-06-04	246
2015-06-05	236
2015-06-06	221
2015-06-07	230
2015-06-08	216
2015-06-09	211
2015-06-10	87
2015-06-11	228
2015-06-12	238
2015-06-13	277
2015-06-14	249
2015-06-15	229
2015-06-16	218
2015-06-17	233
2015-06-18	233
2015-06-19	239
2015-06-20	214
2015-06-21	227
2015-06-22	227
2015-06-23	246
2015-06-24	236
2015-06-25	229
2015-06-26	241
2015-06-27	216
2015-06-28	257
2015-06-29	257
2015-06-30	239
2015-07-01	234
2015-07-02	245
2015-07-03	228
2015-07-04	208
2015-07-05	215
2015-07-06	236
2015-07-07	220
2015-07-08	235
2015-07-09	263
2015-07-10	265
2015-07-11	239
2015-07-12	226
2015-07-13	242
2015-07-14	222
2015-07-15	243
2015-07-16	252
2015-07-17	254
2015-07-18	233
2015-07-19	258
2015-07-20	218
2015-07-21	255
2015-07-22	283
2015-07-23	233
2015-07-24	282
2015-07-25	206
2015-07-26	245
2015-07-27	262
2015-07-28	253
2015-07-29	266
2015-07-30	265
2015-07-31	271
2015-08-01	240
2015-08-02	254
2015-08-03	247
2015-08-04	278
2015-08-05	280
2015-08-06	241
2015-08-07	248
2015-08-08	250
2015-08-09	265
2015-08-10	255
2015-08-11	266
2015-08-12	202
2015-08-13	229
2015-08-14	222
2015-08-15	212
2015-08-16	245
2015-08-17	198
2015-08-18	220
2015-08-19	226
2015-08-20	237
2015-08-21	264
2015-08-22	235
2015-08-23	202
2015-08-24	219
2015-08-25	209
2015-08-26	215
2015-08-27	217
2015-08-28	195
2015-08-29	200
2015-08-30	230
2015-08-31	218
2015-09-01	232
2015-09-02	206
2015-09-03	194
2015-09-04	198
2015-09-05	198
2015-09-06	306
2015-09-07	228
2015-09-08	288
2015-09-09	313
2015-09-10	233
2015-09-11	208
2015-09-12	201
2015-09-13	215
2015-09-14	237
2015-09-15	220
2015-09-16	229
2015-09-17	176
2015-09-18	219
2015-09-19	221
2015-09-20	230
2015-09-21	204
2015-09-22	209
2015-09-23	226
2015-09-24	233
2015-09-25	208
2015-09-26	198
2015-09-27	182
2015-09-28	221
2015-09-29	228
2015-09-30	201
2015-10-01	220
2015-10-02	183
2015-10-03	206
2015-10-04	201
2015-10-05	183
2015-10-06	217
2015-10-07	204
2015-10-08	212
2015-10-09	192
2015-10-10	206
2015-10-11	189
2015-10-12	453
2015-10-13	1056
2015-10-14	365
2015-10-15	247
2015-10-16	226
2015-10-17	194
2015-10-18	202
2015-10-19	244
2015-10-20	177
2015-10-21	216
2015-10-22	214
2015-10-23	223
2015-10-24	179
2015-10-25	221
2015-10-26	164
2015-10-27	177
2015-10-28	193
2015-10-29	191
2015-10-30	150
2015-10-31	162
2015-11-01	169
2015-11-02	171
2015-11-03	184
2015-11-04	195
2015-11-05	166
2015-11-06	177
2015-11-07	172
2015-11-08	141
2015-11-09	154
2015-11-10	158
2015-11-11	135
2015-11-12	130
2015-11-13	140
2015-11-14	135
