date	freq
2015-06-01	8
2015-06-02	12
2015-06-03	8
2015-06-04	8
2015-06-05	19
2015-06-06	6
2015-06-07	6
2015-06-08	13
2015-06-09	12
2015-06-10	4
2015-06-11	14
2015-06-12	17
2015-06-13	11
2015-06-14	28
2015-06-15	22
2015-06-16	13
2015-06-17	11
2015-06-18	13
2015-06-19	19
2015-06-20	15
2015-06-21	15
2015-06-22	19
2015-06-23	8
2015-06-24	9
2015-06-25	12
2015-06-26	14
2015-06-27	12
2015-06-28	12
2015-06-29	16
2015-06-30	10
2015-07-01	12
2015-07-02	8
2015-07-03	5
2015-07-04	11
2015-07-05	14
2015-07-06	10
2015-07-07	13
2015-07-08	11
2015-07-09	12
2015-07-10	13
2015-07-11	8
2015-07-12	11
2015-07-13	15
2015-07-14	17
2015-07-15	13
2015-07-16	11
2015-07-17	14
2015-07-18	13
2015-07-19	19
2015-07-20	10
2015-07-21	11
2015-07-22	10
2015-07-23	13
2015-07-24	8
2015-07-25	11
2015-07-26	7
2015-07-27	11
2015-07-28	8
2015-07-29	14
2015-07-30	19
2015-07-31	13
2015-08-01	14
2015-08-02	18
2015-08-03	15
2015-08-04	12
2015-08-05	11
2015-08-06	6
2015-08-07	11
2015-08-08	5
2015-08-09	12
2015-08-10	11
2015-08-11	15
2015-08-12	21
2015-08-13	15
2015-08-14	7
2015-08-15	9
2015-08-16	12
2015-08-17	10
2015-08-18	8
2015-08-19	14
2015-08-20	11
2015-08-21	22
2015-08-22	21
2015-08-23	28
2015-08-24	20
2015-08-25	16
2015-08-26	11
2015-08-27	14
2015-08-28	9
2015-08-29	10
2015-08-30	16
2015-08-31	13
2015-09-01	12
2015-09-02	10
2015-09-03	11
2015-09-04	12
2015-09-05	20
2015-09-06	13
2015-09-07	16
2015-09-08	14
2015-09-09	19
2015-09-10	14
2015-09-11	10
2015-09-12	9
2015-09-13	6
2015-09-14	13
2015-09-15	11
2015-09-16	10
2015-09-17	10
2015-09-18	12
2015-09-19	6
2015-09-20	8
2015-09-21	16
2015-09-22	22
2015-09-23	10
2015-09-24	6
2015-09-25	12
2015-09-26	14
2015-09-27	13
2015-09-28	16
2015-09-29	9
2015-09-30	11
2015-10-01	13
2015-10-02	7
2015-10-03	13
2015-10-04	21
2015-10-05	6
2015-10-06	58
2015-10-07	14
2015-10-08	16
2015-10-09	12
2015-10-10	17
2015-10-11	15
2015-10-12	14
2015-10-13	16
2015-10-14	11
2015-10-15	17
2015-10-16	24
2015-10-17	19
2015-10-18	28
2015-10-19	16
2015-10-20	6
2015-10-21	15
2015-10-22	14
2015-10-23	13
2015-10-24	16
2015-10-25	20
2015-10-26	14
2015-10-27	18
2015-10-28	20
2015-10-29	18
2015-10-30	11
2015-10-31	11
2015-11-01	17
2015-11-02	14
2015-11-03	11
2015-11-04	7
2015-11-05	15
2015-11-06	8
2015-11-07	4
2015-11-08	10
2015-11-09	8
2015-11-10	13
2015-11-11	13
2015-11-12	10
2015-11-13	8
2015-11-14	6
2015-11-15	3
2015-11-16	9
2015-11-17	16
2015-11-18	7
2015-11-19	13
2015-11-20	17
2015-11-21	4
2015-11-22	20
2015-11-23	18
2015-11-24	9
2015-11-25	8
2015-11-26	16
2015-11-27	8
2015-11-28	14
2015-11-29	12
2015-11-30	10
2015-12-01	20
2015-12-02	9
2015-12-03	14
2015-12-04	11
2015-12-05	23
2015-12-06	11
2015-12-07	9
2015-12-08	9
2015-12-09	11
2015-12-10	10
2015-12-11	8
2015-12-12	7
2015-12-13	15
2015-12-14	8
2015-12-15	15
2015-12-16	7
2015-12-17	9
2015-12-18	11
2015-12-19	8
2015-12-20	10
2015-12-21	7
2015-12-22	12
2015-12-23	11
2015-12-24	14
2015-12-25	7
2015-12-26	5
2015-12-27	23
2015-12-28	16
2015-12-29	6
2015-12-30	17
2015-12-31	11
2016-01-01	11
2016-01-02	11
2016-01-03	14
2016-01-04	9
2016-01-05	11
2016-01-06	15
2016-01-07	12
2016-01-08	15
2016-01-09	9
2016-01-10	11
2016-01-11	16
2016-01-12	11
2016-01-13	28
2016-01-14	10
2016-01-15	12
2016-01-16	15
2016-01-17	5
2016-01-18	11
2016-01-19	12
2016-01-20	21
2016-01-21	14
2016-01-22	13
2016-01-23	14
2016-01-24	14
2016-01-25	15
2016-01-26	20
2016-01-27	15
2016-01-28	16
2016-01-29	11
2016-01-30	7
2016-01-31	4
2016-02-01	14
2016-02-02	11
2016-02-03	14
2016-02-04	15
2016-02-05	7
2016-02-06	7
2016-02-07	7
2016-02-08	5
2016-02-09	9
2016-02-10	8
2016-02-11	10
2016-02-12	12
2016-02-13	19
2016-02-14	9
2016-02-15	6
2016-02-16	16
2016-02-17	16
2016-02-18	17
2016-02-19	14
2016-02-20	8
2016-02-21	10
2016-02-22	10
2016-02-23	12
2016-02-24	11
2016-02-25	13
2016-02-26	13
2016-02-27	13
2016-02-28	12
2016-02-29	13
2016-03-01	19
2016-03-02	14
2016-03-03	13
2016-03-04	7
2016-03-05	9
2016-03-06	6
2016-03-07	13
2016-03-08	17
2016-03-09	11
2016-03-10	8
2016-03-11	9
2016-03-12	13
2016-03-13	22
2016-03-14	17
2016-03-15	11
2016-03-16	9
2016-03-17	10
2016-03-18	14
2016-03-19	16
2016-03-20	10
2016-03-21	2
2016-03-22	11
2016-03-23	13
2016-03-24	4
2016-03-25	5
2016-03-26	6
2016-03-27	9
2016-03-28	10
2016-03-29	11
2016-03-30	10
2016-03-31	9
2016-04-01	12
2016-04-02	10
2016-04-03	15
2016-04-04	7
2016-04-05	5
2016-04-06	9
2016-04-07	6
2016-04-08	12
2016-04-09	14
2016-04-10	7
2016-04-11	8
2016-04-12	5
2016-04-13	7
2016-04-14	3
2016-04-15	6
2016-04-16	9
2016-04-17	12
2016-04-18	10
2016-04-19	4
2016-04-20	13
2016-04-21	9
2016-04-22	17
2016-04-23	19
2016-04-24	5
2016-04-25	9
2016-04-26	12
2016-04-27	9
2016-04-28	10
2016-04-29	7
2016-04-30	9
2016-05-01	9
2016-05-02	9
2016-05-03	6
2016-05-04	9
2016-05-05	10
2016-05-06	10
2016-05-07	12
2016-05-08	12
2016-05-09	10
2016-05-10	7
2016-05-11	7
2016-05-12	5
2016-05-13	9
2016-05-14	12
2016-05-15	14
2016-05-16	10
2016-05-17	10
2016-05-18	10
2016-05-19	10
2016-05-20	8
2016-05-21	34
2016-05-22	11
2016-05-23	7
2016-05-24	12
2016-05-25	10
2016-05-26	10
2016-05-27	6
2016-05-28	5
2016-05-29	7
2016-05-30	14
2016-05-31	8
