date	freq
2015-06-01	11
2015-06-02	5
2015-06-03	8
2015-06-04	6
2015-06-05	3
2015-06-06	5
2015-06-07	6
2015-06-08	7
2015-06-09	10
2015-06-10	6
2015-06-11	4
2015-06-12	1
2015-06-13	6
2015-06-14	8
2015-06-15	3
2015-06-16	5
2015-06-17	1
2015-06-18	50
2015-06-19	6
2015-06-20	4
2015-06-21	4
2015-06-22	8
2015-06-23	2
2015-06-24	7
2015-06-25	4
2015-06-26	3
2015-06-27	4
2015-06-28	4
2015-06-29	5
2015-06-30	3
2015-07-01	8
2015-07-02	4
2015-07-03	1
2015-07-04	7
2015-07-05	2
2015-07-06	13
2015-07-07	9
2015-07-08	5
2015-07-09	5
2015-07-10	8
2015-07-11	1
2015-07-12	9
2015-07-13	3
2015-07-14	6
2015-07-15	2
2015-07-16	5
2015-07-17	5
2015-07-18	4
2015-07-19	4
2015-07-20	6
2015-07-21	16
2015-07-22	44
2015-07-23	46
2015-07-24	14
2015-07-25	7
2015-07-26	10
2015-07-27	9
2015-07-28	11
2015-07-29	9
2015-07-30	8
2015-07-31	6
2015-08-01	4
2015-08-02	3
2015-08-03	6
2015-08-04	5
2015-08-05	2
2015-08-06	6
2015-08-07	6
2015-08-08	5
2015-08-09	4
2015-08-10	10
2015-08-11	6
2015-08-12	4
2015-08-13	8
2015-08-14	4
2015-08-15	3
2015-08-16	2
2015-08-17	3
2015-08-18	4
2015-08-19	7
2015-08-20	8
2015-08-21	3
2015-08-22	5
2015-08-23	5
2015-08-24	3
2015-08-25	8
2015-08-26	5
2015-08-27	3
2015-08-28	3
2015-08-29	3
2015-08-30	2
2015-08-31	3
2015-09-01	5
2015-09-02	7
2015-09-03	5
2015-09-04	1
2015-09-05	7
2015-09-06	1
2015-09-07	3
2015-09-08	6
2015-09-09	3
2015-09-10	5
2015-09-11	3
2015-09-12	2
2015-09-13	3
2015-09-14	5
2015-09-15	7
2015-09-16	6
2015-09-17	2
2015-09-18	6
2015-09-19	2
2015-09-20	3
2015-09-21	4
2015-09-22	5
2015-09-23	3
2015-09-24	5
2015-09-25	11
2015-09-26	6
2015-09-27	5
2015-09-28	5
2015-09-29	5
2015-09-30	4
2015-10-01	5
2015-10-02	24
2015-10-03	2
2015-10-04	7
2015-10-05	4
2015-10-06	6
2015-10-07	2
2015-10-08	2
2015-10-09	7
2015-10-10	4
2015-10-11	9
2015-10-12	6
2015-10-13	3
2015-10-14	6
2015-10-15	5
2015-10-16	5
2015-10-17	5
2015-10-18	5
2015-10-19	5
2015-10-20	5
2015-10-21	5
2015-10-22	8
2015-10-23	5
2015-10-24	8
2015-10-25	3
2015-10-26	2
2015-10-27	9
2015-10-28	7
2015-10-29	6
2015-10-30	4
2015-10-31	1
2015-11-01	1
2015-11-02	5
2015-11-03	3
2015-11-04	7
2015-11-05	4
2015-11-06	2
2015-11-07	6
2015-11-08	9
2015-11-09	6
2015-11-10	3
2015-11-11	7
2015-11-12	2
2015-11-13	10
2015-11-14	3
2015-11-15	9
2015-11-16	6
2015-11-17	7
2015-11-18	6
2015-11-19	4
2015-11-20	6
2015-11-21	2
2015-11-22	5
2015-11-23	4
2015-11-24	7
2015-11-25	11
2015-11-26	6
2015-11-27	5
2015-11-28	7
2015-11-29	5
2015-11-30	11
2015-12-01	2
2015-12-02	3
2015-12-03	5
2015-12-04	3
2015-12-05	7
2015-12-06	3
2015-12-07	6
2015-12-08	4
2015-12-09	2
2015-12-10	3
2015-12-11	3
2015-12-12	3
2015-12-13	9
2015-12-14	5
2015-12-15	10
2015-12-16	5
2015-12-17	9
2015-12-18	4
2015-12-19	8
2015-12-20	6
2015-12-21	6
2015-12-22	3
2015-12-23	5
2015-12-24	7
2015-12-25	2
2015-12-26	3
2015-12-27	8
2015-12-28	2
2015-12-29	6
2015-12-30	10
2015-12-31	8
2016-01-01	4
2016-01-02	3
2016-01-03	2
2016-01-04	4
2016-01-05	3
2016-01-06	5
2016-01-07	3
2016-01-08	15
2016-01-09	6
2016-01-10	4
2016-01-11	4
2016-01-12	3
2016-01-13	6
2016-01-14	7
2016-01-15	8
2016-01-16	4
2016-01-17	5
2016-01-18	1
2016-01-19	2
2016-01-20	4
2016-01-21	4
2016-01-22	6
2016-01-23	3
2016-01-24	1
2016-01-25	2
2016-01-26	10
2016-01-27	3
2016-01-28	5
2016-01-29	7
2016-01-30	5
2016-01-31	4
2016-02-01	10
2016-02-02	11
2016-02-03	15
2016-02-04	10
2016-02-05	19
2016-02-06	11
2016-02-07	6
2016-02-08	10
2016-02-09	6
2016-02-10	6
2016-02-11	6
2016-02-12	4
2016-02-13	3
2016-02-14	11
2016-02-15	3
2016-02-16	8
2016-02-17	3
2016-02-18	9
2016-02-19	5
2016-02-20	4
2016-02-21	5
2016-02-22	3
2016-02-23	2
2016-02-24	2
2016-02-25	4
2016-02-26	3
2016-02-27	9
2016-02-28	6
2016-02-29	8
2016-03-01	7
2016-03-02	7
2016-03-03	5
2016-03-04	5
2016-03-05	4
2016-03-06	7
2016-03-07	7
2016-03-08	4
2016-03-09	13
2016-03-10	11
2016-03-11	13
2016-03-12	5
2016-03-13	5
2016-03-14	11
2016-03-15	6
2016-03-16	15
2016-03-17	5
2016-03-18	3
2016-03-19	11
2016-03-20	5
2016-03-21	5
2016-03-22	20
2016-03-23	10
2016-03-24	8
2016-03-25	8
2016-03-26	11
2016-03-27	11
2016-03-28	9
2016-03-29	3
2016-03-30	9
2016-03-31	10
2016-04-01	6
2016-04-02	12
2016-04-03	6
2016-04-04	7
2016-04-05	5
2016-04-06	5
2016-04-07	7
2016-04-08	8
2016-04-09	4
2016-04-10	4
2016-04-11	5
2016-04-12	9
2016-04-13	11
2016-04-14	4
2016-04-15	5
2016-04-16	6
2016-04-17	5
2016-04-18	4
2016-04-19	9
2016-04-20	3
2016-04-21	8
2016-04-22	5
2016-04-23	5
2016-04-24	9
2016-04-25	6
2016-04-26	3
2016-04-27	6
2016-04-28	4
2016-04-29	2
2016-04-30	5
2016-05-01	5
2016-05-02	7
2016-05-03	5
2016-05-04	4
2016-05-05	7
2016-05-06	7
2016-05-07	5
2016-05-08	4
2016-05-09	6
2016-05-10	5
2016-05-11	3
2016-05-12	5
2016-05-13	8
2016-05-14	5
2016-05-15	9
2016-05-16	8
2016-05-17	2
2016-05-18	9
2016-05-19	3
2016-05-20	4
2016-05-21	5
2016-05-22	6
2016-05-23	6
2016-05-24	3
2016-05-25	5
2016-05-26	6
2016-05-27	3
2016-05-28	2
2016-05-29	4
2016-05-30	7
2016-05-31	5
