date	freq
2015-06-01	37
2015-06-02	48
2015-06-03	52
2015-06-04	37
2015-06-05	43
2015-06-06	39
2015-06-07	54
2015-06-08	20
2015-06-09	26
2015-06-10	24
2015-06-11	39
2015-06-12	38
2015-06-13	39
2015-06-14	44
2015-06-15	52
2015-06-16	38
2015-06-17	45
2015-06-18	48
2015-06-19	39
2015-06-20	36
2015-06-21	49
2015-06-22	51
2015-06-23	43
2015-06-24	29
2015-06-25	47
2015-06-26	50
2015-06-27	65
2015-06-28	42
2015-06-29	54
2015-06-30	28
2015-07-01	68
2015-07-02	61
2015-07-03	35
2015-07-04	53
2015-07-05	37
2015-07-06	41
2015-07-07	36
2015-07-08	35
2015-07-09	34
2015-07-10	36
2015-07-11	68
2015-07-12	58
2015-07-13	47
2015-07-14	48
2015-07-15	45
2015-07-16	46
2015-07-17	60
2015-07-18	41
2015-07-19	47
2015-07-20	52
2015-07-21	57
2015-07-22	52
2015-07-23	40
2015-07-24	51
2015-07-25	45
2015-07-26	39
2015-07-27	51
2015-07-28	65
2015-07-29	49
2015-07-30	53
2015-07-31	48
2015-08-01	35
2015-08-02	39
2015-08-03	78
2015-08-04	61
2015-08-05	57
2015-08-06	42
2015-08-07	72
2015-08-08	36
2015-08-09	42
2015-08-10	56
2015-08-11	55
2015-08-12	156
2015-08-13	63
2015-08-14	80
2015-08-15	44
2015-08-16	49
2015-08-17	45
2015-08-18	33
2015-08-19	36
2015-08-20	35
2015-08-21	47
2015-08-22	61
2015-08-23	45
2015-08-24	48
2015-08-25	34
2015-08-26	70
2015-08-27	42
2015-08-28	42
2015-08-29	42
2015-08-30	55
2015-08-31	40
2015-09-01	52
2015-09-02	47
2015-09-03	53
2015-09-04	52
2015-09-05	48
2015-09-06	40
2015-09-07	55
2015-09-08	38
2015-09-09	42
2015-09-10	50
2015-09-11	32
2015-09-12	52
2015-09-13	51
2015-09-14	48
2015-09-15	45
2015-09-16	33
2015-09-17	44
2015-09-18	43
2015-09-19	53
2015-09-20	47
2015-09-21	43
2015-09-22	35
2015-09-23	45
2015-09-24	36
2015-09-25	32
2015-09-26	34
2015-09-27	41
2015-09-28	48
2015-09-29	39
2015-09-30	36
2015-10-01	37
2015-10-02	26
2015-10-03	30
2015-10-04	39
2015-10-05	37
2015-10-06	36
2015-10-07	27
2015-10-08	33
2015-10-09	46
2015-10-10	39
2015-10-11	29
2015-10-12	43
2015-10-13	40
2015-10-14	47
2015-10-15	38
2015-10-16	50
2015-10-17	49
2015-10-18	55
2015-10-19	47
2015-10-20	42
2015-10-21	31
2015-10-22	36
2015-10-23	42
2015-10-24	40
2015-10-25	33
2015-10-26	32
2015-10-27	41
2015-10-28	39
2015-10-29	35
2015-10-30	44
2015-10-31	53
2015-11-01	33
2015-11-02	34
2015-11-03	39
2015-11-04	37
2015-11-05	31
2015-11-06	37
2015-11-07	43
2015-11-08	36
2015-11-09	29
2015-11-10	33
2015-11-11	31
2015-11-12	33
2015-11-13	24
2015-11-14	22
2015-11-15	35
2015-11-16	67
2015-11-17	52
2015-11-18	42
2015-11-19	40
2015-11-20	40
2015-11-21	23
2015-11-22	30
2015-11-23	34
2015-11-24	48
2015-11-25	24
2015-11-26	39
2015-11-27	32
2015-11-28	26
2015-11-29	32
2015-11-30	45
2015-12-01	43
2015-12-02	21
2015-12-03	34
2015-12-04	32
2015-12-05	34
2015-12-06	29
2015-12-07	27
2015-12-08	39
2015-12-09	35
2015-12-10	34
2015-12-11	28
2015-12-12	26
2015-12-13	27
2015-12-14	26
2015-12-15	29
2015-12-16	27
2015-12-17	26
2015-12-18	26
2015-12-19	29
2015-12-20	53
2015-12-21	38
2015-12-22	39
2015-12-23	31
2015-12-24	29
2015-12-25	36
2015-12-26	24
2015-12-27	29
2015-12-28	28
2015-12-29	30
2015-12-30	38
2015-12-31	30
2016-01-01	28
2016-01-02	33
2016-01-03	27
2016-01-04	25
2016-01-05	34
2016-01-06	38
2016-01-07	22
2016-01-08	35
2016-01-09	31
2016-01-10	25
2016-01-11	15
2016-01-12	21
2016-01-13	28
2016-01-14	33
2016-01-15	21
2016-01-16	58
2016-01-17	38
2016-01-18	27
2016-01-19	29
2016-01-20	29
2016-01-21	42
2016-01-22	32
2016-01-23	29
2016-01-24	32
2016-01-25	25
2016-01-26	34
2016-01-27	32
2016-01-28	46
2016-01-29	24
2016-01-30	22
2016-01-31	33
2016-02-01	35
2016-02-02	33
2016-02-03	40
2016-02-04	26
2016-02-05	34
2016-02-06	38
2016-02-07	29
2016-02-08	28
2016-02-09	41
2016-02-10	43
2016-02-11	25
2016-02-12	24
2016-02-13	23
2016-02-14	34
2016-02-15	40
2016-02-16	32
2016-02-17	33
2016-02-18	34
2016-02-19	21
2016-02-20	28
2016-02-21	34
2016-02-22	35
2016-02-23	26
2016-02-24	29
2016-02-25	54
2016-02-26	29
2016-02-27	26
2016-02-28	37
2016-02-29	21
2016-03-01	27
2016-03-02	30
2016-03-03	45
2016-03-04	21
2016-03-05	40
2016-03-06	27
2016-03-07	37
2016-03-08	43
2016-03-09	36
2016-03-10	40
2016-03-11	43
2016-03-12	28
2016-03-13	35
2016-03-14	41
2016-03-15	33
2016-03-16	31
2016-03-17	32
2016-03-18	27
2016-03-19	32
2016-03-20	30
2016-03-21	29
2016-03-22	39
2016-03-23	47
2016-03-24	192
2016-03-25	40
2016-03-26	33
2016-03-27	28
2016-03-28	46
2016-03-29	70
2016-03-30	55
2016-03-31	45
2016-04-01	49
2016-04-02	30
2016-04-03	37
2016-04-04	32
2016-04-05	37
2016-04-06	35
2016-04-07	26
2016-04-08	31
2016-04-09	34
2016-04-10	26
2016-04-11	35
2016-04-12	36
2016-04-13	32
2016-04-14	23
2016-04-15	30
2016-04-16	30
2016-04-17	23
2016-04-18	32
2016-04-19	68
2016-04-20	57
2016-04-21	51
2016-04-22	28
2016-04-23	31
2016-04-24	32
2016-04-25	24
2016-04-26	36
2016-04-27	23
2016-04-28	29
2016-04-29	32
2016-04-30	38
2016-05-01	52
2016-05-02	35
2016-05-03	40
2016-05-04	37
2016-05-05	49
2016-05-06	33
2016-05-07	36
2016-05-08	42
2016-05-09	34
2016-05-10	41
2016-05-11	37
2016-05-12	27
2016-05-13	32
2016-05-14	31
2016-05-15	43
2016-05-16	44
2016-05-17	30
2016-05-18	28
2016-05-19	45
2016-05-20	37
2016-05-21	33
2016-05-22	43
2016-05-23	36
2016-05-24	26
2016-05-25	33
2016-05-26	34
2016-05-27	71
2016-05-28	52
2016-05-29	36
2016-05-30	28
2016-05-31	23
