date	freq
2015-06-01	4
2015-06-02	10
2015-06-03	24
2015-06-04	6
2015-06-05	14
2015-06-06	14
2015-06-07	13
2015-06-08	11
2015-06-09	12
2015-06-10	5
2015-06-11	18
2015-06-12	21
2015-06-13	14
2015-06-14	7
2015-06-15	9
2015-06-16	9
2015-06-17	11
2015-06-18	16
2015-06-19	15
2015-06-20	9
2015-06-21	20
2015-06-22	15
2015-06-23	17
2015-06-24	13
2015-06-25	16
2015-06-26	20
2015-06-27	22
2015-06-28	13
2015-06-29	13
2015-06-30	13
2015-07-01	16
2015-07-02	12
2015-07-03	10
2015-07-04	15
2015-07-05	14
2015-07-06	8
2015-07-07	13
2015-07-08	18
2015-07-09	14
2015-07-10	15
2015-07-11	18
2015-07-12	9
2015-07-13	20
2015-07-14	17
2015-07-15	10
2015-07-16	17
2015-07-17	9
2015-07-18	23
2015-07-19	17
2015-07-20	9
2015-07-21	7
2015-07-22	25
2015-07-23	10
2015-07-24	19
2015-07-25	13
2015-07-26	28
2015-07-27	22
2015-07-28	14
2015-07-29	10
2015-07-30	10
2015-07-31	21
2015-08-01	10
2015-08-02	19
2015-08-03	17
2015-08-04	15
2015-08-05	4
2015-08-06	6
2015-08-07	12
2015-08-08	18
2015-08-09	13
2015-08-10	23
2015-08-11	9
2015-08-12	16
2015-08-13	18
2015-08-14	10
2015-08-15	14
2015-08-16	22
2015-08-17	7
2015-08-18	11
2015-08-19	7
2015-08-20	12
2015-08-21	12
2015-08-22	13
2015-08-23	12
2015-08-24	8
2015-08-25	12
2015-08-26	21
2015-08-27	19
2015-08-28	8
2015-08-29	17
2015-08-30	14
2015-08-31	14
2015-09-01	9
2015-09-02	5
2015-09-03	7
2015-09-04	16
2015-09-05	9
2015-09-06	26
2015-09-07	6
2015-09-08	10
2015-09-09	8
2015-09-10	15
2015-09-11	9
2015-09-12	9
2015-09-13	21
2015-09-14	11
2015-09-15	17
2015-09-16	5
2015-09-17	11
2015-09-18	8
2015-09-19	7
2015-09-20	1
2015-09-21	10
2015-09-22	11
2015-09-23	22
2015-09-24	7
2015-09-25	7
2015-09-26	10
2015-09-27	11
2015-09-28	13
2015-09-29	14
2015-09-30	7
2015-10-01	6
2015-10-02	10
2015-10-03	10
2015-10-04	6
2015-10-05	9
2015-10-06	8
2015-10-07	8
2015-10-08	11
2015-10-09	3
2015-10-10	6
2015-10-11	11
2015-10-12	15
2015-10-13	17
2015-10-14	9
2015-10-15	9
2015-10-16	5
2015-10-17	7
2015-10-18	8
2015-10-19	10
2015-10-20	13
2015-10-21	11
2015-10-22	12
2015-10-23	11
2015-10-24	5
2015-10-25	16
2015-10-26	11
2015-10-27	13
2015-10-28	10
2015-10-29	12
2015-10-30	12
2015-10-31	13
2015-11-01	17
2015-11-02	14
2015-11-03	26
2015-11-04	12
2015-11-05	18
2015-11-06	16
2015-11-07	7
2015-11-08	11
2015-11-09	15
2015-11-10	14
2015-11-11	20
2015-11-12	25
2015-11-13	18
2015-11-14	17
2015-11-15	21
2015-11-16	19
2015-11-17	15
2015-11-18	14
2015-11-19	12
2015-11-20	12
2015-11-21	10
2015-11-22	25
2015-11-23	17
2015-11-24	10
2015-11-25	8
2015-11-26	10
2015-11-27	10
2015-11-28	16
2015-11-29	12
2015-11-30	8
2015-12-01	5
2015-12-02	14
2015-12-03	22
2015-12-04	11
2015-12-05	27
2015-12-06	13
2015-12-07	13
2015-12-08	11
2015-12-09	19
2015-12-10	15
2015-12-11	8
2015-12-12	12
2015-12-13	9
2015-12-14	15
2015-12-15	13
2015-12-16	19
2015-12-17	15
2015-12-18	14
2015-12-19	15
2015-12-20	12
2015-12-21	16
2015-12-22	9
2015-12-23	15
2015-12-24	9
2015-12-25	12
2015-12-26	14
2015-12-27	20
2015-12-28	15
2015-12-29	8
2015-12-30	12
2015-12-31	6
2016-01-01	11
2016-01-02	11
2016-01-03	9
2016-01-04	13
2016-01-05	12
2016-01-06	11
2016-01-07	24
2016-01-08	13
2016-01-09	16
2016-01-10	20
2016-01-11	23
