date	freq
2015-06-01	615
2015-06-02	633
2015-06-03	647
2015-06-04	686
2015-06-05	668
2015-06-06	577
2015-06-07	582
2015-06-08	673
2015-06-09	654
2015-06-10	680
2015-06-11	658
2015-06-12	673
2015-06-13	591
2015-06-14	514
2015-06-15	606
2015-06-16	630
2015-06-17	622
2015-06-18	576
2015-06-19	639
2015-06-20	542
2015-06-21	497
2015-06-22	578
2015-06-23	604
2015-06-24	586
2015-06-25	570
2015-06-26	593
2015-06-27	544
2015-06-28	521
2015-06-29	667
2015-06-30	595
2015-07-01	611
2015-07-02	641
2015-07-03	598
2015-07-04	551
2015-07-05	510
2015-07-06	572
2015-07-07	578
2015-07-08	600
2015-07-09	587
2015-07-10	609
2015-07-11	522
2015-07-12	550
2015-07-13	592
2015-07-14	610
2015-07-15	576
2015-07-16	557
2015-07-17	570
2015-07-18	586
2015-07-19	519
2015-07-20	562
2015-07-21	585
2015-07-22	643
2015-07-23	674
2015-07-24	699
2015-07-25	602
2015-07-26	529
2015-07-27	623
2015-07-28	659
2015-07-29	625
2015-07-30	608
2015-07-31	561
2015-08-01	514
2015-08-02	538
2015-08-03	631
2015-08-04	598
2015-08-05	594
2015-08-06	588
2015-08-07	516
2015-08-08	477
2015-08-09	504
2015-08-10	583
2015-08-11	625
2015-08-12	530
2015-08-13	534
2015-08-14	578
2015-08-15	555
2015-08-16	564
2015-08-17	590
2015-08-18	646
2015-08-19	631
2015-08-20	557
2015-08-21	558
2015-08-22	543
2015-08-23	519
2015-08-24	549
2015-08-25	593
2015-08-26	619
2015-08-27	530
2015-08-28	610
2015-08-29	524
2015-08-30	493
2015-08-31	613
2015-09-01	641
2015-09-02	619
2015-09-03	595
2015-09-04	641
2015-09-05	509
2015-09-06	564
2015-09-07	607
2015-09-08	627
2015-09-09	598
2015-09-10	544
2015-09-11	534
2015-09-12	492
2015-09-13	506
2015-09-14	561
2015-09-15	623
2015-09-16	608
2015-09-17	565
2015-09-18	607
2015-09-19	603
2015-09-20	501
2015-09-21	471
2015-09-22	570
2015-09-23	686
2015-09-24	629
2015-09-25	618
2015-09-26	581
2015-09-27	573
2015-09-28	611
2015-09-29	620
2015-09-30	585
2015-10-01	696
2015-10-02	622
2015-10-03	564
2015-10-04	585
2015-10-05	590
2015-10-06	684
2015-10-07	711
2015-10-08	679
2015-10-09	617
2015-10-10	584
2015-10-11	491
2015-10-12	582
2015-10-13	659
2015-10-14	628
2015-10-15	638
2015-10-16	630
2015-10-17	552
2015-10-18	549
2015-10-19	680
2015-10-20	603
2015-10-21	740
2015-10-22	735
2015-10-23	681
2015-10-24	604
2015-10-25	582
2015-10-26	652
2015-10-27	634
2015-10-28	670
2015-10-29	739
2015-10-30	774
2015-10-31	568
2015-11-01	540
2015-11-02	736
2015-11-03	536
2015-11-04	717
2015-11-05	554
2015-11-06	645
2015-11-07	671
2015-11-08	544
2015-11-09	649
2015-11-10	695
2015-11-11	632
2015-11-12	652
2015-11-13	633
2015-11-14	696
2015-11-15	628
2015-11-16	614
2015-11-17	686
2015-11-18	684
2015-11-19	754
2015-11-20	596
2015-11-21	630
2015-11-22	590
2015-11-23	560
2015-11-24	641
2015-11-25	664
2015-11-26	622
2015-11-27	549
2015-11-28	567
2015-11-29	678
2015-11-30	700
2015-12-01	706
2015-12-02	677
2015-12-03	608
2015-12-04	613
2015-12-05	668
2015-12-06	532
2015-12-07	622
2015-12-08	629
2015-12-09	582
2015-12-10	558
2015-12-11	641
2015-12-12	607
2015-12-13	653
2015-12-14	559
2015-12-15	525
2015-12-16	557
2015-12-17	580
2015-12-18	533
2015-12-19	463
2015-12-20	464
2015-12-21	540
2015-12-22	576
2015-12-23	499
2015-12-24	482
2015-12-25	536
2015-12-26	467
2015-12-27	478
2015-12-28	522
2015-12-29	499
2015-12-30	513
2015-12-31	448
2016-01-01	379
2016-01-02	440
2016-01-03	450
2016-01-04	478
2016-01-05	652
2016-01-06	663
2016-01-07	653
2016-01-08	652
2016-01-09	553
2016-01-10	561
2016-01-11	579
2016-01-12	598
2016-01-13	594
2016-01-14	624
2016-01-15	631
2016-01-16	537
2016-01-17	542
2016-01-18	628
2016-01-19	645
2016-01-20	1001
2016-01-21	612
2016-01-22	619
2016-01-23	583
2016-01-24	613
2016-01-25	610
2016-01-26	656
2016-01-27	624
2016-01-28	621
2016-01-29	599
2016-01-30	551
2016-01-31	578
2016-02-01	595
2016-02-02	628
2016-02-03	710
2016-02-04	741
2016-02-05	677
2016-02-06	617
2016-02-07	595
2016-02-08	620
2016-02-09	608
2016-02-10	619
2016-02-11	595
2016-02-12	623
2016-02-13	567
2016-02-14	625
2016-02-15	607
2016-02-16	622
2016-02-17	663
2016-02-18	615
2016-02-19	606
2016-02-20	538
2016-02-21	515
2016-02-22	615
2016-02-23	639
2016-02-24	578
2016-02-25	555
2016-02-26	544
2016-02-27	635
2016-02-28	528
2016-02-29	584
2016-03-01	568
2016-03-02	520
2016-03-03	558
2016-03-04	541
2016-03-05	534
2016-03-06	571
2016-03-07	609
2016-03-08	590
2016-03-09	606
2016-03-10	570
2016-03-11	563
2016-03-12	454
2016-03-13	523
2016-03-14	493
2016-03-15	561
2016-03-16	585
2016-03-17	547
2016-03-18	516
2016-03-19	506
2016-03-20	471
2016-03-21	517
2016-03-22	555
2016-03-23	537
2016-03-24	502
2016-03-25	518
2016-03-26	453
2016-03-27	497
2016-03-28	558
2016-03-29	583
2016-03-30	548
2016-03-31	542
2016-04-01	523
2016-04-02	458
2016-04-03	468
2016-04-04	558
2016-04-05	657
2016-04-06	533
2016-04-07	578
2016-04-08	563
2016-04-09	502
2016-04-10	577
2016-04-11	661
2016-04-12	911
2016-04-13	1059
2016-04-14	753
2016-04-15	738
2016-04-16	428
2016-04-17	545
2016-04-18	534
2016-04-19	637
2016-04-20	682
2016-04-21	608
2016-04-22	619
2016-04-23	515
2016-04-24	531
2016-04-25	644
2016-04-26	590
2016-04-27	831
2016-04-28	564
2016-04-29	582
2016-04-30	477
2016-05-01	493
2016-05-02	621
2016-05-03	1026
2016-05-04	700
2016-05-05	603
2016-05-06	668
2016-05-07	1088
2016-05-08	627
2016-05-09	785
2016-05-10	617
2016-05-11	646
2016-05-12	805
2016-05-13	895
2016-05-14	688
2016-05-15	782
2016-05-16	664
2016-05-17	904
2016-05-18	691
2016-05-19	609
2016-05-20	612
2016-05-21	519
2016-05-22	575
2016-05-23	958
2016-05-24	1051
2016-05-25	994
2016-05-26	683
2016-05-27	670
2016-05-28	591
2016-05-29	668
2016-05-30	581
2016-05-31	733
