date	freq
2015-06-01	52
2015-06-02	69
2015-06-03	47
2015-06-04	59
2015-06-05	66
2015-06-06	52
2015-06-07	54
2015-06-08	78
2015-06-09	66
2015-06-10	61
2015-06-11	64
2015-06-12	65
2015-06-13	42
2015-06-14	44
2015-06-15	65
2015-06-16	65
2015-06-17	66
2015-06-18	66
2015-06-19	62
2015-06-20	48
2015-06-21	55
2015-06-22	80
2015-06-23	69
2015-06-24	74
2015-06-25	68
2015-06-26	57
2015-06-27	48
2015-06-28	41
2015-06-29	63
2015-06-30	57
2015-07-01	61
2015-07-02	47
2015-07-03	78
2015-07-04	45
2015-07-05	42
2015-07-06	54
2015-07-07	51
2015-07-08	62
2015-07-09	62
2015-07-10	65
2015-07-11	49
2015-07-12	62
2015-07-13	65
2015-07-14	77
2015-07-15	53
2015-07-16	60
2015-07-17	79
2015-07-18	75
2015-07-19	63
2015-07-20	74
2015-07-21	62
2015-07-22	89
2015-07-23	70
2015-07-24	77
2015-07-25	65
2015-07-26	58
2015-07-27	56
2015-07-28	74
2015-07-29	81
2015-07-30	172
2015-07-31	76
2015-08-01	58
2015-08-02	71
2015-08-03	66
2015-08-04	71
2015-08-05	77
2015-08-06	67
2015-08-07	69
2015-08-08	49
2015-08-09	46
2015-08-10	55
2015-08-11	62
2015-08-12	57
2015-08-13	68
2015-08-14	44
2015-08-15	26
2015-08-16	50
2015-08-17	58
2015-08-18	59
2015-08-19	53
2015-08-20	59
2015-08-21	58
2015-08-22	45
2015-08-23	49
2015-08-24	59
2015-08-25	51
2015-08-26	55
2015-08-27	50
2015-08-28	49
2015-08-29	51
2015-08-30	50
2015-08-31	56
2015-09-01	55
2015-09-02	54
2015-09-03	59
2015-09-04	65
2015-09-05	66
2015-09-06	50
2015-09-07	50
2015-09-08	59
2015-09-09	44
2015-09-10	54
2015-09-11	39
2015-09-12	33
2015-09-13	37
2015-09-14	49
2015-09-15	50
2015-09-16	59
2015-09-17	53
2015-09-18	51
2015-09-19	46
2015-09-20	50
2015-09-21	44
2015-09-22	41
2015-09-23	62
2015-09-24	57
2015-09-25	65
2015-09-26	50
2015-09-27	46
2015-09-28	52
2015-09-29	55
2015-09-30	52
2015-10-01	62
2015-10-02	55
2015-10-03	71
2015-10-04	53
2015-10-05	67
2015-10-06	72
2015-10-07	54
2015-10-08	67
2015-10-09	72
2015-10-10	44
2015-10-11	52
2015-10-12	48
2015-10-13	66
2015-10-14	88
2015-10-15	88
2015-10-16	77
2015-10-17	59
2015-10-18	79
2015-10-19	76
2015-10-20	77
2015-10-21	96
2015-10-22	64
2015-10-23	91
2015-10-24	75
2015-10-25	58
2015-10-26	74
2015-10-27	49
2015-10-28	71
2015-10-29	129
2015-10-30	80
2015-10-31	118
2015-11-01	63
2015-11-02	81
2015-11-03	65
2015-11-04	78
2015-11-05	78
2015-11-06	65
2015-11-07	69
2015-11-08	61
2015-11-09	82
2015-11-10	87
2015-11-11	57
2015-11-12	66
2015-11-13	60
2015-11-14	57
2015-11-15	63
2015-11-16	64
2015-11-17	75
2015-11-18	84
2015-11-19	73
2015-11-20	63
2015-11-21	57
2015-11-22	70
2015-11-23	60
2015-11-24	83
2015-11-25	80
2015-11-26	71
2015-11-27	67
2015-11-28	66
2015-11-29	55
2015-11-30	76
2015-12-01	72
2015-12-02	73
2015-12-03	72
2015-12-04	61
2015-12-05	46
2015-12-06	50
2015-12-07	65
2015-12-08	61
2015-12-09	48
2015-12-10	51
2015-12-11	56
2015-12-12	62
2015-12-13	58
2015-12-14	67
2015-12-15	61
2015-12-16	59
2015-12-17	65
2015-12-18	60
2015-12-19	56
2015-12-20	54
2015-12-21	66
2015-12-22	109
2015-12-23	72
2015-12-24	50
2015-12-25	51
2015-12-26	55
2015-12-27	72
2015-12-28	49
2015-12-29	43
2015-12-30	52
2015-12-31	50
2016-01-01	19
2016-01-02	23
2016-01-03	35
2016-01-04	49
2016-01-05	44
2016-01-06	57
2016-01-07	75
2016-01-08	69
2016-01-09	49
2016-01-10	55
2016-01-11	54
2016-01-12	60
2016-01-13	49
2016-01-14	64
2016-01-15	53
2016-01-16	47
2016-01-17	59
2016-01-18	42
2016-01-19	47
2016-01-20	49
2016-01-21	66
2016-01-22	63
2016-01-23	46
2016-01-24	57
2016-01-25	46
2016-01-26	49
2016-01-27	49
2016-01-28	65
2016-01-29	64
2016-01-30	45
2016-01-31	49
2016-02-01	57
2016-02-02	60
2016-02-03	55
2016-02-04	44
2016-02-05	53
2016-02-06	61
2016-02-07	60
2016-02-08	57
2016-02-09	64
2016-02-10	64
2016-02-11	50
2016-02-12	49
2016-02-13	51
2016-02-14	45
2016-02-15	74
2016-02-16	59
2016-02-17	69
2016-02-18	52
2016-02-19	43
2016-02-20	44
2016-02-21	49
2016-02-22	50
2016-02-23	47
2016-02-24	69
2016-02-25	60
2016-02-26	51
2016-02-27	41
2016-02-28	61
2016-02-29	49
2016-03-01	54
2016-03-02	59
2016-03-03	52
2016-03-04	68
2016-03-05	49
2016-03-06	52
2016-03-07	49
2016-03-08	58
2016-03-09	71
2016-03-10	51
2016-03-11	53
2016-03-12	38
2016-03-13	33
2016-03-14	51
2016-03-15	48
2016-03-16	64
2016-03-17	54
2016-03-18	48
2016-03-19	44
2016-03-20	33
2016-03-21	53
2016-03-22	45
2016-03-23	68
2016-03-24	60
2016-03-25	42
2016-03-26	42
2016-03-27	56
2016-03-28	57
2016-03-29	36
2016-03-30	49
2016-03-31	57
2016-04-01	51
2016-04-02	59
2016-04-03	50
2016-04-04	42
2016-04-05	52
2016-04-06	52
2016-04-07	71
2016-04-08	66
2016-04-09	35
2016-04-10	43
2016-04-11	46
2016-04-12	63
2016-04-13	45
2016-04-14	56
2016-04-15	46
2016-04-16	31
2016-04-17	58
2016-04-18	45
2016-04-19	52
2016-04-20	50
2016-04-21	49
2016-04-22	63
2016-04-23	40
2016-04-24	50
2016-04-25	54
2016-04-26	56
2016-04-27	59
2016-04-28	47
2016-04-29	44
2016-04-30	59
2016-05-01	70
2016-05-02	64
2016-05-03	49
2016-05-04	40
2016-05-05	44
2016-05-06	51
2016-05-07	63
2016-05-08	64
2016-05-09	71
2016-05-10	52
2016-05-11	62
2016-05-12	61
2016-05-13	63
2016-05-14	48
2016-05-15	43
2016-05-16	58
2016-05-17	63
2016-05-18	64
2016-05-19	67
2016-05-20	94
2016-05-21	50
2016-05-22	54
2016-05-23	66
2016-05-24	67
