date	freq
2015-06-01	15
2015-06-02	14
2015-06-03	18
2015-06-04	13
2015-06-05	10
2015-06-06	13
2015-06-07	11
2015-06-08	13
2015-06-09	13
2015-06-10	17
2015-06-11	10
2015-06-12	12
2015-06-13	16
2015-06-14	4
2015-06-15	19
2015-06-16	16
2015-06-17	17
2015-06-18	19
2015-06-19	11
2015-06-20	9
2015-06-21	11
2015-06-22	12
2015-06-23	14
2015-06-24	11
2015-06-25	13
2015-06-26	7
2015-06-27	12
2015-06-28	3
2015-06-29	9
2015-06-30	17
2015-07-01	23
2015-07-02	10
2015-07-03	12
2015-07-04	11
2015-07-05	13
2015-07-06	20
2015-07-07	16
2015-07-08	12
2015-07-09	11
2015-07-10	20
2015-07-11	15
2015-07-12	12
2015-07-13	16
2015-07-14	8
2015-07-15	19
2015-07-16	15
2015-07-17	12
2015-07-18	12
2015-07-19	13
2015-07-20	9
2015-07-21	18
2015-07-22	16
2015-07-23	15
2015-07-24	18
2015-07-25	17
2015-07-26	16
2015-07-27	17
2015-07-28	22
2015-07-29	19
2015-07-30	14
2015-07-31	5
2015-08-01	9
2015-08-02	14
2015-08-03	17
2015-08-04	16
2015-08-05	16
2015-08-06	12
2015-08-07	12
2015-08-08	14
2015-08-09	21
2015-08-10	14
2015-08-11	12
2015-08-12	5
2015-08-13	15
2015-08-14	10
2015-08-15	11
2015-08-16	16
2015-08-17	15
2015-08-18	20
2015-08-19	13
2015-08-20	11
2015-08-21	15
2015-08-22	11
2015-08-23	15
2015-08-24	9
2015-08-25	15
2015-08-26	15
2015-08-27	13
2015-08-28	18
2015-08-29	16
2015-08-30	21
2015-08-31	12
2015-09-01	23
2015-09-02	22
2015-09-03	20
2015-09-04	10
2015-09-05	21
2015-09-06	23
2015-09-07	11
2015-09-08	20
2015-09-09	17
2015-09-10	18
2015-09-11	21
2015-09-12	17
2015-09-13	12
2015-09-14	14
2015-09-15	29
2015-09-16	16
2015-09-17	13
2015-09-18	19
2015-09-19	11
2015-09-20	16
2015-09-21	20
2015-09-22	14
2015-09-23	11
2015-09-24	13
2015-09-25	11
2015-09-26	11
2015-09-27	16
2015-09-28	12
2015-09-29	17
2015-09-30	11
2015-10-01	7
2015-10-02	16
2015-10-03	11
2015-10-04	14
2015-10-05	22
2015-10-06	19
2015-10-07	16
2015-10-08	24
2015-10-09	20
2015-10-10	12
2015-10-11	14
2015-10-12	11
2015-10-13	12
2015-10-14	13
2015-10-15	12
2015-10-16	17
2015-10-17	15
2015-10-18	16
2015-10-19	7
2015-10-20	21
2015-10-21	14
2015-10-22	16
2015-10-23	19
2015-10-24	14
2015-10-25	18
2015-10-26	15
2015-10-27	12
2015-10-28	8
2015-10-29	13
2015-10-30	17
2015-10-31	9
2015-11-01	12
2015-11-02	16
2015-11-03	17
2015-11-04	13
2015-11-05	18
2015-11-06	20
2015-11-07	13
2015-11-08	15
2015-11-09	12
2015-11-10	16
2015-11-11	17
2015-11-12	12
2015-11-13	10
2015-11-14	15
2015-11-15	13
2015-11-16	15
2015-11-17	7
2015-11-18	12
2015-11-19	10
2015-11-20	13
2015-11-21	15
2015-11-22	13
2015-11-23	10
2015-11-24	15
2015-11-25	30
2015-11-26	33
2015-11-27	11
2015-11-28	25
2015-11-29	11
2015-11-30	20
2015-12-01	17
2015-12-02	10
2015-12-03	15
2015-12-04	16
2015-12-05	9
2015-12-06	16
2015-12-07	15
2015-12-08	12
2015-12-09	18
2015-12-10	10
2015-12-11	17
2015-12-12	11
2015-12-13	10
2015-12-14	9
2015-12-15	14
2015-12-16	22
2015-12-17	12
2015-12-18	17
2015-12-19	15
2015-12-20	14
2015-12-21	11
2015-12-22	47
2015-12-23	9
2015-12-24	12
2015-12-25	10
2015-12-26	48
2015-12-27	43
2015-12-28	19
2015-12-29	15
2015-12-30	15
2015-12-31	15
2016-01-01	10
2016-01-02	13
2016-01-03	16
2016-01-04	16
2016-01-05	12
2016-01-06	10
2016-01-07	15
2016-01-08	9
2016-01-09	15
2016-01-10	10
2016-01-11	10
2016-01-12	9
2016-01-13	10
2016-01-14	31
2016-01-15	18
2016-01-16	19
2016-01-17	18
2016-01-18	12
2016-01-19	10
2016-01-20	13
2016-01-21	13
2016-01-22	6
2016-01-23	7
2016-01-24	14
2016-01-25	13
2016-01-26	9
2016-01-27	12
2016-01-28	8
