date	freq
2015-06-01	15
2015-06-02	9
2015-06-03	9
2015-06-04	16
2015-06-05	13
2015-06-06	8
2015-06-07	9
2015-06-08	17
2015-06-09	7
2015-06-10	15
2015-06-11	7
2015-06-12	9
2015-06-13	13
2015-06-14	11
2015-06-15	9
2015-06-16	11
2015-06-17	10
2015-06-18	5
2015-06-19	20
2015-06-20	9
2015-06-21	11
2015-06-22	12
2015-06-23	5
2015-06-24	12
2015-06-25	9
2015-06-26	10
2015-06-27	7
2015-06-28	11
2015-06-29	14
2015-06-30	13
2015-07-01	13
2015-07-02	10
2015-07-03	15
2015-07-04	8
2015-07-05	7
2015-07-06	10
2015-07-07	15
2015-07-08	7
2015-07-09	7
2015-07-10	10
2015-07-11	14
2015-07-12	10
2015-07-13	11
2015-07-14	15
2015-07-15	13
2015-07-16	20
2015-07-17	9
2015-07-18	10
2015-07-19	7
2015-07-20	18
2015-07-21	13
2015-07-22	15
2015-07-23	18
2015-07-24	20
2015-07-25	19
2015-07-26	19
2015-07-27	13
2015-07-28	23
2015-07-29	13
2015-07-30	13
2015-07-31	24
2015-08-01	14
2015-08-02	14
2015-08-03	14
2015-08-04	14
2015-08-05	7
2015-08-06	7
2015-08-07	11
2015-08-08	5
2015-08-09	11
2015-08-10	9
2015-08-11	7
2015-08-12	14
2015-08-13	14
2015-08-14	9
2015-08-15	18
2015-08-16	14
2015-08-17	7
2015-08-18	6
2015-08-19	12
2015-08-20	8
2015-08-21	14
2015-08-22	14
2015-08-23	12
2015-08-24	13
2015-08-25	8
2015-08-26	13
2015-08-27	17
2015-08-28	11
2015-08-29	4
2015-08-30	10
2015-08-31	16
2015-09-01	16
2015-09-02	13
2015-09-03	12
2015-09-04	12
2015-09-05	4
2015-09-06	19
2015-09-07	8
2015-09-08	9
2015-09-09	20
2015-09-10	17
2015-09-11	16
2015-09-12	12
2015-09-13	12
2015-09-14	17
2015-09-15	9
2015-09-16	7
2015-09-17	10
2015-09-18	8
2015-09-19	16
2015-09-20	15
2015-09-21	10
2015-09-22	11
2015-09-23	17
2015-09-24	19
2015-09-25	18
2015-09-26	10
2015-09-27	12
2015-09-28	14
2015-09-29	16
2015-09-30	7
2015-10-01	20
2015-10-02	11
2015-10-03	18
2015-10-04	8
2015-10-05	18
2015-10-06	20
2015-10-07	15
2015-10-08	12
2015-10-09	14
2015-10-10	23
2015-10-11	6
2015-10-12	12
2015-10-13	17
2015-10-14	15
2015-10-15	17
2015-10-16	12
2015-10-17	28
2015-10-18	42
2015-10-19	39
2015-10-20	17
2015-10-21	19
2015-10-22	29
2015-10-23	26
2015-10-24	33
2015-10-25	22
2015-10-26	17
2015-10-27	21
2015-10-28	14
2015-10-29	13
2015-10-30	18
2015-10-31	7
2015-11-01	24
2015-11-02	17
2015-11-03	12
2015-11-04	24
2015-11-05	19
2015-11-06	12
2015-11-07	21
2015-11-08	17
2015-11-09	15
2015-11-10	15
2015-11-11	13
2015-11-12	22
2015-11-13	13
2015-11-14	11
2015-11-15	12
2015-11-16	15
2015-11-17	21
2015-11-18	18
2015-11-19	19
2015-11-20	19
2015-11-21	11
2015-11-22	11
2015-11-23	7
2015-11-24	19
2015-11-25	11
2015-11-26	15
2015-11-27	14
2015-11-28	20
2015-11-29	15
2015-11-30	15
2015-12-01	19
2015-12-02	12
2015-12-03	13
2015-12-04	15
2015-12-05	12
2015-12-06	14
2015-12-07	17
2015-12-08	15
2015-12-09	19
2015-12-10	17
2015-12-11	20
2015-12-12	17
2015-12-13	12
2015-12-14	14
2015-12-15	18
2015-12-16	15
2015-12-17	15
2015-12-18	6
2015-12-19	19
2015-12-20	11
2015-12-21	17
2015-12-22	12
2015-12-23	8
2015-12-24	14
2015-12-25	9
2015-12-26	11
2015-12-27	10
2015-12-28	12
2015-12-29	20
2015-12-30	12
2015-12-31	14
2016-01-01	8
2016-01-02	8
2016-01-03	8
2016-01-04	20
2016-01-05	19
2016-01-06	16
2016-01-07	15
2016-01-08	10
2016-01-09	12
2016-01-10	17
2016-01-11	9
2016-01-12	12
2016-01-13	16
2016-01-14	12
2016-01-15	8
2016-01-16	10
2016-01-17	8
2016-01-18	10
2016-01-19	23
2016-01-20	12
2016-01-21	5
2016-01-22	3
2016-01-23	7
2016-01-24	10
2016-01-25	15
2016-01-26	9
2016-01-27	7
2016-01-28	11
