date	freq
2015-06-01	9
2015-06-02	5
2015-06-03	2
2015-06-04	2
2015-06-05	5
2015-06-06	6
2015-06-07	5
2015-06-08	3
2015-06-09	3
2015-06-10	3
2015-06-11	7
2015-06-12	5
2015-06-13	4
2015-06-14	4
2015-06-15	2
2015-06-16	4
2015-06-17	5
2015-06-18	7
2015-06-19	2
2015-06-20	8
2015-06-21	3
2015-06-22	8
2015-06-23	5
2015-06-24	8
2015-06-25	12
2015-06-26	5
2015-06-27	10
2015-06-28	2
2015-06-29	6
2015-06-30	0
2015-07-01	7
2015-07-02	5
2015-07-03	11
2015-07-04	10
2015-07-05	5
2015-07-06	4
2015-07-07	6
2015-07-08	5
2015-07-09	6
2015-07-10	8
2015-07-11	2
2015-07-12	3
2015-07-13	6
2015-07-14	7
2015-07-15	7
2015-07-16	3
2015-07-17	8
2015-07-18	2
2015-07-19	1
2015-07-20	4
2015-07-21	8
2015-07-22	4
2015-07-23	5
2015-07-24	8
2015-07-25	0
2015-07-26	3
2015-07-27	7
2015-07-28	2
2015-07-29	3
2015-07-30	6
2015-07-31	6
2015-08-01	5
2015-08-02	2
2015-08-03	6
2015-08-04	6
2015-08-05	6
2015-08-06	5
2015-08-07	2
2015-08-08	1
2015-08-09	4
2015-08-10	1
2015-08-11	3
2015-08-12	3
2015-08-13	5
2015-08-14	2
2015-08-15	2
2015-08-16	2
2015-08-17	4
2015-08-18	1
2015-08-19	3
2015-08-20	3
2015-08-21	3
2015-08-22	2
2015-08-23	4
2015-08-24	6
2015-08-25	5
2015-08-26	4
2015-08-27	5
2015-08-28	6
2015-08-29	0
2015-08-30	3
2015-08-31	6
2015-09-01	4
2015-09-02	2
2015-09-03	3
2015-09-04	5
2015-09-05	5
2015-09-06	5
2015-09-07	3
2015-09-08	7
2015-09-09	6
2015-09-10	5
2015-09-11	9
2015-09-12	0
2015-09-13	3
2015-09-14	1
2015-09-15	5
2015-09-16	5
2015-09-17	7
2015-09-18	3
2015-09-19	7
2015-09-20	1
2015-09-21	4
2015-09-22	5
2015-09-23	4
2015-09-24	3
2015-09-25	5
