date	freq
2015-06-01	16
2015-06-02	4
2015-06-03	9
2015-06-04	10
2015-06-05	11
2015-06-06	8
2015-06-07	4
2015-06-08	6
2015-06-09	3
2015-06-10	4
2015-06-11	8
2015-06-12	11
2015-06-13	4
2015-06-14	5
2015-06-15	9
2015-06-16	7
2015-06-17	3
2015-06-18	5
2015-06-19	2
2015-06-20	4
2015-06-21	3
2015-06-22	7
2015-06-23	3
2015-06-24	8
2015-06-25	3
2015-06-26	9
2015-06-27	11
2015-06-28	4
2015-06-29	8
2015-06-30	4
2015-07-01	0
2015-07-02	5
2015-07-03	7
2015-07-04	7
2015-07-05	6
2015-07-06	8
2015-07-07	13
2015-07-08	5
2015-07-09	3
2015-07-10	8
2015-07-11	9
2015-07-12	9
2015-07-13	4
2015-07-14	6
2015-07-15	2
2015-07-16	4
2015-07-17	6
2015-07-18	8
2015-07-19	0
2015-07-20	6
2015-07-21	6
2015-07-22	7
2015-07-23	5
2015-07-24	8
2015-07-25	6
2015-07-26	7
2015-07-27	8
2015-07-28	6
2015-07-29	2
2015-07-30	1
2015-07-31	8
2015-08-01	1
2015-08-02	6
2015-08-03	6
2015-08-04	8
2015-08-05	6
2015-08-06	8
2015-08-07	12
2015-08-08	8
2015-08-09	5
2015-08-10	2
2015-08-11	6
2015-08-12	1
2015-08-13	2
2015-08-14	8
2015-08-15	6
2015-08-16	7
2015-08-17	4
2015-08-18	8
2015-08-19	5
2015-08-20	3
2015-08-21	10
2015-08-22	2
2015-08-23	7
2015-08-24	10
2015-08-25	9
2015-08-26	9
2015-08-27	7
2015-08-28	13
2015-08-29	7
2015-08-30	5
2015-08-31	6
2015-09-01	6
2015-09-02	8
2015-09-03	34
2015-09-04	7
2015-09-05	2
2015-09-06	5
2015-09-07	6
2015-09-08	4
2015-09-09	12
2015-09-10	6
2015-09-11	3
2015-09-12	5
2015-09-13	6
2015-09-14	3
2015-09-15	7
2015-09-16	4
2015-09-17	6
2015-09-18	3
2015-09-19	3
2015-09-20	6
2015-09-21	4
2015-09-22	4
2015-09-23	9
2015-09-24	6
2015-09-25	8
2015-09-26	4
2015-09-27	7
2015-09-28	4
2015-09-29	8
2015-09-30	7
2015-10-01	7
2015-10-02	2
2015-10-03	4
2015-10-04	0
2015-10-05	12
2015-10-06	5
2015-10-07	11
2015-10-08	9
2015-10-09	5
2015-10-10	6
2015-10-11	3
2015-10-12	3
2015-10-13	6
2015-10-14	7
2015-10-15	7
2015-10-16	8
2015-10-17	5
2015-10-18	2
2015-10-19	3
2015-10-20	5
2015-10-21	5
2015-10-22	4
2015-10-23	5
2015-10-24	5
2015-10-25	3
2015-10-26	6
2015-10-27	2
2015-10-28	5
2015-10-29	8
2015-10-30	5
2015-10-31	3
2015-11-01	7
2015-11-02	9
2015-11-03	6
2015-11-04	5
2015-11-05	2
2015-11-06	7
2015-11-07	1
2015-11-08	7
2015-11-09	12
2015-11-10	13
2015-11-11	12
2015-11-12	13
2015-11-13	15
2015-11-14	18
2015-11-15	18
2015-11-16	13
2015-11-17	8
2015-11-18	6
2015-11-19	7
2015-11-20	8
2015-11-21	9
2015-11-22	8
2015-11-23	20
2015-11-24	6
2015-11-25	4
2015-11-26	7
2015-11-27	6
2015-11-28	12
2015-11-29	11
2015-11-30	12
2015-12-01	8
2015-12-02	4
2015-12-03	5
2015-12-04	9
2015-12-05	12
2015-12-06	4
2015-12-07	6
2015-12-08	6
2015-12-09	4
2015-12-10	7
2015-12-11	11
2015-12-12	5
2015-12-13	2
2015-12-14	8
