date	freq
2015-06-01	1248
2015-06-02	1208
2015-06-03	1279
2015-06-04	1401
2015-06-05	1390
2015-06-06	1280
2015-06-07	1148
2015-06-08	1262
2015-06-09	1332
2015-06-10	1461
2015-06-11	1316
2015-06-12	1436
2015-06-13	1324
2015-06-14	1247
2015-06-15	1292
2015-06-16	1338
2015-06-17	1309
2015-06-18	1265
2015-06-19	1391
2015-06-20	1225
2015-06-21	1174
2015-06-22	1522
2015-06-23	1562
2015-06-24	1317
2015-06-25	1406
2015-06-26	1450
2015-06-27	1313
2015-06-28	1633
2015-06-29	1435
2015-06-30	1514
2015-07-01	1694
2015-07-02	1280
2015-07-03	1288
2015-07-04	1446
2015-07-05	1292
2015-07-06	1600
2015-07-07	1500
2015-07-08	1586
2015-07-09	1402
2015-07-10	1223
2015-07-11	1230
2015-07-12	1378
2015-07-13	1429
2015-07-14	1400
2015-07-15	1359
2015-07-16	1317
2015-07-17	1369
2015-07-18	1061
2015-07-19	1197
2015-07-20	1304
2015-07-21	1419
2015-07-22	1336
2015-07-23	1496
2015-07-24	1327
2015-07-25	1273
2015-07-26	1164
2015-07-27	1391
2015-07-28	1617
2015-07-29	1267
2015-07-30	1317
2015-07-31	1172
2015-08-01	1069
2015-08-02	1263
2015-08-03	1292
2015-08-04	1193
2015-08-05	1254
2015-08-06	1223
2015-08-07	1225
2015-08-08	1166
2015-08-09	1154
2015-08-10	1385
2015-08-11	1265
2015-08-12	1237
2015-08-13	1076
2015-08-14	1234
2015-08-15	1272
2015-08-16	1146
2015-08-17	1152
2015-08-18	1140
2015-08-19	1168
2015-08-20	1323
2015-08-21	1292
2015-08-22	1139
2015-08-23	1089
2015-08-24	1229
2015-08-25	1225
2015-08-26	1422
2015-08-27	1234
2015-08-28	1441
2015-08-29	1306
2015-08-30	1292
2015-08-31	1394
2015-09-01	1314
2015-09-02	1421
2015-09-03	1276
2015-09-04	1235
2015-09-05	1082
2015-09-06	1318
2015-09-07	1544
2015-09-08	1581
2015-09-09	1571
2015-09-10	1346
2015-09-11	1386
2015-09-12	1107
2015-09-13	1335
2015-09-14	1343
