date	freq
2015-06-01	522
2015-06-02	463
2015-06-03	489
2015-06-04	519
2015-06-05	556
2015-06-06	478
2015-06-07	379
2015-06-08	456
2015-06-09	459
2015-06-10	519
2015-06-11	470
2015-06-12	445
2015-06-13	435
2015-06-14	387
2015-06-15	478
2015-06-16	475
2015-06-17	519
2015-06-18	797
2015-06-19	491
2015-06-20	495
2015-06-21	408
2015-06-22	711
2015-06-23	641
2015-06-24	529
2015-06-25	597
2015-06-26	482
2015-06-27	441
2015-06-28	555
2015-06-29	445
2015-06-30	467
2015-07-01	571
2015-07-02	475
2015-07-03	457
2015-07-04	485
2015-07-05	412
2015-07-06	553
2015-07-07	453
2015-07-08	472
2015-07-09	490
2015-07-10	448
2015-07-11	367
2015-07-12	341
2015-07-13	421
2015-07-14	482
2015-07-15	467
2015-07-16	394
2015-07-17	393
2015-07-18	353
2015-07-19	366
2015-07-20	365
2015-07-21	419
2015-07-22	460
2015-07-23	415
2015-07-24	486
2015-07-25	449
2015-07-26	379
2015-07-27	407
2015-07-28	473
2015-07-29	449
2015-07-30	566
2015-07-31	399
2015-08-01	381
2015-08-02	315
2015-08-03	408
2015-08-04	422
2015-08-05	501
2015-08-06	408
2015-08-07	379
2015-08-08	311
2015-08-09	322
2015-08-10	362
2015-08-11	367
2015-08-12	373
2015-08-13	344
2015-08-14	347
2015-08-15	354
2015-08-16	303
2015-08-17	375
2015-08-18	379
2015-08-19	416
2015-08-20	394
2015-08-21	426
2015-08-22	357
2015-08-23	284
2015-08-24	465
2015-08-25	407
2015-08-26	399
2015-08-27	370
2015-08-28	401
2015-08-29	380
2015-08-30	348
2015-08-31	381
2015-09-01	464
2015-09-02	486
2015-09-03	440
2015-09-04	397
2015-09-05	465
2015-09-06	421
2015-09-07	430
2015-09-08	448
2015-09-09	505
2015-09-10	470
2015-09-11	508
2015-09-12	398
2015-09-13	498
2015-09-14	458
2015-09-15	486
2015-09-16	425
2015-09-17	487
2015-09-18	464
2015-09-19	439
2015-09-20	380
2015-09-21	443
2015-09-22	350
2015-09-23	339
2015-09-24	396
2015-09-25	437
2015-09-26	385
2015-09-27	354
2015-09-28	400
2015-09-29	475
2015-09-30	530
2015-10-01	496
2015-10-02	414
2015-10-03	477
2015-10-04	341
2015-10-05	404
2015-10-06	431
2015-10-07	472
2015-10-08	453
2015-10-09	396
2015-10-10	347
2015-10-11	345
2015-10-12	395
2015-10-13	407
2015-10-14	415
2015-10-15	414
2015-10-16	435
2015-10-17	382
2015-10-18	394
2015-10-19	525
2015-10-20	654
2015-10-21	588
2015-10-22	693
2015-10-23	474
2015-10-24	494
2015-10-25	521
2015-10-26	604
2015-10-27	570
2015-10-28	497
2015-10-29	508
2015-10-30	446
2015-10-31	376
2015-11-01	414
2015-11-02	428
2015-11-03	419
2015-11-04	499
2015-11-05	485
2015-11-06	488
2015-11-07	429
2015-11-08	429
2015-11-09	442
2015-11-10	487
2015-11-11	498
2015-11-12	464
2015-11-13	474
2015-11-14	418
2015-11-15	406
2015-11-16	473
2015-11-17	514
2015-11-18	525
2015-11-19	485
2015-11-20	501
2015-11-21	495
2015-11-22	412
2015-11-23	414
2015-11-24	484
2015-11-25	532
2015-11-26	457
2015-11-27	430
2015-11-28	451
2015-11-29	384
2015-11-30	426
2015-12-01	435
2015-12-02	448
2015-12-03	436
2015-12-04	484
2015-12-05	416
2015-12-06	373
2015-12-07	413
2015-12-08	483
2015-12-09	455
2015-12-10	534
2015-12-11	451
2015-12-12	420
2015-12-13	432
2015-12-14	447
2015-12-15	450
2015-12-16	484
2015-12-17	450
2015-12-18	466
2015-12-19	418
2015-12-20	365
2015-12-21	385
2015-12-22	391
2015-12-23	367
2015-12-24	362
2015-12-25	403
2015-12-26	365
2015-12-27	280
2015-12-28	389
2015-12-29	322
2015-12-30	332
