date	freq
2015-06-01	155
2015-06-02	186
2015-06-03	176
2015-06-04	169
2015-06-05	157
2015-06-06	139
2015-06-07	125
2015-06-08	145
2015-06-09	148
2015-06-10	146
2015-06-11	159
2015-06-12	162
2015-06-13	116
2015-06-14	141
2015-06-15	120
2015-06-16	179
2015-06-17	187
2015-06-18	164
2015-06-19	157
2015-06-20	152
2015-06-21	132
2015-06-22	172
2015-06-23	156
2015-06-24	181
2015-06-25	171
2015-06-26	155
2015-06-27	161
2015-06-28	140
2015-06-29	227
2015-06-30	157
2015-07-01	142
2015-07-02	169
2015-07-03	189
2015-07-04	210
2015-07-05	188
2015-07-06	159
2015-07-07	161
2015-07-08	172
2015-07-09	196
2015-07-10	178
2015-07-11	222
2015-07-12	166
2015-07-13	143
2015-07-14	167
2015-07-15	171
2015-07-16	142
2015-07-17	147
2015-07-18	155
2015-07-19	154
2015-07-20	135
2015-07-21	151
2015-07-22	145
2015-07-23	124
2015-07-24	150
2015-07-25	146
2015-07-26	133
2015-07-27	154
2015-07-28	201
2015-07-29	179
2015-07-30	150
2015-07-31	158
2015-08-01	130
2015-08-02	129
2015-08-03	140
2015-08-04	164
2015-08-05	179
2015-08-06	159
2015-08-07	132
2015-08-08	131
2015-08-09	139
2015-08-10	131
2015-08-11	126
2015-08-12	134
2015-08-13	120
2015-08-14	144
2015-08-15	143
2015-08-16	148
2015-08-17	140
2015-08-18	162
2015-08-19	145
2015-08-20	151
2015-08-21	138
2015-08-22	112
2015-08-23	144
2015-08-24	158
2015-08-25	131
2015-08-26	137
2015-08-27	140
2015-08-28	150
2015-08-29	143
2015-08-30	112
2015-08-31	125
2015-09-01	123
2015-09-02	143
2015-09-03	129
2015-09-04	140
2015-09-05	136
2015-09-06	128
2015-09-07	139
2015-09-08	163
2015-09-09	160
2015-09-10	123
2015-09-11	157
2015-09-12	137
2015-09-13	152
2015-09-14	147
2015-09-15	147
2015-09-16	126
2015-09-17	137
2015-09-18	140
2015-09-19	139
2015-09-20	136
2015-09-21	128
2015-09-22	163
2015-09-23	119
2015-09-24	142
2015-09-25	133
2015-09-26	145
2015-09-27	143
2015-09-28	144
2015-09-29	166
2015-09-30	128
2015-10-01	125
2015-10-02	134
2015-10-03	136
2015-10-04	110
2015-10-05	119
2015-10-06	119
2015-10-07	128
2015-10-08	150
2015-10-09	152
2015-10-10	144
2015-10-11	116
2015-10-12	121
2015-10-13	126
2015-10-14	160
2015-10-15	132
2015-10-16	131
2015-10-17	109
2015-10-18	138
2015-10-19	173
2015-10-20	161
2015-10-21	142
2015-10-22	106
2015-10-23	134
2015-10-24	126
2015-10-25	122
2015-10-26	231
2015-10-27	130
2015-10-28	150
2015-10-29	134
2015-10-30	125
2015-10-31	132
2015-11-01	132
2015-11-02	94
2015-11-03	131
2015-11-04	123
2015-11-05	129
2015-11-06	135
2015-11-07	127
2015-11-08	128
2015-11-09	149
2015-11-10	115
2015-11-11	131
2015-11-12	124
2015-11-13	139
2015-11-14	121
2015-11-15	128
2015-11-16	135
2015-11-17	142
2015-11-18	188
2015-11-19	95
2015-11-20	151
2015-11-21	112
