date	freq
2015-06-01	21
2015-06-02	29
2015-06-03	20
2015-06-04	40
2015-06-05	27
2015-06-06	19
2015-06-07	26
2015-06-08	33
2015-06-09	20
2015-06-10	24
2015-06-11	16
2015-06-12	15
2015-06-13	18
2015-06-14	14
2015-06-15	17
2015-06-16	13
2015-06-17	15
2015-06-18	15
2015-06-19	14
2015-06-20	19
2015-06-21	16
2015-06-22	13
2015-06-23	17
2015-06-24	11
2015-06-25	16
2015-06-26	21
2015-06-27	16
2015-06-28	19
2015-06-29	13
2015-06-30	21
2015-07-01	21
2015-07-02	19
2015-07-03	18
2015-07-04	17
2015-07-05	15
2015-07-06	15
2015-07-07	14
2015-07-08	25
2015-07-09	22
2015-07-10	11
2015-07-11	24
2015-07-12	9
2015-07-13	16
2015-07-14	15
2015-07-15	12
2015-07-16	13
2015-07-17	21
2015-07-18	21
2015-07-19	10
2015-07-20	7
2015-07-21	19
2015-07-22	17
2015-07-23	14
2015-07-24	77
2015-07-25	24
2015-07-26	26
2015-07-27	20
2015-07-28	17
2015-07-29	17
2015-07-30	17
2015-07-31	12
2015-08-01	14
2015-08-02	13
2015-08-03	17
2015-08-04	12
2015-08-05	20
2015-08-06	13
2015-08-07	137
2015-08-08	16
2015-08-09	13
2015-08-10	18
2015-08-11	16
2015-08-12	116
2015-08-13	23
2015-08-14	6
2015-08-15	9
2015-08-16	16
2015-08-17	30
2015-08-18	13
2015-08-19	16
2015-08-20	16
2015-08-21	14
2015-08-22	5
2015-08-23	23
2015-08-24	16
2015-08-25	53
2015-08-26	12
2015-08-27	118
2015-08-28	47
2015-08-29	14
2015-08-30	39
2015-08-31	12
2015-09-01	25
2015-09-02	22
2015-09-03	22
2015-09-04	22
2015-09-05	24
2015-09-06	103
2015-09-07	63
2015-09-08	17
2015-09-09	11
2015-09-10	15
2015-09-11	19
2015-09-12	11
2015-09-13	11
2015-09-14	85
2015-09-15	142
2015-09-16	64
2015-09-17	13
2015-09-18	13
2015-09-19	16
2015-09-20	27
2015-09-21	20
2015-09-22	14
2015-09-23	47
2015-09-24	24
2015-09-25	18
2015-09-26	42
2015-09-27	80
2015-09-28	14
2015-09-29	85
2015-09-30	23
2015-10-01	25
2015-10-02	21
2015-10-03	11
2015-10-04	24
2015-10-05	27
2015-10-06	17
2015-10-07	10
2015-10-08	12
2015-10-09	23
2015-10-10	23
2015-10-11	19
2015-10-12	14
2015-10-13	174
2015-10-14	13
2015-10-15	207
2015-10-16	170
2015-10-17	164
2015-10-18	31
2015-10-19	34
2015-10-20	171
2015-10-21	151
2015-10-22	163
2015-10-23	18
2015-10-24	15
2015-10-25	24
2015-10-26	21
2015-10-27	27
2015-10-28	31
2015-10-29	20
2015-10-30	23
2015-10-31	138
2015-11-01	24
2015-11-02	22
2015-11-03	27
2015-11-04	129
2015-11-05	13
2015-11-06	31
2015-11-07	37
2015-11-08	22
2015-11-09	25
2015-11-10	105
2015-11-11	72
2015-11-12	30
2015-11-13	25
2015-11-14	25
2015-11-15	17
2015-11-16	24
2015-11-17	32
2015-11-18	38
2015-11-19	19
2015-11-20	20
2015-11-21	34
2015-11-22	16
2015-11-23	22
2015-11-24	19
2015-11-25	20
2015-11-26	19
2015-11-27	21
2015-11-28	24
2015-11-29	16
2015-11-30	18
2015-12-01	14
2015-12-02	15
2015-12-03	10
2015-12-04	15
2015-12-05	19
2015-12-06	7
2015-12-07	12
2015-12-08	19
2015-12-09	19
2015-12-10	16
2015-12-11	18
2015-12-12	26
2015-12-13	17
2015-12-14	18
2015-12-15	15
2015-12-16	14
2015-12-17	18
2015-12-18	16
2015-12-19	16
2015-12-20	21
2015-12-21	18
2015-12-22	24
2015-12-23	13
2015-12-24	20
2015-12-25	34
2015-12-26	19
2015-12-27	18
2015-12-28	23
2015-12-29	20
2015-12-30	35
2015-12-31	23
2016-01-01	16
2016-01-02	12
2016-01-03	12
2016-01-04	17
2016-01-05	18
2016-01-06	17
2016-01-07	9
2016-01-08	27
2016-01-09	28
2016-01-10	30
2016-01-11	29
2016-01-12	28
2016-01-13	35
2016-01-14	30
2016-01-15	20
2016-01-16	28
2016-01-17	33
2016-01-18	23
2016-01-19	42
2016-01-20	34
2016-01-21	21
2016-01-22	18
2016-01-23	16
2016-01-24	28
2016-01-25	25
2016-01-26	40
2016-01-27	35
2016-01-28	28
2016-01-29	30
2016-01-30	24
2016-01-31	35
2016-02-01	31
2016-02-02	32
2016-02-03	27
2016-02-04	23
2016-02-05	28
2016-02-06	24
2016-02-07	17
2016-02-08	26
2016-02-09	34
2016-02-10	16
2016-02-11	17
2016-02-12	29
2016-02-13	13
2016-02-14	15
2016-02-15	17
2016-02-16	37
2016-02-17	14
2016-02-18	21
2016-02-19	18
2016-02-20	22
2016-02-21	21
2016-02-22	30
2016-02-23	39
2016-02-24	26
2016-02-25	30
2016-02-26	33
2016-02-27	34
2016-02-28	35
2016-02-29	20
2016-03-01	45
2016-03-02	19
2016-03-03	26
2016-03-04	21
2016-03-05	13
2016-03-06	27
2016-03-07	19
2016-03-08	30
2016-03-09	26
2016-03-10	21
2016-03-11	21
2016-03-12	27
2016-03-13	26
2016-03-14	27
2016-03-15	16
2016-03-16	26
2016-03-17	24
2016-03-18	25
2016-03-19	22
2016-03-20	25
2016-03-21	27
2016-03-22	27
2016-03-23	24
2016-03-24	21
2016-03-25	24
2016-03-26	21
2016-03-27	13
2016-03-28	23
2016-03-29	24
2016-03-30	26
2016-03-31	28
2016-04-01	20
2016-04-02	25
2016-04-03	31
2016-04-04	18
2016-04-05	13
2016-04-06	19
2016-04-07	26
2016-04-08	20
2016-04-09	25
2016-04-10	27
2016-04-11	18
2016-04-12	22
2016-04-13	19
2016-04-14	19
2016-04-15	21
2016-04-16	8
2016-04-17	18
2016-04-18	21
2016-04-19	18
2016-04-20	25
2016-04-21	13
2016-04-22	18
2016-04-23	29
2016-04-24	22
2016-04-25	40
2016-04-26	19
2016-04-27	31
2016-04-28	14
2016-04-29	25
2016-04-30	20
2016-05-01	23
2016-05-02	41
2016-05-03	27
2016-05-04	10
2016-05-05	22
2016-05-06	33
2016-05-07	23
2016-05-08	25
2016-05-09	28
2016-05-10	6
2016-05-11	45
2016-05-12	23
2016-05-13	36
2016-05-14	26
2016-05-15	23
2016-05-16	26
2016-05-17	35
2016-05-18	34
2016-05-19	27
2016-05-20	23
2016-05-21	16
2016-05-22	27
2016-05-23	15
2016-05-24	26
2016-05-25	27
2016-05-26	25
2016-05-27	20
2016-05-28	21
2016-05-29	18
2016-05-30	14
2016-05-31	24
