date	freq
2015-06-01	955
2015-06-02	956
2015-06-03	1038
2015-06-04	1182
2015-06-05	1184
2015-06-06	973
2015-06-07	837
2015-06-08	985
2015-06-09	1146
2015-06-10	1217
2015-06-11	1050
2015-06-12	1179
2015-06-13	1046
2015-06-14	1132
2015-06-15	969
2015-06-16	982
2015-06-17	1027
2015-06-18	1036
2015-06-19	1021
2015-06-20	879
2015-06-21	937
2015-06-22	1032
2015-06-23	1164
2015-06-24	946
2015-06-25	989
2015-06-26	1095
2015-06-27	992
2015-06-28	914
2015-06-29	1034
2015-06-30	1026
2015-07-01	1050
2015-07-02	1073
2015-07-03	1007
2015-07-04	934
2015-07-05	1010
2015-07-06	1075
2015-07-07	1088
2015-07-08	1212
2015-07-09	1174
2015-07-10	1098
2015-07-11	997
2015-07-12	1107
2015-07-13	1087
2015-07-14	1225
2015-07-15	1263
2015-07-16	973
2015-07-17	1179
2015-07-18	798
2015-07-19	874
2015-07-20	1046
2015-07-21	1263
2015-07-22	1185
2015-07-23	1339
2015-07-24	1185
2015-07-25	1045
2015-07-26	996
2015-07-27	1366
2015-07-28	1305
2015-07-29	1018
2015-07-30	1014
2015-07-31	902
2015-08-01	848
2015-08-02	913
2015-08-03	1007
2015-08-04	1049
2015-08-05	989
2015-08-06	1113
2015-08-07	1024
2015-08-08	993
2015-08-09	902
2015-08-10	1293
2015-08-11	1053
2015-08-12	1210
2015-08-13	1039
2015-08-14	905
2015-08-15	1012
2015-08-16	946
2015-08-17	915
2015-08-18	1050
2015-08-19	1095
2015-08-20	1100
2015-08-21	948
2015-08-22	877
2015-08-23	938
2015-08-24	1004
2015-08-25	1118
2015-08-26	1068
2015-08-27	1183
2015-08-28	1070
2015-08-29	973
2015-08-30	963
2015-08-31	999
2015-09-01	1153
2015-09-02	1174
2015-09-03	1034
2015-09-04	1084
2015-09-05	1015
2015-09-06	1017
2015-09-07	1124
2015-09-08	1140
2015-09-09	1269
2015-09-10	1129
2015-09-11	1180
2015-09-12	916
2015-09-13	1037
2015-09-14	1043
2015-09-15	1045
2015-09-16	1022
2015-09-17	1026
2015-09-18	1016
2015-09-19	1045
2015-09-20	1121
2015-09-21	1160
2015-09-22	1188
2015-09-23	1208
2015-09-24	1233
2015-09-25	1189
2015-09-26	910
2015-09-27	996
2015-09-28	1134
2015-09-29	963
2015-09-30	1074
2015-10-01	1344
2015-10-02	1009
2015-10-03	1070
2015-10-04	1129
2015-10-05	1346
2015-10-06	1362
2015-10-07	1199
2015-10-08	1028
2015-10-09	1193
2015-10-10	996
2015-10-11	1194
2015-10-12	1079
2015-10-13	1111
2015-10-14	1009
2015-10-15	1136
2015-10-16	1114
2015-10-17	943
2015-10-18	954
2015-10-19	1140
2015-10-20	1160
2015-10-21	1105
2015-10-22	1368
2015-10-23	1207
2015-10-24	1185
2015-10-25	918
2015-10-26	1337
2015-10-27	1151
2015-10-28	1263
2015-10-29	1125
2015-10-30	1078
2015-10-31	1040
2015-11-01	1248
2015-11-02	1132
2015-11-03	1066
2015-11-04	1281
2015-11-05	1185
2015-11-06	1142
2015-11-07	1217
2015-11-08	1108
2015-11-09	1223
2015-11-10	1093
2015-11-11	1143
2015-11-12	1147
2015-11-13	1036
2015-11-14	923
2015-11-15	1078
2015-11-16	993
2015-11-17	1151
2015-11-18	1173
2015-11-19	1304
2015-11-20	1024
2015-11-21	1090
2015-11-22	1142
2015-11-23	1308
2015-11-24	1072
2015-11-25	1049
2015-11-26	1133
2015-11-27	1083
2015-11-28	941
2015-11-29	897
2015-11-30	956
2015-12-01	1058
2015-12-02	1108
2015-12-03	1065
2015-12-04	1092
2015-12-05	1129
2015-12-06	859
2015-12-07	1026
2015-12-08	1179
2015-12-09	1080
2015-12-10	1244
2015-12-11	1215
2015-12-12	1092
2015-12-13	1170
2015-12-14	993
2015-12-15	1018
2015-12-16	1002
2015-12-17	1014
2015-12-18	1028
2015-12-19	963
2015-12-20	819
2015-12-21	961
2015-12-22	934
2015-12-23	924
2015-12-24	851
2015-12-25	913
2015-12-26	992
2015-12-27	821
2015-12-28	831
2015-12-29	759
2015-12-30	926
2015-12-31	762
2016-01-01	662
2016-01-02	866
2016-01-03	841
2016-01-04	920
2016-01-05	906
2016-01-06	1036
2016-01-07	1253
2016-01-08	1103
2016-01-09	1011
2016-01-10	930
2016-01-11	1255
2016-01-12	1065
2016-01-13	1215
2016-01-14	1098
2016-01-15	1174
2016-01-16	1116
2016-01-17	973
2016-01-18	1108
2016-01-19	1081
2016-01-20	1339
2016-01-21	1071
2016-01-22	1020
2016-01-23	1001
2016-01-24	1004
2016-01-25	1123
2016-01-26	1051
2016-01-27	1042
2016-01-28	1069
2016-01-29	1057
2016-01-30	951
2016-01-31	968
2016-02-01	925
2016-02-02	1102
2016-02-03	1392
2016-02-04	1404
2016-02-05	1275
2016-02-06	971
2016-02-07	998
2016-02-08	1138
2016-02-09	1352
2016-02-10	1023
2016-02-11	984
2016-02-12	1337
2016-02-13	1222
2016-02-14	1084
2016-02-15	1045
2016-02-16	1386
2016-02-17	1167
2016-02-18	1252
2016-02-19	1050
2016-02-20	1301
2016-02-21	958
2016-02-22	1065
2016-02-23	1059
2016-02-24	1147
2016-02-25	1142
2016-02-26	1078
2016-02-27	1058
2016-02-28	1115
2016-02-29	1580
2016-03-01	1276
2016-03-02	1306
2016-03-03	1115
2016-03-04	1099
2016-03-05	974
2016-03-06	1095
2016-03-07	1170
2016-03-08	1101
2016-03-09	1044
2016-03-10	1149
2016-03-11	1168
2016-03-12	877
2016-03-13	1346
2016-03-14	1077
2016-03-15	1013
2016-03-16	1018
2016-03-17	1088
2016-03-18	1059
2016-03-19	1013
2016-03-20	770
2016-03-21	978
2016-03-22	1108
2016-03-23	1132
2016-03-24	1097
2016-03-25	1081
2016-03-26	938
2016-03-27	1070
2016-03-28	1068
2016-03-29	1017
2016-03-30	1221
2016-03-31	988
2016-04-01	1177
2016-04-02	975
2016-04-03	989
2016-04-04	1184
2016-04-05	1192
2016-04-06	1154
2016-04-07	1354
2016-04-08	1216
2016-04-09	1412
2016-04-10	1434
2016-04-11	1186
2016-04-12	1303
2016-04-13	1327
2016-04-14	1276
2016-04-15	1556
2016-04-16	1166
2016-04-17	1304
2016-04-18	1189
2016-04-19	1280
2016-04-20	1205
2016-04-21	1637
2016-04-22	1379
2016-04-23	1334
2016-04-24	1015
2016-04-25	1531
2016-04-26	1390
2016-04-27	1627
2016-04-28	1266
2016-04-29	1357
2016-04-30	1158
2016-05-01	1136
2016-05-02	1149
2016-05-03	1059
2016-05-04	1020
2016-05-05	1018
2016-05-06	1129
2016-05-07	1217
2016-05-08	1695
2016-05-09	1334
2016-05-10	1255
2016-05-11	1778
2016-05-12	1934
2016-05-13	1998
2016-05-14	2237
2016-05-15	1681
2016-05-16	1993
2016-05-17	1780
2016-05-18	1671
2016-05-19	1973
2016-05-20	1703
2016-05-21	1459
2016-05-22	1131
2016-05-23	1063
2016-05-24	1050
2016-05-25	1617
2016-05-26	1584
2016-05-27	1578
2016-05-28	969
2016-05-29	953
2016-05-30	1076
2016-05-31	1264
