date	freq
2015-06-01	581
2015-06-02	661
2015-06-03	655
2015-06-04	680
2015-06-05	625
2015-06-06	574
2015-06-07	565
2015-06-08	583
2015-06-09	282
2015-06-10	320
2015-06-11	554
2015-06-12	544
2015-06-13	672
2015-06-14	654
2015-06-15	605
2015-06-16	578
2015-06-17	569
2015-06-18	643
2015-06-19	604
2015-06-20	640
2015-06-21	614
2015-06-22	635
2015-06-23	641
2015-06-24	648
2015-06-25	728
2015-06-26	632
2015-06-27	633
2015-06-28	557
2015-06-29	599
2015-06-30	559
2015-07-01	675
2015-07-02	621
2015-07-03	582
2015-07-04	466
2015-07-05	563
2015-07-06	505
2015-07-07	521
2015-07-08	454
2015-07-09	415
2015-07-10	385
2015-07-11	406
2015-07-12	816
2015-07-13	2747
2015-07-14	1142
2015-07-15	536
2015-07-16	463
2015-07-17	435
2015-07-18	520
2015-07-19	778
2015-07-20	620
2015-07-21	542
2015-07-22	412
2015-07-23	426
2015-07-24	395
2015-07-25	327
2015-07-26	353
2015-07-27	351
2015-07-28	375
2015-07-29	362
2015-07-30	349
2015-07-31	345
2015-08-01	404
2015-08-02	1365
2015-08-03	530
2015-08-04	416
2015-08-05	426
2015-08-06	410
2015-08-07	594
2015-08-08	555
2015-08-09	333
2015-08-10	339
2015-08-11	312
2015-08-12	346
2015-08-13	358
2015-08-14	325
2015-08-15	312
2015-08-16	338
2015-08-17	357
2015-08-18	309
2015-08-19	299
2015-08-20	354
2015-08-21	323
2015-08-22	336
2015-08-23	313
2015-08-24	361
2015-08-25	281
2015-08-26	342
2015-08-27	346
2015-08-28	337
2015-08-29	314
2015-08-30	351
2015-08-31	340
2015-09-01	352
2015-09-02	332
2015-09-03	382
2015-09-04	507
2015-09-05	465
2015-09-06	415
2015-09-07	327
2015-09-08	324
2015-09-09	341
2015-09-10	376
2015-09-11	426
2015-09-12	325
2015-09-13	358
2015-09-14	357
2015-09-15	331
2015-09-16	341
2015-09-17	340
2015-09-18	315
2015-09-19	345
2015-09-20	286
2015-09-21	314
2015-09-22	291
2015-09-23	302
2015-09-24	300
2015-09-25	312
2015-09-26	362
2015-09-27	278
2015-09-28	290
2015-09-29	291
2015-09-30	335
2015-10-01	249
2015-10-02	277
2015-10-03	315
2015-10-04	301
2015-10-05	256
2015-10-06	302
2015-10-07	280
2015-10-08	277
2015-10-09	281
2015-10-10	250
2015-10-11	291
2015-10-12	300
2015-10-13	316
2015-10-14	327
2015-10-15	347
2015-10-16	324
2015-10-17	260
2015-10-18	277
2015-10-19	327
2015-10-20	304
2015-10-21	325
2015-10-22	314
2015-10-23	263
2015-10-24	285
2015-10-25	331
2015-10-26	263
2015-10-27	292
2015-10-28	290
2015-10-29	324
2015-10-30	244
2015-10-31	289
2015-11-01	243
2015-11-02	242
2015-11-03	295
2015-11-04	292
2015-11-05	311
2015-11-06	284
2015-11-07	306
2015-11-08	279
2015-11-09	289
2015-11-10	292
2015-11-11	266
2015-11-12	289
2015-11-13	249
2015-11-14	290
2015-11-15	304
2015-11-16	227
2015-11-17	251
2015-11-18	319
2015-11-19	260
2015-11-20	267
2015-11-21	247
2015-11-22	267
2015-11-23	262
2015-11-24	279
2015-11-25	283
2015-11-26	336
2015-11-27	254
2015-11-28	213
2015-11-29	304
2015-11-30	300
2015-12-01	262
2015-12-02	303
2015-12-03	287
2015-12-04	267
2015-12-05	316
2015-12-06	321
2015-12-07	394
2015-12-08	275
2015-12-09	327
2015-12-10	296
2015-12-11	292
2015-12-12	306
2015-12-13	290
2015-12-14	306
2015-12-15	264
2015-12-16	283
2015-12-17	277
2015-12-18	247
2015-12-19	250
2015-12-20	270
2015-12-21	206
2015-12-22	252
2015-12-23	277
2015-12-24	285
2015-12-25	244
2015-12-26	278
2015-12-27	273
2015-12-28	268
2015-12-29	201
2015-12-30	228
2015-12-31	241
2016-01-01	300
2016-01-02	242
2016-01-03	231
2016-01-04	216
2016-01-05	281
2016-01-06	307
2016-01-07	310
2016-01-08	254
2016-01-09	268
2016-01-10	260
2016-01-11	264
2016-01-12	311
2016-01-13	283
2016-01-14	300
2016-01-15	245
2016-01-16	263
2016-01-17	474
2016-01-18	602
2016-01-19	315
2016-01-20	298
2016-01-21	282
2016-01-22	284
2016-01-23	263
2016-01-24	257
2016-01-25	322
2016-01-26	296
2016-01-27	296
2016-01-28	267
2016-01-29	319
2016-01-30	265
2016-01-31	268
2016-02-01	288
2016-02-02	279
2016-02-03	366
2016-02-04	322
2016-02-05	286
2016-02-06	318
2016-02-07	274
2016-02-08	320
2016-02-09	254
2016-02-10	251
2016-02-11	235
2016-02-12	269
2016-02-13	292
2016-02-14	277
2016-02-15	307
2016-02-16	285
2016-02-17	286
2016-02-18	282
2016-02-19	567
2016-02-20	321
2016-02-21	291
2016-02-22	296
2016-02-23	323
2016-02-24	295
2016-02-25	290
2016-02-26	252
2016-02-27	257
2016-02-28	279
2016-02-29	255
2016-03-01	272
2016-03-02	241
2016-03-03	265
2016-03-04	232
2016-03-05	258
2016-03-06	271
2016-03-07	252
2016-03-08	238
2016-03-09	256
