date	freq
2015-06-01	24
2015-06-02	21
2015-06-03	24
2015-06-04	29
2015-06-05	24
2015-06-06	29
2015-06-07	35
2015-06-08	25
2015-06-09	10
2015-06-10	22
2015-06-11	30
2015-06-12	31
2015-06-13	20
2015-06-14	46
2015-06-15	35
2015-06-16	25
2015-06-17	25
2015-06-18	21
2015-06-19	23
2015-06-20	28
2015-06-21	40
2015-06-22	18
2015-06-23	23
2015-06-24	20
2015-06-25	21
2015-06-26	26
2015-06-27	31
2015-06-28	36
2015-06-29	24
2015-06-30	11
2015-07-01	17
2015-07-02	21
2015-07-03	24
2015-07-04	26
2015-07-05	37
2015-07-06	19
2015-07-07	28
2015-07-08	18
2015-07-09	28
2015-07-10	17
2015-07-11	17
2015-07-12	26
2015-07-13	23
2015-07-14	31
2015-07-15	21
2015-07-16	24
2015-07-17	15
2015-07-18	25
2015-07-19	26
2015-07-20	20
2015-07-21	28
2015-07-22	33
2015-07-23	28
2015-07-24	26
2015-07-25	40
2015-07-26	45
2015-07-27	26
2015-07-28	25
2015-07-29	26
2015-07-30	24
2015-07-31	37
2015-08-01	19
2015-08-02	16
2015-08-03	24
2015-08-04	23
2015-08-05	35
2015-08-06	21
2015-08-07	22
2015-08-08	25
2015-08-09	23
2015-08-10	38
2015-08-11	20
2015-08-12	19
2015-08-13	13
2015-08-14	43
2015-08-15	68
2015-08-16	70
2015-08-17	42
2015-08-18	54
2015-08-19	61
2015-08-20	53
2015-08-21	45
2015-08-22	30
2015-08-23	37
2015-08-24	29
2015-08-25	19
2015-08-26	26
2015-08-27	18
2015-08-28	29
2015-08-29	25
2015-08-30	41
2015-08-31	19
2015-09-01	23
2015-09-02	22
2015-09-03	34
2015-09-04	31
2015-09-05	30
2015-09-06	29
2015-09-07	23
2015-09-08	30
2015-09-09	31
2015-09-10	18
2015-09-11	20
2015-09-12	25
2015-09-13	34
2015-09-14	18
2015-09-15	30
2015-09-16	13
2015-09-17	23
2015-09-18	14
2015-09-19	27
2015-09-20	23
2015-09-21	27
