date	freq
2015-06-01	288
2015-06-02	295
2015-06-03	302
2015-06-04	351
2015-06-05	314
2015-06-06	250
2015-06-07	305
2015-06-08	314
2015-06-09	303
2015-06-10	305
2015-06-11	358
2015-06-12	300
2015-06-13	252
2015-06-14	284
2015-06-15	304
2015-06-16	301
2015-06-17	331
2015-06-18	295
2015-06-19	275
2015-06-20	287
2015-06-21	257
2015-06-22	271
2015-06-23	286
2015-06-24	291
2015-06-25	291
2015-06-26	303
2015-06-27	235
2015-06-28	257
2015-06-29	282
2015-06-30	296
2015-07-01	299
2015-07-02	310
2015-07-03	269
2015-07-04	285
2015-07-05	300
2015-07-06	279
2015-07-07	270
2015-07-08	313
2015-07-09	302
2015-07-10	283
2015-07-11	298
2015-07-12	323
2015-07-13	364
2015-07-14	374
2015-07-15	358
2015-07-16	277
2015-07-17	299
2015-07-18	257
2015-07-19	278
2015-07-20	310
2015-07-21	310
2015-07-22	303
2015-07-23	301
2015-07-24	361
2015-07-25	281
2015-07-26	307
2015-07-27	351
2015-07-28	341
2015-07-29	329
2015-07-30	292
2015-07-31	372
2015-08-01	344
2015-08-02	311
2015-08-03	317
2015-08-04	330
2015-08-05	335
2015-08-06	311
2015-08-07	434
2015-08-08	271
2015-08-09	262
2015-08-10	284
2015-08-11	339
2015-08-12	391
2015-08-13	300
2015-08-14	509
2015-08-15	462
2015-08-16	633
2015-08-17	487
2015-08-18	674
2015-08-19	754
2015-08-20	422
2015-08-21	387
2015-08-22	361
2015-08-23	368
2015-08-24	329
2015-08-25	361
2015-08-26	279
2015-08-27	354
2015-08-28	256
2015-08-29	280
2015-08-30	274
2015-08-31	294
2015-09-01	329
2015-09-02	316
2015-09-03	274
2015-09-04	338
2015-09-05	280
2015-09-06	368
2015-09-07	309
2015-09-08	259
2015-09-09	283
2015-09-10	280
2015-09-11	261
2015-09-12	262
2015-09-13	249
2015-09-14	338
2015-09-15	392
2015-09-16	305
2015-09-17	283
2015-09-18	294
2015-09-19	259
2015-09-20	247
2015-09-21	245
2015-09-22	266
2015-09-23	306
2015-09-24	291
2015-09-25	261
2015-09-26	289
2015-09-27	334
2015-09-28	269
2015-09-29	363
2015-09-30	288
2015-10-01	325
2015-10-02	276
2015-10-03	304
2015-10-04	263
2015-10-05	296
2015-10-06	321
2015-10-07	266
2015-10-08	299
2015-10-09	292
2015-10-10	316
2015-10-11	265
2015-10-12	310
2015-10-13	433
2015-10-14	269
2015-10-15	468
2015-10-16	427
2015-10-17	406
2015-10-18	263
2015-10-19	299
2015-10-20	424
2015-10-21	464
2015-10-22	425
2015-10-23	274
2015-10-24	228
2015-10-25	261
2015-10-26	280
2015-10-27	316
2015-10-28	330
2015-10-29	327
2015-10-30	283
2015-10-31	408
2015-11-01	294
2015-11-02	295
2015-11-03	268
2015-11-04	392
2015-11-05	367
2015-11-06	338
2015-11-07	358
2015-11-08	330
2015-11-09	326
2015-11-10	410
2015-11-11	390
2015-11-12	320
2015-11-13	350
2015-11-14	329
2015-11-15	289
2015-11-16	316
2015-11-17	344
2015-11-18	349
2015-11-19	319
2015-11-20	323
2015-11-21	335
2015-11-22	303
2015-11-23	284
2015-11-24	300
2015-11-25	336
2015-11-26	344
2015-11-27	304
2015-11-28	291
2015-11-29	283
2015-11-30	270
2015-12-01	312
2015-12-02	328
2015-12-03	298
2015-12-04	326
2015-12-05	286
2015-12-06	264
2015-12-07	309
2015-12-08	357
2015-12-09	366
2015-12-10	304
2015-12-11	309
2015-12-12	243
2015-12-13	304
2015-12-14	306
2015-12-15	305
2015-12-16	279
2015-12-17	306
2015-12-18	274
2015-12-19	217
2015-12-20	284
2015-12-21	284
2015-12-22	261
2015-12-23	266
2015-12-24	269
2015-12-25	229
2015-12-26	350
2015-12-27	297
2015-12-28	278
2015-12-29	294
2015-12-30	237
2015-12-31	230
2016-01-01	219
2016-01-02	221
2016-01-03	241
2016-01-04	268
2016-01-05	249
2016-01-06	273
2016-01-07	301
2016-01-08	262
2016-01-09	264
2016-01-10	264
2016-01-11	261
2016-01-12	300
2016-01-13	253
2016-01-14	271
2016-01-15	258
2016-01-16	243
2016-01-17	278
2016-01-18	263
2016-01-19	268
2016-01-20	315
2016-01-21	244
2016-01-22	285
2016-01-23	259
2016-01-24	258
2016-01-25	283
2016-01-26	291
2016-01-27	258
2016-01-28	278
2016-01-29	302
2016-01-30	269
2016-01-31	277
2016-02-01	294
2016-02-02	256
2016-02-03	306
2016-02-04	320
2016-02-05	285
2016-02-06	290
2016-02-07	334
2016-02-08	270
2016-02-09	286
2016-02-10	276
2016-02-11	265
2016-02-12	269
2016-02-13	261
2016-02-14	250
2016-02-15	251
2016-02-16	318
2016-02-17	353
2016-02-18	287
2016-02-19	266
2016-02-20	268
2016-02-21	277
2016-02-22	276
2016-02-23	291
2016-02-24	265
2016-02-25	311
2016-02-26	298
2016-02-27	268
2016-02-28	253
2016-02-29	282
2016-03-01	289
2016-03-02	238
2016-03-03	268
2016-03-04	248
2016-03-05	257
2016-03-06	204
2016-03-07	231
2016-03-08	248
2016-03-09	274
2016-03-10	243
2016-03-11	232
2016-03-12	188
2016-03-13	231
2016-03-14	262
2016-03-15	255
2016-03-16	253
2016-03-17	216
2016-03-18	259
2016-03-19	183
2016-03-20	216
2016-03-21	253
2016-03-22	212
2016-03-23	239
2016-03-24	201
2016-03-25	231
2016-03-26	188
2016-03-27	240
2016-03-28	255
2016-03-29	238
2016-03-30	239
2016-03-31	235
2016-04-01	207
2016-04-02	188
2016-04-03	202
2016-04-04	199
2016-04-05	232
2016-04-06	234
2016-04-07	234
2016-04-08	211
2016-04-09	220
2016-04-10	236
2016-04-11	212
2016-04-12	219
2016-04-13	247
2016-04-14	251
2016-04-15	220
2016-04-16	202
2016-04-17	238
2016-04-18	213
2016-04-19	247
2016-04-20	282
2016-04-21	278
2016-04-22	261
2016-04-23	243
2016-04-24	214
2016-04-25	240
2016-04-26	254
2016-04-27	286
2016-04-28	283
2016-04-29	268
2016-04-30	210
2016-05-01	235
2016-05-02	241
2016-05-03	208
2016-05-04	197
2016-05-05	249
2016-05-06	260
2016-05-07	259
2016-05-08	201
2016-05-09	221
2016-05-10	197
2016-05-11	289
2016-05-12	269
2016-05-13	237
2016-05-14	223
2016-05-15	242
2016-05-16	231
2016-05-17	256
2016-05-18	256
2016-05-19	272
2016-05-20	264
2016-05-21	295
2016-05-22	254
2016-05-23	309
2016-05-24	304
2016-05-25	263
2016-05-26	282
2016-05-27	288
2016-05-28	245
2016-05-29	221
2016-05-30	259
2016-05-31	247
