date	freq
2015-06-01	25
2015-06-02	20
2015-06-03	29
2015-06-04	21
2015-06-05	33
2015-06-06	32
2015-06-07	21
2015-06-08	42
2015-06-09	16
2015-06-10	25
2015-06-11	31
2015-06-12	27
2015-06-13	22
2015-06-14	22
2015-06-15	17
2015-06-16	19
2015-06-17	22
2015-06-18	24
2015-06-19	16
2015-06-20	23
2015-06-21	13
2015-06-22	15
2015-06-23	19
2015-06-24	15
2015-06-25	26
2015-06-26	15
2015-06-27	18
2015-06-28	15
2015-06-29	24
2015-06-30	17
2015-07-01	27
2015-07-02	16
2015-07-03	15
2015-07-04	19
2015-07-05	11
2015-07-06	18
2015-07-07	17
2015-07-08	18
2015-07-09	23
2015-07-10	26
2015-07-11	25
2015-07-12	16
2015-07-13	14
2015-07-14	20
2015-07-15	21
2015-07-16	14
2015-07-17	21
2015-07-18	21
2015-07-19	22
2015-07-20	25
2015-07-21	20
2015-07-22	20
2015-07-23	12
2015-07-24	26
2015-07-25	18
2015-07-26	18
2015-07-27	27
2015-07-28	16
2015-07-29	19
2015-07-30	21
2015-07-31	24
2015-08-01	25
2015-08-02	18
2015-08-03	13
2015-08-04	21
2015-08-05	23
2015-08-06	20
2015-08-07	15
2015-08-08	21
2015-08-09	20
2015-08-10	19
2015-08-11	19
2015-08-12	24
2015-08-13	20
2015-08-14	11
2015-08-15	18
2015-08-16	36
2015-08-17	24
2015-08-18	22
2015-08-19	22
2015-08-20	32
2015-08-21	21
2015-08-22	17
2015-08-23	22
2015-08-24	19
2015-08-25	27
2015-08-26	21
2015-08-27	9
2015-08-28	23
2015-08-29	13
2015-08-30	16
2015-08-31	12
2015-09-01	17
2015-09-02	25
2015-09-03	16
2015-09-04	21
2015-09-05	20
2015-09-06	25
2015-09-07	28
2015-09-08	26
2015-09-09	25
2015-09-10	25
2015-09-11	15
2015-09-12	17
2015-09-13	14
2015-09-14	21
2015-09-15	19
2015-09-16	23
2015-09-17	42
2015-09-18	20
2015-09-19	18
2015-09-20	24
2015-09-21	19
2015-09-22	21
2015-09-23	23
2015-09-24	28
2015-09-25	20
2015-09-26	22
2015-09-27	17
2015-09-28	25
2015-09-29	19
2015-09-30	32
2015-10-01	27
2015-10-02	31
2015-10-03	28
2015-10-04	29
2015-10-05	28
2015-10-06	28
2015-10-07	29
2015-10-08	30
2015-10-09	25
2015-10-10	17
2015-10-11	20
2015-10-12	16
2015-10-13	25
2015-10-14	12
2015-10-15	22
2015-10-16	20
2015-10-17	16
2015-10-18	16
2015-10-19	26
2015-10-20	18
2015-10-21	16
2015-10-22	30
2015-10-23	22
2015-10-24	22
2015-10-25	26
2015-10-26	33
2015-10-27	24
2015-10-28	16
2015-10-29	22
2015-10-30	23
2015-10-31	25
2015-11-01	34
2015-11-02	27
2015-11-03	22
2015-11-04	21
2015-11-05	24
2015-11-06	32
2015-11-07	35
2015-11-08	31
2015-11-09	29
2015-11-10	34
2015-11-11	24
2015-11-12	31
2015-11-13	35
2015-11-14	30
2015-11-15	26
2015-11-16	27
2015-11-17	33
2015-11-18	25
2015-11-19	29
2015-11-20	16
2015-11-21	20
2015-11-22	31
2015-11-23	27
2015-11-24	26
2015-11-25	28
2015-11-26	33
2015-11-27	22
2015-11-28	22
2015-11-29	33
2015-11-30	29
2015-12-01	26
2015-12-02	26
2015-12-03	27
2015-12-04	29
2015-12-05	26
2015-12-06	18
2015-12-07	26
2015-12-08	16
2015-12-09	13
2015-12-10	25
2015-12-11	25
2015-12-12	40
2015-12-13	24
2015-12-14	31
2015-12-15	40
2015-12-16	32
2015-12-17	27
2015-12-18	27
2015-12-19	17
2015-12-20	18
2015-12-21	28
2015-12-22	37
2015-12-23	29
2015-12-24	23
2015-12-25	36
2015-12-26	20
2015-12-27	20
2015-12-28	23
2015-12-29	25
2015-12-30	18
2015-12-31	18
2016-01-01	23
2016-01-02	26
2016-01-03	24
2016-01-04	23
2016-01-05	20
2016-01-06	30
2016-01-07	34
2016-01-08	14
2016-01-09	34
2016-01-10	29
2016-01-11	28
2016-01-12	27
2016-01-13	15
2016-01-14	29
2016-01-15	29
2016-01-16	21
2016-01-17	29
2016-01-18	34
2016-01-19	40
2016-01-20	28
2016-01-21	27
2016-01-22	21
2016-01-23	24
2016-01-24	23
2016-01-25	25
2016-01-26	30
2016-01-27	21
2016-01-28	25
2016-01-29	19
2016-01-30	29
2016-01-31	54
2016-02-01	53
2016-02-02	27
2016-02-03	31
2016-02-04	41
2016-02-05	34
2016-02-06	30
2016-02-07	38
2016-02-08	36
2016-02-09	21
2016-02-10	19
2016-02-11	18
2016-02-12	21
2016-02-13	36
2016-02-14	24
2016-02-15	32
2016-02-16	21
2016-02-17	23
2016-02-18	24
2016-02-19	19
2016-02-20	22
2016-02-21	20
2016-02-22	29
2016-02-23	32
2016-02-24	30
2016-02-25	29
2016-02-26	19
2016-02-27	18
2016-02-28	25
2016-02-29	25
2016-03-01	14
2016-03-02	41
2016-03-03	23
2016-03-04	21
2016-03-05	22
2016-03-06	12
2016-03-07	25
2016-03-08	29
2016-03-09	18
2016-03-10	17
2016-03-11	19
2016-03-12	17
2016-03-13	17
2016-03-14	24
2016-03-15	21
2016-03-16	26
2016-03-17	19
2016-03-18	18
2016-03-19	17
2016-03-20	23
2016-03-21	19
2016-03-22	21
2016-03-23	28
2016-03-24	24
2016-03-25	21
2016-03-26	20
2016-03-27	31
2016-03-28	19
2016-03-29	30
2016-03-30	9
2016-03-31	17
2016-04-01	19
2016-04-02	28
2016-04-03	21
2016-04-04	18
2016-04-05	30
2016-04-06	16
2016-04-07	15
2016-04-08	13
2016-04-09	35
2016-04-10	23
2016-04-11	30
2016-04-12	35
2016-04-13	31
2016-04-14	18
2016-04-15	28
2016-04-16	11
2016-04-17	31
2016-04-18	23
2016-04-19	14
2016-04-20	24
2016-04-21	23
2016-04-22	19
2016-04-23	25
2016-04-24	15
2016-04-25	26
2016-04-26	18
2016-04-27	25
2016-04-28	18
2016-04-29	25
2016-04-30	19
2016-05-01	27
2016-05-02	15
2016-05-03	17
2016-05-04	19
2016-05-05	14
2016-05-06	17
2016-05-07	17
2016-05-08	15
2016-05-09	25
2016-05-10	18
2016-05-11	11
2016-05-12	23
2016-05-13	18
2016-05-14	26
2016-05-15	23
2016-05-16	31
2016-05-17	20
2016-05-18	24
2016-05-19	26
2016-05-20	58
2016-05-21	72
2016-05-22	22
2016-05-23	20
2016-05-24	24
2016-05-25	20
2016-05-26	61
2016-05-27	68
2016-05-28	26
2016-05-29	18
2016-05-30	20
2016-05-31	20
