date	freq
2015-06-01	63
2015-06-02	66
2015-06-03	66
2015-06-04	65
2015-06-05	78
2015-06-06	70
2015-06-07	63
2015-06-08	77
2015-06-09	63
2015-06-10	69
2015-06-11	85
2015-06-12	92
2015-06-13	59
2015-06-14	59
2015-06-15	72
2015-06-16	85
2015-06-17	53
2015-06-18	57
2015-06-19	62
2015-06-20	67
2015-06-21	60
2015-06-22	60
2015-06-23	63
2015-06-24	63
2015-06-25	67
2015-06-26	68
2015-06-27	51
2015-06-28	43
2015-06-29	65
2015-06-30	68
2015-07-01	76
2015-07-02	67
2015-07-03	56
2015-07-04	57
2015-07-05	64
2015-07-06	59
2015-07-07	81
2015-07-08	65
2015-07-09	69
2015-07-10	81
2015-07-11	70
2015-07-12	57
2015-07-13	55
2015-07-14	55
2015-07-15	51
2015-07-16	123
2015-07-17	104
2015-07-18	125
2015-07-19	40
2015-07-20	79
2015-07-21	101
2015-07-22	77
2015-07-23	91
2015-07-24	119
2015-07-25	111
2015-07-26	62
2015-07-27	107
2015-07-28	103
2015-07-29	115
2015-07-30	92
2015-07-31	92
2015-08-01	85
2015-08-02	66
2015-08-03	85
2015-08-04	79
2015-08-05	83
2015-08-06	98
2015-08-07	81
2015-08-08	56
2015-08-09	59
2015-08-10	85
2015-08-11	94
2015-08-12	90
2015-08-13	68
2015-08-14	45
2015-08-15	79
2015-08-16	69
2015-08-17	79
2015-08-18	86
2015-08-19	77
2015-08-20	59
2015-08-21	59
2015-08-22	56
2015-08-23	71
2015-08-24	83
2015-08-25	75
2015-08-26	72
2015-08-27	77
2015-08-28	74
2015-08-29	68
2015-08-30	64
2015-08-31	69
2015-09-01	61
2015-09-02	84
2015-09-03	69
2015-09-04	81
2015-09-05	59
2015-09-06	63
2015-09-07	78
2015-09-08	69
2015-09-09	74
2015-09-10	89
2015-09-11	82
2015-09-12	60
2015-09-13	55
2015-09-14	69
2015-09-15	87
2015-09-16	61
2015-09-17	68
2015-09-18	76
2015-09-19	62
2015-09-20	64
2015-09-21	51
2015-09-22	54
2015-09-23	73
2015-09-24	49
2015-09-25	68
2015-09-26	52
2015-09-27	60
2015-09-28	57
2015-09-29	77
2015-09-30	86
2015-10-01	90
2015-10-02	65
2015-10-03	74
2015-10-04	59
2015-10-05	73
2015-10-06	78
2015-10-07	97
2015-10-08	75
2015-10-09	60
2015-10-10	71
2015-10-11	52
2015-10-12	71
2015-10-13	59
2015-10-14	63
2015-10-15	57
2015-10-16	72
2015-10-17	62
2015-10-18	71
2015-10-19	86
2015-10-20	69
2015-10-21	65
2015-10-22	89
2015-10-23	77
2015-10-24	59
2015-10-25	71
2015-10-26	107
2015-10-27	83
2015-10-28	65
2015-10-29	83
2015-10-30	69
2015-10-31	53
2015-11-01	48
2015-11-02	79
2015-11-03	56
2015-11-04	91
2015-11-05	76
2015-11-06	85
2015-11-07	67
2015-11-08	72
2015-11-09	92
2015-11-10	61
2015-11-11	106
2015-11-12	87
2015-11-13	82
2015-11-14	69
2015-11-15	72
2015-11-16	77
2015-11-17	92
2015-11-18	75
2015-11-19	84
2015-11-20	78
2015-11-21	67
2015-11-22	75
2015-11-23	82
2015-11-24	65
2015-11-25	87
2015-11-26	73
2015-11-27	67
2015-11-28	80
2015-11-29	58
2015-11-30	85
2015-12-01	70
2015-12-02	59
2015-12-03	79
2015-12-04	72
2015-12-05	63
2015-12-06	52
2015-12-07	64
2015-12-08	67
2015-12-09	67
2015-12-10	93
2015-12-11	68
2015-12-12	119
2015-12-13	70
2015-12-14	58
2015-12-15	69
2015-12-16	61
