date	freq
2015-06-01	38
2015-06-02	28
2015-06-03	30
2015-06-04	25
2015-06-05	27
2015-06-06	25
2015-06-07	27
2015-06-08	15
2015-06-09	14
2015-06-10	14
2015-06-11	30
2015-06-12	30
2015-06-13	32
2015-06-14	26
2015-06-15	29
2015-06-16	30
2015-06-17	16
2015-06-18	38
2015-06-19	27
2015-06-20	34
2015-06-21	26
2015-06-22	43
2015-06-23	33
2015-06-24	41
2015-06-25	23
2015-06-26	30
2015-06-27	37
2015-06-28	30
2015-06-29	30
2015-06-30	28
2015-07-01	36
2015-07-02	25
2015-07-03	28
2015-07-04	21
2015-07-05	25
2015-07-06	48
2015-07-07	38
2015-07-08	31
2015-07-09	26
2015-07-10	33
2015-07-11	33
2015-07-12	36
2015-07-13	28
2015-07-14	33
2015-07-15	34
2015-07-16	38
2015-07-17	16
2015-07-18	36
2015-07-19	26
2015-07-20	33
2015-07-21	31
2015-07-22	20
2015-07-23	28
2015-07-24	33
2015-07-25	34
2015-07-26	30
2015-07-27	42
2015-07-28	21
2015-07-29	25
2015-07-30	31
2015-07-31	21
2015-08-01	19
2015-08-02	25
2015-08-03	40
2015-08-04	25
2015-08-05	36
2015-08-06	28
2015-08-07	40
2015-08-08	37
2015-08-09	36
2015-08-10	32
2015-08-11	39
2015-08-12	38
2015-08-13	27
2015-08-14	25
2015-08-15	33
2015-08-16	32
2015-08-17	32
2015-08-18	35
2015-08-19	37
2015-08-20	27
2015-08-21	31
2015-08-22	28
2015-08-23	34
2015-08-24	28
2015-08-25	34
2015-08-26	25
2015-08-27	35
2015-08-28	38
2015-08-29	35
2015-08-30	24
2015-08-31	37
2015-09-01	45
2015-09-02	39
2015-09-03	43
2015-09-04	39
2015-09-05	39
2015-09-06	37
2015-09-07	31
2015-09-08	38
2015-09-09	27
2015-09-10	31
2015-09-11	27
2015-09-12	32
2015-09-13	27
2015-09-14	34
2015-09-15	26
2015-09-16	37
2015-09-17	34
2015-09-18	47
2015-09-19	30
2015-09-20	29
2015-09-21	30
2015-09-22	28
2015-09-23	29
2015-09-24	32
2015-09-25	32
2015-09-26	33
2015-09-27	32
2015-09-28	37
2015-09-29	39
2015-09-30	23
2015-10-01	27
2015-10-02	24
2015-10-03	27
2015-10-04	38
2015-10-05	15
2015-10-06	29
2015-10-07	36
2015-10-08	26
2015-10-09	28
2015-10-10	22
2015-10-11	16
2015-10-12	22
2015-10-13	33
2015-10-14	28
2015-10-15	26
2015-10-16	27
2015-10-17	31
2015-10-18	30
2015-10-19	32
2015-10-20	29
2015-10-21	20
2015-10-22	27
2015-10-23	22
2015-10-24	21
2015-10-25	19
2015-10-26	24
2015-10-27	21
2015-10-28	20
2015-10-29	21
2015-10-30	18
2015-10-31	13
2015-11-01	21
2015-11-02	28
2015-11-03	25
2015-11-04	30
2015-11-05	25
2015-11-06	29
2015-11-07	22
2015-11-08	22
2015-11-09	28
2015-11-10	24
2015-11-11	13
2015-11-12	22
2015-11-13	21
2015-11-14	22
2015-11-15	17
2015-11-16	18
2015-11-17	12
2015-11-18	28
2015-11-19	15
2015-11-20	15
2015-11-21	20
2015-11-22	25
