date	freq
2015-06-01	15
2015-06-02	13
2015-06-03	12
2015-06-04	24
2015-06-05	14
2015-06-06	15
2015-06-07	9
2015-06-08	9
2015-06-09	7
2015-06-10	13
2015-06-11	16
2015-06-12	9
2015-06-13	9
2015-06-14	12
2015-06-15	12
2015-06-16	12
2015-06-17	16
2015-06-18	15
2015-06-19	19
2015-06-20	17
2015-06-21	15
2015-06-22	6
2015-06-23	17
2015-06-24	13
2015-06-25	21
2015-06-26	19
2015-06-27	20
2015-06-28	16
2015-06-29	12
2015-06-30	13
2015-07-01	10
2015-07-02	11
2015-07-03	7
2015-07-04	9
2015-07-05	15
2015-07-06	9
2015-07-07	22
2015-07-08	25
2015-07-09	10
2015-07-10	9
2015-07-11	11
2015-07-12	12
2015-07-13	17
2015-07-14	12
2015-07-15	16
2015-07-16	12
2015-07-17	26
2015-07-18	8
2015-07-19	10
2015-07-20	13
2015-07-21	15
2015-07-22	6
2015-07-23	22
2015-07-24	14
2015-07-25	17
2015-07-26	15
2015-07-27	16
2015-07-28	4
2015-07-29	6
2015-07-30	16
2015-07-31	16
2015-08-01	4
2015-08-02	8
2015-08-03	19
2015-08-04	14
2015-08-05	14
2015-08-06	21
2015-08-07	16
2015-08-08	14
2015-08-09	16
2015-08-10	18
2015-08-11	16
2015-08-12	10
2015-08-13	8
2015-08-14	9
2015-08-15	18
2015-08-16	22
2015-08-17	11
2015-08-18	18
2015-08-19	9
2015-08-20	20
2015-08-21	9
2015-08-22	15
2015-08-23	12
2015-08-24	16
2015-08-25	13
2015-08-26	12
2015-08-27	11
2015-08-28	14
2015-08-29	16
2015-08-30	11
2015-08-31	14
2015-09-01	9
2015-09-02	9
2015-09-03	8
2015-09-04	12
2015-09-05	11
2015-09-06	14
2015-09-07	13
2015-09-08	13
2015-09-09	25
2015-09-10	13
2015-09-11	12
2015-09-12	14
2015-09-13	8
2015-09-14	9
2015-09-15	15
2015-09-16	8
2015-09-17	7
2015-09-18	7
2015-09-19	9
2015-09-20	6
2015-09-21	12
2015-09-22	11
2015-09-23	11
2015-09-24	11
2015-09-25	10
2015-09-26	6
2015-09-27	9
2015-09-28	4
2015-09-29	16
2015-09-30	14
2015-10-01	15
2015-10-02	17
2015-10-03	17
2015-10-04	5
2015-10-05	7
2015-10-06	12
2015-10-07	10
2015-10-08	9
2015-10-09	8
2015-10-10	7
2015-10-11	10
2015-10-12	10
2015-10-13	18
2015-10-14	17
2015-10-15	10
2015-10-16	10
2015-10-17	8
2015-10-18	5
2015-10-19	11
2015-10-20	3
2015-10-21	11
2015-10-22	14
2015-10-23	10
2015-10-24	12
2015-10-25	16
2015-10-26	10
2015-10-27	9
2015-10-28	7
2015-10-29	7
2015-10-30	14
2015-10-31	10
2015-11-01	13
2015-11-02	15
2015-11-03	21
2015-11-04	12
2015-11-05	18
2015-11-06	20
2015-11-07	10
2015-11-08	10
2015-11-09	19
2015-11-10	24
2015-11-11	26
2015-11-12	30
2015-11-13	29
2015-11-14	27
2015-11-15	29
2015-11-16	20
2015-11-17	26
2015-11-18	15
2015-11-19	24
2015-11-20	11
2015-11-21	19
2015-11-22	23
2015-11-23	17
2015-11-24	20
2015-11-25	8
2015-11-26	30
2015-11-27	14
2015-11-28	14
2015-11-29	7
2015-11-30	19
2015-12-01	16
2015-12-02	10
2015-12-03	26
2015-12-04	9
2015-12-05	23
2015-12-06	14
2015-12-07	18
2015-12-08	11
2015-12-09	16
2015-12-10	15
2015-12-11	13
2015-12-12	14
2015-12-13	15
2015-12-14	17
2015-12-15	14
2015-12-16	15
2015-12-17	13
2015-12-18	13
2015-12-19	32
2015-12-20	34
2015-12-21	16
2015-12-22	13
2015-12-23	19
2015-12-24	21
2015-12-25	7
2015-12-26	10
2015-12-27	12
2015-12-28	23
2015-12-29	9
2015-12-30	10
2015-12-31	14
2016-01-01	7
2016-01-02	29
2016-01-03	22
2016-01-04	15
2016-01-05	18
2016-01-06	20
2016-01-07	25
2016-01-08	17
2016-01-09	14
2016-01-10	7
2016-01-11	25
2016-01-12	22
2016-01-13	23
2016-01-14	17
2016-01-15	22
2016-01-16	25
2016-01-17	22
2016-01-18	20
2016-01-19	15
2016-01-20	15
2016-01-21	11
2016-01-22	13
2016-01-23	19
2016-01-24	11
2016-01-25	11
2016-01-26	13
2016-01-27	20
2016-01-28	20
2016-01-29	12
2016-01-30	13
2016-01-31	14
2016-02-01	15
2016-02-02	31
2016-02-03	13
2016-02-04	19
2016-02-05	16
2016-02-06	18
2016-02-07	26
2016-02-08	18
2016-02-09	19
2016-02-10	21
2016-02-11	13
2016-02-12	20
2016-02-13	13
2016-02-14	9
2016-02-15	14
2016-02-16	15
2016-02-17	14
2016-02-18	21
2016-02-19	18
2016-02-20	14
2016-02-21	27
2016-02-22	26
2016-02-23	22
2016-02-24	19
2016-02-25	22
2016-02-26	14
2016-02-27	19
2016-02-28	17
2016-02-29	21
2016-03-01	15
2016-03-02	18
2016-03-03	23
2016-03-04	10
2016-03-05	15
2016-03-06	13
2016-03-07	15
2016-03-08	13
2016-03-09	12
2016-03-10	14
2016-03-11	19
2016-03-12	19
2016-03-13	24
2016-03-14	10
2016-03-15	13
2016-03-16	9
2016-03-17	16
2016-03-18	18
2016-03-19	29
2016-03-20	20
2016-03-21	15
2016-03-22	11
2016-03-23	15
2016-03-24	3
2016-03-25	14
2016-03-26	20
2016-03-27	13
2016-03-28	13
2016-03-29	13
2016-03-30	18
2016-03-31	12
2016-04-01	16
2016-04-02	19
2016-04-03	18
2016-04-04	12
2016-04-05	14
2016-04-06	14
2016-04-07	18
2016-04-08	10
2016-04-09	7
2016-04-10	12
2016-04-11	12
2016-04-12	12
2016-04-13	18
2016-04-14	11
2016-04-15	7
2016-04-16	13
2016-04-17	13
2016-04-18	18
2016-04-19	11
2016-04-20	15
2016-04-21	17
2016-04-22	9
2016-04-23	19
2016-04-24	12
2016-04-25	12
2016-04-26	12
2016-04-27	14
2016-04-28	6
2016-04-29	15
2016-04-30	13
2016-05-01	12
2016-05-02	21
2016-05-03	17
2016-05-04	9
2016-05-05	12
2016-05-06	14
2016-05-07	16
2016-05-08	23
2016-05-09	23
2016-05-10	10
2016-05-11	15
2016-05-12	9
2016-05-13	15
2016-05-14	6
2016-05-15	7
2016-05-16	21
2016-05-17	12
2016-05-18	10
2016-05-19	20
2016-05-20	17
2016-05-21	22
2016-05-22	14
2016-05-23	11
2016-05-24	21
2016-05-25	13
2016-05-26	17
2016-05-27	15
2016-05-28	16
2016-05-29	18
2016-05-30	20
2016-05-31	21
