date	freq
2015-06-01	774
2015-06-02	839
2015-06-03	839
2015-06-04	950
2015-06-05	1008
2015-06-06	921
2015-06-07	731
2015-06-08	984
2015-06-09	876
2015-06-10	906
2015-06-11	912
2015-06-12	1027
2015-06-13	864
2015-06-14	858
2015-06-15	1041
2015-06-16	1007
2015-06-17	944
2015-06-18	930
2015-06-19	1028
2015-06-20	812
2015-06-21	782
2015-06-22	899
2015-06-23	976
2015-06-24	895
2015-06-25	943
2015-06-26	898
2015-06-27	838
2015-06-28	884
2015-06-29	937
2015-06-30	941
2015-07-01	942
2015-07-02	858
2015-07-03	822
2015-07-04	794
2015-07-05	796
2015-07-06	827
2015-07-07	903
2015-07-08	974
2015-07-09	967
2015-07-10	875
2015-07-11	954
2015-07-12	947
2015-07-13	1100
2015-07-14	1060
2015-07-15	1076
2015-07-16	932
2015-07-17	1026
2015-07-18	751
2015-07-19	775
2015-07-20	942
2015-07-21	943
2015-07-22	895
2015-07-23	961
2015-07-24	975
2015-07-25	982
2015-07-26	807
2015-07-27	827
2015-07-28	1153
2015-07-29	872
2015-07-30	919
2015-07-31	854
2015-08-01	796
2015-08-02	825
2015-08-03	915
2015-08-04	915
2015-08-05	907
2015-08-06	825
2015-08-07	875
2015-08-08	825
2015-08-09	800
2015-08-10	987
2015-08-11	919
2015-08-12	892
2015-08-13	787
2015-08-14	859
2015-08-15	836
2015-08-16	739
2015-08-17	908
2015-08-18	839
2015-08-19	861
2015-08-20	839
2015-08-21	912
2015-08-22	761
2015-08-23	733
2015-08-24	810
2015-08-25	818
2015-08-26	945
2015-08-27	799
2015-08-28	870
2015-08-29	828
2015-08-30	883
2015-08-31	840
2015-09-01	872
2015-09-02	826
2015-09-03	825
2015-09-04	846
2015-09-05	806
2015-09-06	690
2015-09-07	851
2015-09-08	907
2015-09-09	894
2015-09-10	807
2015-09-11	822
2015-09-12	710
2015-09-13	775
2015-09-14	737
2015-09-15	828
2015-09-16	854
2015-09-17	999
2015-09-18	769
2015-09-19	833
2015-09-20	740
2015-09-21	705
2015-09-22	850
2015-09-23	848
2015-09-24	890
2015-09-25	908
2015-09-26	774
2015-09-27	739
2015-09-28	753
2015-09-29	814
2015-09-30	743
2015-10-01	849
2015-10-02	764
2015-10-03	783
2015-10-04	699
2015-10-05	811
2015-10-06	767
2015-10-07	885
2015-10-08	885
2015-10-09	789
2015-10-10	761
2015-10-11	768
2015-10-12	739
2015-10-13	996
2015-10-14	807
2015-10-15	896
2015-10-16	986
2015-10-17	694
2015-10-18	844
2015-10-19	1076
2015-10-20	995
2015-10-21	1109
2015-10-22	1082
2015-10-23	1071
2015-10-24	1004
2015-10-25	901
2015-10-26	1195
2015-10-27	974
2015-10-28	1128
2015-10-29	1105
2015-10-30	912
2015-10-31	840
2015-11-01	1105
2015-11-02	1026
2015-11-03	897
2015-11-04	979
2015-11-05	1005
2015-11-06	1027
2015-11-07	851
2015-11-08	835
2015-11-09	964
2015-11-10	1018
2015-11-11	1006
2015-11-12	956
2015-11-13	982
2015-11-14	864
2015-11-15	990
2015-11-16	1057
2015-11-17	1012
2015-11-18	1052
2015-11-19	1200
2015-11-20	970
2015-11-21	929
2015-11-22	977
2015-11-23	1111
2015-11-24	1016
2015-11-25	1052
2015-11-26	989
2015-11-27	943
2015-11-28	885
2015-11-29	948
2015-11-30	1027
2015-12-01	1044
2015-12-02	1072
2015-12-03	1182
2015-12-04	1073
2015-12-05	933
2015-12-06	860
2015-12-07	1087
2015-12-08	1069
2015-12-09	998
2015-12-10	1185
2015-12-11	1079
2015-12-12	1083
2015-12-13	1015
2015-12-14	953
2015-12-15	877
2015-12-16	1000
2015-12-17	994
2015-12-18	925
2015-12-19	879
2015-12-20	881
2015-12-21	1021
2015-12-22	1304
2015-12-23	854
2015-12-24	765
2015-12-25	881
2015-12-26	890
2015-12-27	776
2015-12-28	838
2015-12-29	848
2015-12-30	827
2015-12-31	878
2016-01-01	623
2016-01-02	788
2016-01-03	857
2016-01-04	1022
2016-01-05	995
2016-01-06	1077
2016-01-07	1105
2016-01-08	1083
2016-01-09	897
2016-01-10	991
2016-01-11	996
2016-01-12	1002
2016-01-13	1143
2016-01-14	1064
2016-01-15	1075
2016-01-16	909
2016-01-17	1077
2016-01-18	956
2016-01-19	1101
2016-01-20	1441
2016-01-21	1048
2016-01-22	1209
2016-01-23	1080
2016-01-24	1031
2016-01-25	1156
2016-01-26	1073
2016-01-27	1095
2016-01-28	1120
2016-01-29	1323
2016-01-30	1061
2016-01-31	1076
2016-02-01	1100
2016-02-02	1089
2016-02-03	1085
2016-02-04	1273
2016-02-05	1132
2016-02-06	1052
2016-02-07	1104
2016-02-08	1302
2016-02-09	1227
2016-02-10	1066
2016-02-11	1108
2016-02-12	1070
2016-02-13	1089
2016-02-14	1039
2016-02-15	1030
2016-02-16	1237
2016-02-17	1102
2016-02-18	1055
2016-02-19	951
2016-02-20	994
2016-02-21	921
2016-02-22	1084
2016-02-23	1066
2016-02-24	1208
2016-02-25	1049
2016-02-26	1022
2016-02-27	1093
2016-02-28	916
2016-02-29	1111
2016-03-01	1178
2016-03-02	1031
2016-03-03	1164
2016-03-04	1086
2016-03-05	1061
2016-03-06	1203
2016-03-07	1311
2016-03-08	1082
2016-03-09	1128
2016-03-10	1022
2016-03-11	1113
2016-03-12	1139
2016-03-13	1158
2016-03-14	1184
2016-03-15	1178
2016-03-16	1242
2016-03-17	1149
2016-03-18	1222
2016-03-19	1067
2016-03-20	906
2016-03-21	985
2016-03-22	1312
2016-03-23	1207
2016-03-24	1165
2016-03-25	1080
2016-03-26	901
2016-03-27	1022
2016-03-28	1243
2016-03-29	1141
2016-03-30	1210
2016-03-31	1137
2016-04-01	1241
2016-04-02	1055
2016-04-03	1090
2016-04-04	1185
2016-04-05	1248
2016-04-06	1097
2016-04-07	1430
2016-04-08	1315
2016-04-09	1106
2016-04-10	1321
2016-04-11	1355
2016-04-12	1481
2016-04-13	1523
2016-04-14	1403
2016-04-15	1406
2016-04-16	754
2016-04-17	1263
2016-04-18	1234
2016-04-19	1349
2016-04-20	1331
2016-04-21	1451
2016-04-22	1384
2016-04-23	1073
2016-04-24	1139
2016-04-25	1469
2016-04-26	1363
2016-04-27	1633
2016-04-28	1438
2016-04-29	1226
2016-04-30	1295
2016-05-01	1249
2016-05-02	1162
2016-05-03	1151
2016-05-04	1039
2016-05-05	1072
2016-05-06	1466
2016-05-07	1030
2016-05-08	1199
2016-05-09	1303
2016-05-10	1514
2016-05-11	1286
2016-05-12	1723
2016-05-13	1690
2016-05-14	1209
2016-05-15	1338
2016-05-16	1604
2016-05-17	1504
2016-05-18	1231
2016-05-19	1508
2016-05-20	1595
2016-05-21	1019
2016-05-22	1194
2016-05-23	1294
2016-05-24	1144
2016-05-25	1412
2016-05-26	1438
2016-05-27	1444
2016-05-28	1202
2016-05-29	1001
2016-05-30	1208
2016-05-31	1285
