date	freq
2015-06-01	98
2015-06-02	113
2015-06-03	111
2015-06-04	109
2015-06-05	106
2015-06-06	93
2015-06-07	72
2015-06-08	104
2015-06-09	88
2015-06-10	95
2015-06-11	99
2015-06-12	88
2015-06-13	63
2015-06-14	70
2015-06-15	77
2015-06-16	71
2015-06-17	79
2015-06-18	66
2015-06-19	82
2015-06-20	69
2015-06-21	61
2015-06-22	84
2015-06-23	85
2015-06-24	84
2015-06-25	82
2015-06-26	78
2015-06-27	65
2015-06-28	59
2015-06-29	66
2015-06-30	72
2015-07-01	83
2015-07-02	66
2015-07-03	71
2015-07-04	64
2015-07-05	51
2015-07-06	82
2015-07-07	75
2015-07-08	68
2015-07-09	72
2015-07-10	117
2015-07-11	76
2015-07-12	78
2015-07-13	82
2015-07-14	85
2015-07-15	76
2015-07-16	62
2015-07-17	90
2015-07-18	107
2015-07-19	126
2015-07-20	102
2015-07-21	113
2015-07-22	97
2015-07-23	93
2015-07-24	107
2015-07-25	104
2015-07-26	77
2015-07-27	85
2015-07-28	76
2015-07-29	83
2015-07-30	73
2015-07-31	78
2015-08-01	61
2015-08-02	70
2015-08-03	80
2015-08-04	82
2015-08-05	73
2015-08-06	76
2015-08-07	62
2015-08-08	63
2015-08-09	64
2015-08-10	65
2015-08-11	63
2015-08-12	78
2015-08-13	56
2015-08-14	70
2015-08-15	65
2015-08-16	94
2015-08-17	79
2015-08-18	69
2015-08-19	78
2015-08-20	59
2015-08-21	65
2015-08-22	59
2015-08-23	69
2015-08-24	79
2015-08-25	67
2015-08-26	75
2015-08-27	72
2015-08-28	80
2015-08-29	76
2015-08-30	67
2015-08-31	67
2015-09-01	72
2015-09-02	79
2015-09-03	83
2015-09-04	97
2015-09-05	68
2015-09-06	83
2015-09-07	93
2015-09-08	88
2015-09-09	89
2015-09-10	86
2015-09-11	106
2015-09-12	64
2015-09-13	52
2015-09-14	89
2015-09-15	82
2015-09-16	84
2015-09-17	78
2015-09-18	96
2015-09-19	111
2015-09-20	81
2015-09-21	96
2015-09-22	81
2015-09-23	61
2015-09-24	77
2015-09-25	66
2015-09-26	71
2015-09-27	77
2015-09-28	68
2015-09-29	73
2015-09-30	87
2015-10-01	83
2015-10-02	91
2015-10-03	109
2015-10-04	78
2015-10-05	89
2015-10-06	118
2015-10-07	101
2015-10-08	129
2015-10-09	99
2015-10-10	70
2015-10-11	91
2015-10-12	103
2015-10-13	105
2015-10-14	103
2015-10-15	118
2015-10-16	103
2015-10-17	84
2015-10-18	84
2015-10-19	122
2015-10-20	131
2015-10-21	129
2015-10-22	111
2015-10-23	102
2015-10-24	69
2015-10-25	99
2015-10-26	102
2015-10-27	101
2015-10-28	123
2015-10-29	93
2015-10-30	97
2015-10-31	81
2015-11-01	60
2015-11-02	90
2015-11-03	72
2015-11-04	94
2015-11-05	85
2015-11-06	93
2015-11-07	93
2015-11-08	84
2015-11-09	98
2015-11-10	104
2015-11-11	85
2015-11-12	73
2015-11-13	85
2015-11-14	83
2015-11-15	76
2015-11-16	96
2015-11-17	90
2015-11-18	95
2015-11-19	75
2015-11-20	99
2015-11-21	82
2015-11-22	80
2015-11-23	71
2015-11-24	95
2015-11-25	85
2015-11-26	84
2015-11-27	76
2015-11-28	76
2015-11-29	87
2015-11-30	94
2015-12-01	68
2015-12-02	103
2015-12-03	104
2015-12-04	86
2015-12-05	82
2015-12-06	69
2015-12-07	86
2015-12-08	79
2015-12-09	66
2015-12-10	78
2015-12-11	88
2015-12-12	145
2015-12-13	86
2015-12-14	66
2015-12-15	79
2015-12-16	69
2015-12-17	82
2015-12-18	83
2015-12-19	64
2015-12-20	64
2015-12-21	73
2015-12-22	67
2015-12-23	64
2015-12-24	69
2015-12-25	60
2015-12-26	70
2015-12-27	64
2015-12-28	84
2015-12-29	58
2015-12-30	71
2015-12-31	57
2016-01-01	33
2016-01-02	64
2016-01-03	48
2016-01-04	71
2016-01-05	81
2016-01-06	71
2016-01-07	80
2016-01-08	87
2016-01-09	100
2016-01-10	92
2016-01-11	99
2016-01-12	85
2016-01-13	79
2016-01-14	109
2016-01-15	106
2016-01-16	104
2016-01-17	89
2016-01-18	80
2016-01-19	97
2016-01-20	98
2016-01-21	79
2016-01-22	91
2016-01-23	88
2016-01-24	87
2016-01-25	98
2016-01-26	95
2016-01-27	107
2016-01-28	89
2016-01-29	116
2016-01-30	96
2016-01-31	147
2016-02-01	123
2016-02-02	98
2016-02-03	105
2016-02-04	105
2016-02-05	98
2016-02-06	73
2016-02-07	98
2016-02-08	104
2016-02-09	104
2016-02-10	128
2016-02-11	69
2016-02-12	115
2016-02-13	130
2016-02-14	67
2016-02-15	74
2016-02-16	116
2016-02-17	115
2016-02-18	92
2016-02-19	96
2016-02-20	99
2016-02-21	77
2016-02-22	91
2016-02-23	108
2016-02-24	119
2016-02-25	137
2016-02-26	112
2016-02-27	105
2016-02-28	86
2016-02-29	87
2016-03-01	99
2016-03-02	94
2016-03-03	92
2016-03-04	104
2016-03-05	90
2016-03-06	81
2016-03-07	89
2016-03-08	84
2016-03-09	98
2016-03-10	91
2016-03-11	91
2016-03-12	78
2016-03-13	105
2016-03-14	87
2016-03-15	99
2016-03-16	100
2016-03-17	109
2016-03-18	103
2016-03-19	80
2016-03-20	88
2016-03-21	80
2016-03-22	104
2016-03-23	97
2016-03-24	88
2016-03-25	82
2016-03-26	74
2016-03-27	102
2016-03-28	94
2016-03-29	98
2016-03-30	106
2016-03-31	72
2016-04-01	99
2016-04-02	66
2016-04-03	84
2016-04-04	66
2016-04-05	98
2016-04-06	93
2016-04-07	81
2016-04-08	83
2016-04-09	101
2016-04-10	117
2016-04-11	101
2016-04-12	140
2016-04-13	94
2016-04-14	92
2016-04-15	93
2016-04-16	62
2016-04-17	106
2016-04-18	89
2016-04-19	107
2016-04-20	108
2016-04-21	96
2016-04-22	105
2016-04-23	89
2016-04-24	99
2016-04-25	108
2016-04-26	115
2016-04-27	86
2016-04-28	101
2016-04-29	106
2016-04-30	93
2016-05-01	101
2016-05-02	95
2016-05-03	94
2016-05-04	72
2016-05-05	112
2016-05-06	107
2016-05-07	102
2016-05-08	104
2016-05-09	106
2016-05-10	115
2016-05-11	100
2016-05-12	130
2016-05-13	127
2016-05-14	97
2016-05-15	113
2016-05-16	128
2016-05-17	118
2016-05-18	117
2016-05-19	118
2016-05-20	131
2016-05-21	84
2016-05-22	102
2016-05-23	99
2016-05-24	100
2016-05-25	95
2016-05-26	123
2016-05-27	99
2016-05-28	87
2016-05-29	69
2016-05-30	98
2016-05-31	109
