date	freq
2015-06-01	35
2015-06-02	34
2015-06-03	44
2015-06-04	29
2015-06-05	31
2015-06-06	41
2015-06-07	30
2015-06-08	13
2015-06-09	14
2015-06-10	44
2015-06-11	46
2015-06-12	34
2015-06-13	33
2015-06-14	43
2015-06-15	28
2015-06-16	41
2015-06-17	31
2015-06-18	42
2015-06-19	38
2015-06-20	30
2015-06-21	29
2015-06-22	34
2015-06-23	35
2015-06-24	35
2015-06-25	38
2015-06-26	29
2015-06-27	32
2015-06-28	29
2015-06-29	46
2015-06-30	29
2015-07-01	30
2015-07-02	23
2015-07-03	25
2015-07-04	33
2015-07-05	25
2015-07-06	31
2015-07-07	34
2015-07-08	41
2015-07-09	32
2015-07-10	41
2015-07-11	40
2015-07-12	44
2015-07-13	36
2015-07-14	40
2015-07-15	27
2015-07-16	29
2015-07-17	57
2015-07-18	58
2015-07-19	67
2015-07-20	38
2015-07-21	45
2015-07-22	39
2015-07-23	36
2015-07-24	31
2015-07-25	39
2015-07-26	45
2015-07-27	45
2015-07-28	37
2015-07-29	28
2015-07-30	32
2015-07-31	32
2015-08-01	40
2015-08-02	24
2015-08-03	30
2015-08-04	35
2015-08-05	34
2015-08-06	27
2015-08-07	197
2015-08-08	40
2015-08-09	40
2015-08-10	31
2015-08-11	29
2015-08-12	31
2015-08-13	30
2015-08-14	36
2015-08-15	22
2015-08-16	29
2015-08-17	33
2015-08-18	42
2015-08-19	26
2015-08-20	25
2015-08-21	27
2015-08-22	34
2015-08-23	26
2015-08-24	30
2015-08-25	29
2015-08-26	46
2015-08-27	40
2015-08-28	26
2015-08-29	39
2015-08-30	30
2015-08-31	40
2015-09-01	38
2015-09-02	32
2015-09-03	36
2015-09-04	35
2015-09-05	34
2015-09-06	29
2015-09-07	32
2015-09-08	27
2015-09-09	41
2015-09-10	30
2015-09-11	38
2015-09-12	21
2015-09-13	23
2015-09-14	37
2015-09-15	60
2015-09-16	30
2015-09-17	40
2015-09-18	39
2015-09-19	38
2015-09-20	62
2015-09-21	36
2015-09-22	105
2015-09-23	34
2015-09-24	28
2015-09-25	24
2015-09-26	26
2015-09-27	34
2015-09-28	41
2015-09-29	33
2015-09-30	36
2015-10-01	28
2015-10-02	32
2015-10-03	32
2015-10-04	25
2015-10-05	21
2015-10-06	42
2015-10-07	40
2015-10-08	37
2015-10-09	34
2015-10-10	25
2015-10-11	26
2015-10-12	34
2015-10-13	33
2015-10-14	37
2015-10-15	26
2015-10-16	23
2015-10-17	37
2015-10-18	34
2015-10-19	42
2015-10-20	32
2015-10-21	36
2015-10-22	25
2015-10-23	16
2015-10-24	26
2015-10-25	34
2015-10-26	31
2015-10-27	30
2015-10-28	28
2015-10-29	33
2015-10-30	20
2015-10-31	32
2015-11-01	25
2015-11-02	22
2015-11-03	30
2015-11-04	29
2015-11-05	32
2015-11-06	21
2015-11-07	32
2015-11-08	40
2015-11-09	31
2015-11-10	30
2015-11-11	25
2015-11-12	29
2015-11-13	21
2015-11-14	17
2015-11-15	46
2015-11-16	36
2015-11-17	23
2015-11-18	27
2015-11-19	25
2015-11-20	25
2015-11-21	19
2015-11-22	21
2015-11-23	137
2015-11-24	48
2015-11-25	41
2015-11-26	27
2015-11-27	20
2015-11-28	33
2015-11-29	17
2015-11-30	25
2015-12-01	17
2015-12-02	26
2015-12-03	26
2015-12-04	20
2015-12-05	23
2015-12-06	17
2015-12-07	42
2015-12-08	24
2015-12-09	25
2015-12-10	19
2015-12-11	18
2015-12-12	21
2015-12-13	18
2015-12-14	32
2015-12-15	24
2015-12-16	23
2015-12-17	25
2015-12-18	23
2015-12-19	11
2015-12-20	27
2015-12-21	29
2015-12-22	30
2015-12-23	21
2015-12-24	21
2015-12-25	15
2015-12-26	23
2015-12-27	23
2015-12-28	26
2015-12-29	23
2015-12-30	27
2015-12-31	26
2016-01-01	17
2016-01-02	17
2016-01-03	17
2016-01-04	15
2016-01-05	25
2016-01-06	24
2016-01-07	24
2016-01-08	13
2016-01-09	26
2016-01-10	26
2016-01-11	36
2016-01-12	23
2016-01-13	31
2016-01-14	21
2016-01-15	18
2016-01-16	26
2016-01-17	25
2016-01-18	26
2016-01-19	28
2016-01-20	26
2016-01-21	21
2016-01-22	40
2016-01-23	29
2016-01-24	28
2016-01-25	22
2016-01-26	26
2016-01-27	25
2016-01-28	33
2016-01-29	19
2016-01-30	19
2016-01-31	33
2016-02-01	22
2016-02-02	23
2016-02-03	29
2016-02-04	17
2016-02-05	21
2016-02-06	27
2016-02-07	22
2016-02-08	36
2016-02-09	38
2016-02-10	28
2016-02-11	22
2016-02-12	15
2016-02-13	35
2016-02-14	30
2016-02-15	21
2016-02-16	33
2016-02-17	30
2016-02-18	25
2016-02-19	30
2016-02-20	21
2016-02-21	21
2016-02-22	22
2016-02-23	37
2016-02-24	26
2016-02-25	27
2016-02-26	20
2016-02-27	19
2016-02-28	25
2016-02-29	16
2016-03-01	21
2016-03-02	27
2016-03-03	22
2016-03-04	16
2016-03-05	23
2016-03-06	19
2016-03-07	20
2016-03-08	36
2016-03-09	31
2016-03-10	24
2016-03-11	15
2016-03-12	17
2016-03-13	17
2016-03-14	24
2016-03-15	25
2016-03-16	28
2016-03-17	27
2016-03-18	24
2016-03-19	25
2016-03-20	18
2016-03-21	23
2016-03-22	24
2016-03-23	18
2016-03-24	21
2016-03-25	24
2016-03-26	31
2016-03-27	30
2016-03-28	28
2016-03-29	22
2016-03-30	24
2016-03-31	11
2016-04-01	17
2016-04-02	19
2016-04-03	13
2016-04-04	18
2016-04-05	21
2016-04-06	19
2016-04-07	27
2016-04-08	25
2016-04-09	32
2016-04-10	14
2016-04-11	13
2016-04-12	22
2016-04-13	34
2016-04-14	24
2016-04-15	24
2016-04-16	25
2016-04-17	20
2016-04-18	20
2016-04-19	35
2016-04-20	26
2016-04-21	25
2016-04-22	22
2016-04-23	34
2016-04-24	26
2016-04-25	29
2016-04-26	38
2016-04-27	27
2016-04-28	16
2016-04-29	39
2016-04-30	22
2016-05-01	21
2016-05-02	21
2016-05-03	21
2016-05-04	30
2016-05-05	27
2016-05-06	13
2016-05-07	25
2016-05-08	29
2016-05-09	25
2016-05-10	24
2016-05-11	25
2016-05-12	19
2016-05-13	32
2016-05-14	23
2016-05-15	12
2016-05-16	20
2016-05-17	30
2016-05-18	32
2016-05-19	18
2016-05-20	22
2016-05-21	31
2016-05-22	31
2016-05-23	27
2016-05-24	17
2016-05-25	24
2016-05-26	20
2016-05-27	32
2016-05-28	22
2016-05-29	32
2016-05-30	18
2016-05-31	16
