date	freq
2015-06-01	397
2015-06-02	274
2015-06-03	323
2015-06-04	282
2015-06-05	271
2015-06-06	223
2015-06-07	254
2015-06-08	270
2015-06-09	273
2015-06-10	280
2015-06-11	223
2015-06-12	259
2015-06-13	254
2015-06-14	276
2015-06-15	239
2015-06-16	231
2015-06-17	210
2015-06-18	220
2015-06-19	368
2015-06-20	339
2015-06-21	247
2015-06-22	368
2015-06-23	416
2015-06-24	451
2015-06-25	302
2015-06-26	244
2015-06-27	442
2015-06-28	227
2015-06-29	440
2015-06-30	207
2015-07-01	234
2015-07-02	359
2015-07-03	248
2015-07-04	282
2015-07-05	310
2015-07-06	258
2015-07-07	222
2015-07-08	224
2015-07-09	266
2015-07-10	291
2015-07-11	307
2015-07-12	225
2015-07-13	222
2015-07-14	229
2015-07-15	200
2015-07-16	289
2015-07-17	288
2015-07-18	253
2015-07-19	193
2015-07-20	233
2015-07-21	276
2015-07-22	302
2015-07-23	283
2015-07-24	312
2015-07-25	300
2015-07-26	206
2015-07-27	392
2015-07-28	331
2015-07-29	238
2015-07-30	344
2015-07-31	251
2015-08-01	213
2015-08-02	217
2015-08-03	332
2015-08-04	353
2015-08-05	350
2015-08-06	302
2015-08-07	242
2015-08-08	214
2015-08-09	183
2015-08-10	277
2015-08-11	256
2015-08-12	305
2015-08-13	355
2015-08-14	212
2015-08-15	258
2015-08-16	218
2015-08-17	240
2015-08-18	266
2015-08-19	253
2015-08-20	275
2015-08-21	237
2015-08-22	248
2015-08-23	244
2015-08-24	212
2015-08-25	276
2015-08-26	281
2015-08-27	310
2015-08-28	249
2015-08-29	257
2015-08-30	242
2015-08-31	294
2015-09-01	282
2015-09-02	312
2015-09-03	226
2015-09-04	280
2015-09-05	229
2015-09-06	284
2015-09-07	214
2015-09-08	236
2015-09-09	282
2015-09-10	256
2015-09-11	220
2015-09-12	250
2015-09-13	337
2015-09-14	233
2015-09-15	430
2015-09-16	258
2015-09-17	315
2015-09-18	287
2015-09-19	205
2015-09-20	251
2015-09-21	282
2015-09-22	359
2015-09-23	323
2015-09-24	282
2015-09-25	351
2015-09-26	404
2015-09-27	342
2015-09-28	287
2015-09-29	317
2015-09-30	342
2015-10-01	484
2015-10-02	271
2015-10-03	398
2015-10-04	322
2015-10-05	489
2015-10-06	528
2015-10-07	442
2015-10-08	289
2015-10-09	370
2015-10-10	204
2015-10-11	320
2015-10-12	280
2015-10-13	337
2015-10-14	306
2015-10-15	269
2015-10-16	281
2015-10-17	232
2015-10-18	406
2015-10-19	258
2015-10-20	371
2015-10-21	271
2015-10-22	491
2015-10-23	283
2015-10-24	460
2015-10-25	255
2015-10-26	450
2015-10-27	255
2015-10-28	263
2015-10-29	385
2015-10-30	313
2015-10-31	320
2015-11-01	214
2015-11-02	279
2015-11-03	395
2015-11-04	314
2015-11-05	282
2015-11-06	338
2015-11-07	371
2015-11-08	359
2015-11-09	475
2015-11-10	308
2015-11-11	323
2015-11-12	273
2015-11-13	301
2015-11-14	249
2015-11-15	336
2015-11-16	258
2015-11-17	293
2015-11-18	320
2015-11-19	424
2015-11-20	280
2015-11-21	273
2015-11-22	324
2015-11-23	354
2015-11-24	359
2015-11-25	321
2015-11-26	384
2015-11-27	386
2015-11-28	314
2015-11-29	222
2015-11-30	257
2015-12-01	293
2015-12-02	332
2015-12-03	275
2015-12-04	343
2015-12-05	315
2015-12-06	228
2015-12-07	277
2015-12-08	305
2015-12-09	336
2015-12-10	268
2015-12-11	301
2015-12-12	339
2015-12-13	344
2015-12-14	308
2015-12-15	346
2015-12-16	295
2015-12-17	335
2015-12-18	378
2015-12-19	336
2015-12-20	226
2015-12-21	297
2015-12-22	268
2015-12-23	250
2015-12-24	222
2015-12-25	298
2015-12-26	318
2015-12-27	239
2015-12-28	186
2015-12-29	250
2015-12-30	240
2015-12-31	208
2016-01-01	161
2016-01-02	293
2016-01-03	204
2016-01-04	280
2016-01-05	280
2016-01-06	319
2016-01-07	350
2016-01-08	285
2016-01-09	281
2016-01-10	286
2016-01-11	460
2016-01-12	366
2016-01-13	543
2016-01-14	349
2016-01-15	338
2016-01-16	320
2016-01-17	256
2016-01-18	262
2016-01-19	371
2016-01-20	321
2016-01-21	354
2016-01-22	315
2016-01-23	344
2016-01-24	307
2016-01-25	370
2016-01-26	348
2016-01-27	368
2016-01-28	323
2016-01-29	381
2016-01-30	316
2016-01-31	364
2016-02-01	318
2016-02-02	365
2016-02-03	447
2016-02-04	547
2016-02-05	462
2016-02-06	293
2016-02-07	388
2016-02-08	409
2016-02-09	490
2016-02-10	354
2016-02-11	403
2016-02-12	359
2016-02-13	310
2016-02-14	391
2016-02-15	300
2016-02-16	301
2016-02-17	369
2016-02-18	420
2016-02-19	298
2016-02-20	368
2016-02-21	292
2016-02-22	243
2016-02-23	273
2016-02-24	309
2016-02-25	335
2016-02-26	317
2016-02-27	264
2016-02-28	428
2016-02-29	299
2016-03-01	310
2016-03-02	306
2016-03-03	279
2016-03-04	311
2016-03-05	346
2016-03-06	306
2016-03-07	268
2016-03-08	301
2016-03-09	370
2016-03-10	292
2016-03-11	259
2016-03-12	244
2016-03-13	315
2016-03-14	399
2016-03-15	271
2016-03-16	258
2016-03-17	271
2016-03-18	314
2016-03-19	297
2016-03-20	220
2016-03-21	305
2016-03-22	276
2016-03-23	235
2016-03-24	251
2016-03-25	293
2016-03-26	232
2016-03-27	247
2016-03-28	241
2016-03-29	287
2016-03-30	235
2016-03-31	257
2016-04-01	239
2016-04-02	210
2016-04-03	281
2016-04-04	305
2016-04-05	369
2016-04-06	383
2016-04-07	332
2016-04-08	277
2016-04-09	545
2016-04-10	540
2016-04-11	269
2016-04-12	294
2016-04-13	309
2016-04-14	315
2016-04-15	351
2016-04-16	264
2016-04-17	261
2016-04-18	223
2016-04-19	302
2016-04-20	315
2016-04-21	501
2016-04-22	307
2016-04-23	283
2016-04-24	254
2016-04-25	329
2016-04-26	251
2016-04-27	349
2016-04-28	255
2016-04-29	253
2016-04-30	265
2016-05-01	238
2016-05-02	285
2016-05-03	248
2016-05-04	267
2016-05-05	243
2016-05-06	286
2016-05-07	394
2016-05-08	560
2016-05-09	410
2016-05-10	311
2016-05-11	337
2016-05-12	517
2016-05-13	685
2016-05-14	1111
2016-05-15	927
2016-05-16	957
2016-05-17	496
2016-05-18	840
2016-05-19	785
2016-05-20	802
2016-05-21	619
2016-05-22	421
2016-05-23	250
2016-05-24	412
2016-05-25	371
2016-05-26	590
2016-05-27	504
2016-05-28	299
2016-05-29	283
2016-05-30	447
2016-05-31	488
