date	freq
2015-06-01	49
2015-06-02	46
2015-06-03	43
2015-06-04	70
2015-06-05	47
2015-06-06	39
2015-06-07	46
2015-06-08	41
2015-06-09	51
2015-06-10	43
2015-06-11	47
2015-06-12	49
2015-06-13	49
2015-06-14	49
2015-06-15	61
2015-06-16	52
2015-06-17	57
2015-06-18	83
2015-06-19	71
2015-06-20	53
2015-06-21	62
2015-06-22	55
2015-06-23	54
2015-06-24	68
2015-06-25	70
2015-06-26	67
2015-06-27	68
2015-06-28	65
2015-06-29	85
2015-06-30	81
2015-07-01	94
2015-07-02	68
2015-07-03	76
2015-07-04	93
2015-07-05	91
2015-07-06	77
2015-07-07	85
2015-07-08	82
2015-07-09	62
2015-07-10	64
2015-07-11	86
2015-07-12	81
2015-07-13	77
2015-07-14	120
2015-07-15	72
2015-07-16	83
2015-07-17	94
2015-07-18	103
2015-07-19	63
2015-07-20	60
2015-07-21	83
2015-07-22	72
2015-07-23	102
2015-07-24	71
2015-07-25	98
2015-07-26	82
2015-07-27	91
2015-07-28	84
2015-07-29	56
2015-07-30	72
2015-07-31	106
2015-08-01	76
2015-08-02	81
2015-08-03	64
2015-08-04	87
2015-08-05	83
2015-08-06	95
2015-08-07	102
2015-08-08	82
2015-08-09	67
2015-08-10	65
2015-08-11	64
2015-08-12	49
2015-08-13	37
2015-08-14	63
2015-08-15	76
2015-08-16	99
2015-08-17	79
2015-08-18	75
2015-08-19	73
2015-08-20	107
2015-08-21	76
2015-08-22	101
2015-08-23	94
2015-08-24	93
2015-08-25	111
2015-08-26	81
2015-08-27	75
2015-08-28	54
2015-08-29	80
2015-08-30	48
2015-08-31	74
2015-09-01	36
2015-09-02	75
2015-09-03	73
2015-09-04	58
2015-09-05	77
2015-09-06	89
2015-09-07	67
2015-09-08	106
2015-09-09	110
2015-09-10	86
2015-09-11	69
2015-09-12	57
2015-09-13	71
2015-09-14	63
2015-09-15	51
2015-09-16	65
2015-09-17	62
2015-09-18	51
2015-09-19	42
2015-09-20	43
2015-09-21	62
2015-09-22	64
2015-09-23	65
2015-09-24	50
2015-09-25	45
2015-09-26	45
2015-09-27	43
2015-09-28	34
2015-09-29	68
2015-09-30	78
2015-10-01	72
2015-10-02	78
2015-10-03	64
2015-10-04	35
2015-10-05	59
2015-10-06	55
2015-10-07	45
2015-10-08	44
2015-10-09	45
2015-10-10	40
2015-10-11	46
2015-10-12	39
2015-10-13	47
2015-10-14	50
2015-10-15	53
2015-10-16	70
2015-10-17	51
2015-10-18	37
2015-10-19	47
2015-10-20	44
2015-10-21	45
2015-10-22	55
2015-10-23	44
2015-10-24	48
2015-10-25	48
2015-10-26	38
2015-10-27	52
2015-10-28	49
2015-10-29	34
2015-10-30	45
2015-10-31	41
2015-11-01	42
2015-11-02	53
2015-11-03	63
2015-11-04	39
2015-11-05	55
2015-11-06	49
2015-11-07	51
2015-11-08	42
2015-11-09	61
2015-11-10	96
2015-11-11	105
2015-11-12	116
2015-11-13	110
2015-11-14	100
2015-11-15	114
2015-11-16	102
2015-11-17	109
2015-11-18	78
2015-11-19	96
2015-11-20	54
2015-11-21	58
2015-11-22	68
2015-11-23	49
2015-11-24	77
2015-11-25	72
2015-11-26	95
2015-11-27	70
2015-11-28	56
2015-11-29	66
2015-11-30	63
2015-12-01	113
2015-12-02	107
2015-12-03	113
2015-12-04	68
2015-12-05	67
2015-12-06	74
2015-12-07	57
2015-12-08	57
2015-12-09	71
2015-12-10	70
2015-12-11	69
2015-12-12	82
2015-12-13	79
2015-12-14	60
2015-12-15	56
2015-12-16	60
2015-12-17	52
2015-12-18	56
2015-12-19	68
2015-12-20	69
2015-12-21	65
2015-12-22	52
2015-12-23	61
2015-12-24	75
2015-12-25	45
2015-12-26	53
2015-12-27	55
2015-12-28	54
2015-12-29	40
2015-12-30	35
2015-12-31	58
2016-01-01	38
2016-01-02	64
2016-01-03	64
2016-01-04	76
2016-01-05	55
2016-01-06	67
