date	freq
2015-06-01	186
2015-06-02	184
2015-06-03	181
2015-06-04	236
2015-06-05	208
2015-06-06	170
2015-06-07	190
2015-06-08	218
2015-06-09	222
2015-06-10	255
2015-06-11	189
2015-06-12	204
2015-06-13	199
2015-06-14	213
2015-06-15	203
2015-06-16	223
2015-06-17	208
2015-06-18	189
2015-06-19	183
2015-06-20	208
2015-06-21	193
2015-06-22	224
2015-06-23	243
2015-06-24	222
2015-06-25	212
2015-06-26	181
2015-06-27	157
2015-06-28	188
2015-06-29	199
2015-06-30	222
2015-07-01	198
2015-07-02	209
2015-07-03	267
2015-07-04	218
2015-07-05	189
2015-07-06	250
2015-07-07	225
2015-07-08	251
2015-07-09	256
2015-07-10	191
2015-07-11	208
2015-07-12	221
2015-07-13	258
2015-07-14	228
2015-07-15	259
2015-07-16	199
2015-07-17	189
2015-07-18	162
2015-07-19	159
2015-07-20	188
2015-07-21	219
2015-07-22	201
2015-07-23	234
2015-07-24	190
2015-07-25	202
2015-07-26	179
2015-07-27	204
2015-07-28	248
2015-07-29	226
2015-07-30	215
2015-07-31	177
2015-08-01	187
2015-08-02	179
2015-08-03	172
2015-08-04	183
2015-08-05	200
2015-08-06	217
2015-08-07	220
2015-08-08	149
2015-08-09	157
2015-08-10	205
2015-08-11	195
2015-08-12	192
2015-08-13	191
2015-08-14	160
2015-08-15	189
2015-08-16	171
2015-08-17	192
2015-08-18	192
2015-08-19	211
2015-08-20	178
2015-08-21	201
2015-08-22	173
2015-08-23	144
2015-08-24	172
2015-08-25	203
2015-08-26	235
2015-08-27	190
2015-08-28	208
2015-08-29	149
2015-08-30	204
2015-08-31	247
2015-09-01	204
2015-09-02	243
2015-09-03	198
2015-09-04	237
2015-09-05	189
2015-09-06	216
2015-09-07	212
2015-09-08	211
2015-09-09	212
2015-09-10	171
2015-09-11	203
2015-09-12	156
2015-09-13	209
2015-09-14	182
2015-09-15	218
2015-09-16	198
2015-09-17	259
2015-09-18	247
2015-09-19	246
2015-09-20	200
2015-09-21	211
2015-09-22	184
2015-09-23	212
2015-09-24	268
2015-09-25	296
2015-09-26	198
2015-09-27	203
2015-09-28	200
2015-09-29	217
2015-09-30	194
2015-10-01	230
2015-10-02	209
2015-10-03	286
2015-10-04	172
2015-10-05	243
2015-10-06	226
2015-10-07	257
2015-10-08	213
2015-10-09	215
2015-10-10	212
2015-10-11	204
2015-10-12	210
2015-10-13	305
2015-10-14	243
2015-10-15	193
