date	freq
2015-06-01	64
2015-06-02	63
2015-06-03	55
2015-06-04	53
2015-06-05	58
2015-06-06	50
2015-06-07	63
2015-06-08	52
2015-06-09	50
2015-06-10	25
2015-06-11	67
2015-06-12	66
2015-06-13	47
2015-06-14	62
2015-06-15	72
2015-06-16	57
2015-06-17	50
2015-06-18	47
2015-06-19	44
2015-06-20	131
2015-06-21	61
2015-06-22	75
2015-06-23	52
2015-06-24	47
2015-06-25	48
2015-06-26	58
2015-06-27	57
2015-06-28	65
2015-06-29	70
2015-06-30	67
2015-07-01	66
2015-07-02	45
2015-07-03	39
2015-07-04	50
2015-07-05	57
2015-07-06	159
2015-07-07	69
2015-07-08	80
2015-07-09	59
2015-07-10	88
2015-07-11	134
2015-07-12	60
2015-07-13	53
2015-07-14	53
2015-07-15	50
2015-07-16	71
2015-07-17	57
2015-07-18	54
2015-07-19	55
2015-07-20	58
2015-07-21	66
2015-07-22	66
2015-07-23	68
2015-07-24	58
2015-07-25	59
2015-07-26	61
2015-07-27	67
2015-07-28	59
2015-07-29	67
2015-07-30	65
2015-07-31	64
2015-08-01	47
2015-08-02	68
2015-08-03	62
2015-08-04	66
2015-08-05	61
2015-08-06	58
2015-08-07	65
2015-08-08	56
2015-08-09	58
2015-08-10	54
2015-08-11	60
2015-08-12	67
2015-08-13	58
2015-08-14	61
2015-08-15	50
2015-08-16	64
2015-08-17	56
2015-08-18	69
2015-08-19	80
2015-08-20	62
2015-08-21	67
2015-08-22	64
2015-08-23	57
2015-08-24	65
2015-08-25	47
2015-08-26	65
2015-08-27	66
2015-08-28	63
2015-08-29	76
2015-08-30	62
2015-08-31	52
2015-09-01	70
2015-09-02	73
2015-09-03	72
2015-09-04	62
2015-09-05	76
2015-09-06	81
2015-09-07	64
2015-09-08	65
2015-09-09	59
2015-09-10	69
2015-09-11	81
2015-09-12	55
2015-09-13	59
2015-09-14	61
2015-09-15	43
2015-09-16	76
2015-09-17	54
2015-09-18	59
2015-09-19	63
2015-09-20	51
2015-09-21	56
2015-09-22	56
2015-09-23	56
2015-09-24	81
2015-09-25	80
2015-09-26	57
2015-09-27	59
2015-09-28	65
2015-09-29	64
2015-09-30	43
2015-10-01	62
2015-10-02	50
2015-10-03	57
2015-10-04	52
2015-10-05	56
2015-10-06	63
2015-10-07	72
2015-10-08	70
2015-10-09	58
2015-10-10	50
2015-10-11	73
2015-10-12	59
2015-10-13	61
2015-10-14	66
2015-10-15	58
2015-10-16	50
2015-10-17	72
2015-10-18	86
2015-10-19	44
2015-10-20	61
2015-10-21	70
2015-10-22	62
2015-10-23	53
2015-10-24	50
2015-10-25	59
2015-10-26	51
2015-10-27	48
