date	freq
2015-06-01	33
2015-06-02	33
2015-06-03	47
2015-06-04	39
2015-06-05	28
2015-06-06	34
2015-06-07	38
2015-06-08	20
2015-06-09	15
2015-06-10	4
2015-06-11	18
2015-06-12	25
2015-06-13	17
2015-06-14	11
2015-06-15	12
2015-06-16	11
2015-06-17	21
2015-06-18	16
2015-06-19	14
2015-06-20	12
2015-06-21	7
2015-06-22	15
2015-06-23	16
2015-06-24	15
2015-06-25	16
2015-06-26	9
2015-06-27	13
2015-06-28	20
2015-06-29	11
2015-06-30	7
2015-07-01	11
2015-07-02	12
2015-07-03	11
2015-07-04	6
2015-07-05	14
2015-07-06	10
2015-07-07	13
2015-07-08	10
2015-07-09	11
2015-07-10	19
2015-07-11	7
2015-07-12	11
2015-07-13	6
2015-07-14	20
2015-07-15	11
2015-07-16	10
2015-07-17	5
2015-07-18	8
2015-07-19	17
2015-07-20	10
2015-07-21	10
2015-07-22	10
2015-07-23	11
2015-07-24	20
2015-07-25	12
2015-07-26	12
2015-07-27	6
2015-07-28	7
2015-07-29	20
2015-07-30	13
2015-07-31	8
2015-08-01	12
2015-08-02	11
2015-08-03	12
2015-08-04	11
2015-08-05	10
2015-08-06	8
2015-08-07	6
2015-08-08	10
2015-08-09	7
2015-08-10	10
2015-08-11	11
2015-08-12	13
2015-08-13	9
2015-08-14	7
2015-08-15	8
2015-08-16	9
2015-08-17	4
2015-08-18	11
2015-08-19	5
2015-08-20	12
2015-08-21	10
2015-08-22	7
2015-08-23	8
2015-08-24	12
2015-08-25	5
2015-08-26	9
2015-08-27	4
2015-08-28	8
2015-08-29	8
2015-08-30	11
2015-08-31	10
2015-09-01	8
2015-09-02	13
2015-09-03	8
2015-09-04	10
2015-09-05	9
2015-09-06	5
2015-09-07	7
2015-09-08	7
2015-09-09	6
2015-09-10	10
2015-09-11	8
2015-09-12	12
2015-09-13	17
2015-09-14	5
2015-09-15	14
2015-09-16	10
2015-09-17	11
2015-09-18	12
2015-09-19	8
2015-09-20	11
2015-09-21	11
2015-09-22	16
2015-09-23	12
2015-09-24	22
2015-09-25	10
2015-09-26	17
2015-09-27	9
2015-09-28	13
2015-09-29	26
2015-09-30	13
2015-10-01	13
2015-10-02	10
2015-10-03	13
2015-10-04	14
2015-10-05	17
2015-10-06	20
2015-10-07	22
2015-10-08	17
2015-10-09	12
2015-10-10	17
2015-10-11	11
2015-10-12	19
2015-10-13	14
2015-10-14	15
2015-10-15	17
2015-10-16	10
2015-10-17	14
2015-10-18	13
2015-10-19	26
2015-10-20	23
2015-10-21	10
2015-10-22	19
2015-10-23	17
2015-10-24	8
2015-10-25	15
2015-10-26	6
2015-10-27	16
2015-10-28	22
2015-10-29	13
2015-10-30	9
2015-10-31	9
2015-11-01	9
2015-11-02	14
2015-11-03	14
2015-11-04	11
2015-11-05	8
2015-11-06	7
2015-11-07	13
2015-11-08	12
2015-11-09	4
2015-11-10	6
2015-11-11	11
2015-11-12	10
2015-11-13	9
2015-11-14	12
2015-11-15	10
2015-11-16	7
2015-11-17	10
2015-11-18	11
2015-11-19	11
2015-11-20	13
2015-11-21	4
2015-11-22	1
2015-11-23	9
2015-11-24	11
2015-11-25	10
2015-11-26	11
2015-11-27	7
2015-11-28	8
2015-11-29	8
2015-11-30	8
2015-12-01	9
2015-12-02	7
2015-12-03	11
2015-12-04	10
2015-12-05	10
2015-12-06	9
2015-12-07	12
2015-12-08	14
2015-12-09	14
2015-12-10	9
2015-12-11	9
2015-12-12	10
2015-12-13	4
2015-12-14	15
2015-12-15	9
2015-12-16	10
2015-12-17	6
2015-12-18	7
2015-12-19	8
2015-12-20	3
2015-12-21	8
2015-12-22	4
2015-12-23	10
2015-12-24	8
2015-12-25	5
2015-12-26	10
2015-12-27	6
2015-12-28	11
2015-12-29	15
2015-12-30	12
2015-12-31	7
2016-01-01	13
2016-01-02	7
2016-01-03	12
2016-01-04	7
2016-01-05	10
2016-01-06	7
2016-01-07	5
2016-01-08	10
2016-01-09	15
2016-01-10	11
2016-01-11	4
2016-01-12	14
2016-01-13	9
2016-01-14	13
2016-01-15	16
2016-01-16	11
2016-01-17	16
2016-01-18	9
2016-01-19	8
2016-01-20	6
2016-01-21	6
2016-01-22	12
2016-01-23	10
2016-01-24	14
2016-01-25	15
2016-01-26	12
2016-01-27	10
2016-01-28	3
2016-01-29	10
2016-01-30	7
2016-01-31	16
2016-02-01	9
2016-02-02	10
2016-02-03	8
2016-02-04	6
2016-02-05	9
2016-02-06	14
2016-02-07	9
2016-02-08	5
2016-02-09	2
2016-02-10	12
2016-02-11	11
2016-02-12	9
2016-02-13	9
2016-02-14	10
2016-02-15	12
2016-02-16	9
2016-02-17	10
2016-02-18	12
2016-02-19	26
2016-02-20	10
2016-02-21	9
2016-02-22	5
2016-02-23	9
2016-02-24	9
2016-02-25	8
2016-02-26	11
2016-02-27	8
2016-02-28	15
2016-02-29	13
2016-03-01	7
2016-03-02	9
2016-03-03	11
2016-03-04	10
2016-03-05	12
2016-03-06	12
2016-03-07	9
2016-03-08	4
2016-03-09	11
2016-03-10	8
2016-03-11	10
2016-03-12	7
2016-03-13	4
2016-03-14	8
2016-03-15	4
2016-03-16	8
2016-03-17	6
2016-03-18	9
2016-03-19	6
2016-03-20	10
2016-03-21	11
2016-03-22	15
2016-03-23	8
2016-03-24	9
2016-03-25	10
2016-03-26	11
2016-03-27	14
2016-03-28	11
2016-03-29	9
2016-03-30	10
2016-03-31	3
2016-04-01	9
2016-04-02	8
2016-04-03	14
2016-04-04	15
2016-04-05	13
2016-04-06	4
2016-04-07	15
2016-04-08	13
2016-04-09	10
2016-04-10	8
2016-04-11	12
2016-04-12	21
2016-04-13	7
2016-04-14	11
2016-04-15	8
2016-04-16	9
