date	freq
2015-06-01	35
2015-06-02	40
2015-06-03	38
2015-06-04	37
2015-06-05	41
2015-06-06	26
2015-06-07	45
2015-06-08	33
2015-06-09	33
2015-06-10	26
2015-06-11	34
2015-06-12	36
2015-06-13	37
2015-06-14	26
2015-06-15	28
2015-06-16	37
2015-06-17	46
2015-06-18	51
2015-06-19	26
2015-06-20	26
2015-06-21	34
2015-06-22	30
2015-06-23	33
2015-06-24	31
2015-06-25	38
2015-06-26	30
2015-06-27	25
2015-06-28	21
2015-06-29	31
2015-06-30	29
2015-07-01	26
2015-07-02	32
2015-07-03	49
2015-07-04	41
2015-07-05	29
2015-07-06	34
2015-07-07	36
2015-07-08	29
2015-07-09	22
2015-07-10	33
2015-07-11	29
2015-07-12	27
2015-07-13	24
2015-07-14	24
2015-07-15	27
2015-07-16	38
2015-07-17	24
2015-07-18	31
2015-07-19	31
2015-07-20	33
2015-07-21	43
2015-07-22	35
2015-07-23	32
2015-07-24	30
2015-07-25	28
2015-07-26	47
2015-07-27	25
2015-07-28	36
2015-07-29	21
2015-07-30	25
2015-07-31	21
2015-08-01	21
2015-08-02	22
2015-08-03	23
2015-08-04	30
2015-08-05	28
2015-08-06	16
2015-08-07	21
2015-08-08	20
2015-08-09	22
2015-08-10	25
2015-08-11	26
2015-08-12	36
2015-08-13	25
2015-08-14	25
2015-08-15	21
2015-08-16	32
2015-08-17	28
2015-08-18	22
2015-08-19	23
2015-08-20	27
2015-08-21	24
2015-08-22	17
2015-08-23	31
2015-08-24	30
2015-08-25	35
2015-08-26	22
2015-08-27	31
2015-08-28	38
2015-08-29	33
2015-08-30	19
2015-08-31	31
2015-09-01	33
2015-09-02	41
2015-09-03	37
2015-09-04	41
2015-09-05	36
2015-09-06	32
2015-09-07	38
2015-09-08	46
2015-09-09	40
2015-09-10	30
2015-09-11	33
2015-09-12	33
2015-09-13	21
2015-09-14	29
2015-09-15	26
2015-09-16	34
2015-09-17	32
2015-09-18	31
2015-09-19	30
2015-09-20	36
2015-09-21	34
2015-09-22	24
2015-09-23	41
2015-09-24	45
2015-09-25	41
2015-09-26	28
2015-09-27	38
2015-09-28	22
2015-09-29	40
2015-09-30	32
2015-10-01	27
2015-10-02	27
2015-10-03	22
2015-10-04	14
2015-10-05	23
2015-10-06	44
2015-10-07	28
2015-10-08	34
2015-10-09	31
2015-10-10	37
2015-10-11	28
2015-10-12	26
2015-10-13	24
2015-10-14	37
2015-10-15	24
2015-10-16	23
2015-10-17	28
2015-10-18	42
2015-10-19	29
2015-10-20	22
2015-10-21	32
2015-10-22	41
2015-10-23	34
2015-10-24	30
2015-10-25	31
2015-10-26	46
2015-10-27	25
2015-10-28	28
2015-10-29	26
2015-10-30	25
2015-10-31	24
2015-11-01	26
2015-11-02	33
2015-11-03	31
2015-11-04	37
2015-11-05	32
2015-11-06	39
2015-11-07	42
2015-11-08	27
2015-11-09	30
2015-11-10	43
2015-11-11	35
2015-11-12	26
2015-11-13	29
2015-11-14	31
2015-11-15	35
2015-11-16	38
2015-11-17	44
2015-11-18	44
2015-11-19	40
2015-11-20	37
2015-11-21	28
2015-11-22	24
2015-11-23	31
2015-11-24	42
2015-11-25	38
2015-11-26	43
2015-11-27	28
2015-11-28	37
2015-11-29	23
2015-11-30	31
2015-12-01	37
2015-12-02	32
2015-12-03	41
2015-12-04	32
2015-12-05	35
2015-12-06	29
2015-12-07	38
2015-12-08	40
2015-12-09	27
2015-12-10	25
2015-12-11	34
2015-12-12	27
2015-12-13	25
2015-12-14	27
2015-12-15	29
2015-12-16	21
2015-12-17	21
2015-12-18	25
2015-12-19	23
2015-12-20	46
2015-12-21	29
2015-12-22	25
2015-12-23	22
2015-12-24	32
2015-12-25	38
2015-12-26	23
2015-12-27	23
2015-12-28	29
2015-12-29	23
2015-12-30	30
2015-12-31	29
2016-01-01	19
2016-01-02	32
2016-01-03	17
2016-01-04	33
2016-01-05	25
2016-01-06	55
2016-01-07	47
2016-01-08	32
2016-01-09	52
2016-01-10	35
2016-01-11	34
2016-01-12	35
2016-01-13	34
2016-01-14	31
2016-01-15	32
2016-01-16	45
2016-01-17	53
2016-01-18	40
2016-01-19	31
2016-01-20	35
2016-01-21	49
2016-01-22	24
2016-01-23	42
2016-01-24	41
2016-01-25	34
2016-01-26	43
2016-01-27	43
2016-01-28	26
2016-01-29	35
2016-01-30	36
2016-01-31	35
2016-02-01	40
2016-02-02	41
2016-02-03	36
2016-02-04	45
2016-02-05	28
2016-02-06	31
2016-02-07	28
2016-02-08	38
2016-02-09	36
2016-02-10	27
2016-02-11	27
2016-02-12	33
2016-02-13	31
2016-02-14	33
2016-02-15	24
2016-02-16	29
2016-02-17	25
2016-02-18	45
2016-02-19	34
2016-02-20	32
2016-02-21	41
2016-02-22	37
2016-02-23	27
2016-02-24	26
2016-02-25	35
2016-02-26	25
2016-02-27	27
2016-02-28	29
2016-02-29	39
2016-03-01	31
2016-03-02	23
2016-03-03	17
2016-03-04	26
2016-03-05	28
2016-03-06	22
2016-03-07	24
2016-03-08	34
2016-03-09	20
2016-03-10	71
2016-03-11	41
2016-03-12	48
2016-03-13	31
2016-03-14	36
2016-03-15	38
2016-03-16	52
2016-03-17	37
2016-03-18	57
2016-03-19	39
2016-03-20	48
2016-03-21	44
2016-03-22	29
2016-03-23	26
2016-03-24	25
2016-03-25	31
2016-03-26	26
2016-03-27	23
2016-03-28	27
2016-03-29	29
2016-03-30	43
2016-03-31	36
2016-04-01	20
2016-04-02	25
2016-04-03	32
2016-04-04	35
2016-04-05	34
2016-04-06	39
2016-04-07	28
2016-04-08	23
2016-04-09	24
2016-04-10	43
2016-04-11	38
2016-04-12	57
2016-04-13	36
2016-04-14	28
2016-04-15	37
2016-04-16	21
2016-04-17	28
2016-04-18	34
2016-04-19	34
2016-04-20	41
2016-04-21	44
2016-04-22	32
2016-04-23	26
2016-04-24	15
2016-04-25	30
2016-04-26	36
2016-04-27	26
2016-04-28	36
2016-04-29	25
2016-04-30	22
2016-05-01	31
2016-05-02	36
2016-05-03	32
2016-05-04	59
2016-05-05	20
2016-05-06	43
2016-05-07	26
2016-05-08	40
2016-05-09	37
2016-05-10	26
2016-05-11	23
2016-05-12	34
2016-05-13	22
2016-05-14	28
2016-05-15	29
2016-05-16	26
2016-05-17	42
2016-05-18	40
2016-05-19	33
2016-05-20	29
2016-05-21	22
2016-05-22	20
2016-05-23	39
2016-05-24	21
2016-05-25	42
2016-05-26	56
2016-05-27	52
2016-05-28	65
2016-05-29	19
2016-05-30	31
2016-05-31	39
