date	freq
2015-06-01	157
2015-06-02	158
2015-06-03	159
2015-06-04	149
2015-06-05	134
2015-06-06	131
2015-06-07	141
2015-06-08	129
2015-06-09	144
2015-06-10	128
2015-06-11	141
2015-06-12	131
2015-06-13	132
2015-06-14	167
2015-06-15	153
2015-06-16	166
2015-06-17	150
2015-06-18	142
2015-06-19	130
2015-06-20	152
2015-06-21	171
2015-06-22	142
2015-06-23	164
2015-06-24	128
2015-06-25	141
2015-06-26	154
2015-06-27	187
2015-06-28	156
2015-06-29	169
2015-06-30	141
2015-07-01	132
2015-07-02	153
2015-07-03	133
2015-07-04	131
2015-07-05	125
2015-07-06	157
2015-07-07	139
2015-07-08	138
2015-07-09	161
2015-07-10	123
2015-07-11	134
2015-07-12	134
2015-07-13	154
2015-07-14	161
2015-07-15	157
2015-07-16	136
2015-07-17	106
2015-07-18	158
2015-07-19	150
2015-07-20	136
2015-07-21	150
2015-07-22	141
2015-07-23	146
2015-07-24	115
2015-07-25	153
2015-07-26	133
2015-07-27	161
2015-07-28	149
2015-07-29	140
2015-07-30	153
2015-07-31	134
2015-08-01	125
2015-08-02	124
2015-08-03	152
2015-08-04	117
2015-08-05	135
2015-08-06	122
2015-08-07	126
2015-08-08	120
2015-08-09	114
2015-08-10	97
2015-08-11	137
2015-08-12	121
2015-08-13	135
2015-08-14	140
2015-08-15	213
2015-08-16	219
2015-08-17	147
2015-08-18	113
2015-08-19	130
2015-08-20	127
2015-08-21	154
2015-08-22	153
2015-08-23	138
2015-08-24	124
2015-08-25	119
2015-08-26	109
2015-08-27	408
2015-08-28	200
2015-08-29	147
2015-08-30	120
2015-08-31	144
2015-09-01	129
2015-09-02	118
2015-09-03	148
2015-09-04	135
2015-09-05	138
2015-09-06	167
2015-09-07	182
2015-09-08	127
2015-09-09	127
2015-09-10	119
2015-09-11	162
2015-09-12	141
2015-09-13	114
2015-09-14	142
2015-09-15	134
2015-09-16	132
2015-09-17	129
2015-09-18	142
2015-09-19	124
2015-09-20	118
2015-09-21	149
2015-09-22	158
2015-09-23	158
2015-09-24	125
2015-09-25	145
2015-09-26	145
2015-09-27	110
2015-09-28	157
2015-09-29	147
2015-09-30	120
2015-10-01	184
2015-10-02	170
2015-10-03	134
2015-10-04	156
2015-10-05	134
2015-10-06	137
2015-10-07	174
2015-10-08	163
2015-10-09	201
2015-10-10	172
2015-10-11	178
2015-10-12	140
2015-10-13	137
2015-10-14	165
2015-10-15	140
2015-10-16	132
2015-10-17	152
2015-10-18	142
2015-10-19	137
2015-10-20	136
2015-10-21	133
2015-10-22	126
2015-10-23	119
2015-10-24	123
2015-10-25	126
2015-10-26	131
2015-10-27	133
2015-10-28	129
2015-10-29	119
2015-10-30	141
2015-10-31	127
2015-11-01	131
2015-11-02	145
2015-11-03	131
2015-11-04	114
2015-11-05	159
2015-11-06	130
2015-11-07	109
2015-11-08	125
2015-11-09	126
2015-11-10	115
2015-11-11	93
2015-11-12	96
2015-11-13	99
2015-11-14	77
2015-11-15	92
2015-11-16	81
2015-11-17	100
2015-11-18	167
2015-11-19	112
2015-11-20	105
2015-11-21	87
2015-11-22	95
2015-11-23	98
2015-11-24	88
2015-11-25	120
2015-11-26	93
2015-11-27	100
2015-11-28	106
2015-11-29	108
2015-11-30	310
2015-12-01	145
2015-12-02	116
2015-12-03	124
2015-12-04	99
2015-12-05	107
2015-12-06	83
2015-12-07	104
2015-12-08	98
2015-12-09	104
2015-12-10	111
2015-12-11	64
2015-12-12	91
2015-12-13	98
2015-12-14	89
2015-12-15	107
2015-12-16	100
2015-12-17	94
2015-12-18	72
2015-12-19	95
2015-12-20	85
2015-12-21	85
2015-12-22	93
2015-12-23	99
2015-12-24	105
2015-12-25	99
2015-12-26	147
2015-12-27	170
2015-12-28	152
2015-12-29	108
2015-12-30	89
2015-12-31	156
2016-01-01	86
2016-01-02	84
2016-01-03	98
2016-01-04	109
2016-01-05	93
2016-01-06	98
2016-01-07	91
2016-01-08	139
2016-01-09	94
2016-01-10	84
