date	freq
2015-06-01	65
2015-06-02	71
2015-06-03	76
2015-06-04	97
2015-06-05	53
2015-06-06	62
2015-06-07	76
2015-06-08	67
2015-06-09	61
2015-06-10	63
2015-06-11	60
2015-06-12	96
2015-06-13	48
2015-06-14	34
2015-06-15	60
2015-06-16	58
2015-06-17	65
2015-06-18	60
2015-06-19	58
2015-06-20	56
2015-06-21	50
2015-06-22	72
2015-06-23	64
2015-06-24	55
2015-06-25	69
2015-06-26	58
2015-06-27	60
2015-06-28	47
2015-06-29	86
2015-06-30	60
2015-07-01	62
2015-07-02	53
2015-07-03	74
2015-07-04	61
2015-07-05	56
2015-07-06	66
2015-07-07	64
2015-07-08	54
2015-07-09	60
2015-07-10	64
2015-07-11	56
2015-07-12	38
2015-07-13	60
2015-07-14	60
2015-07-15	42
2015-07-16	67
2015-07-17	68
2015-07-18	48
2015-07-19	63
2015-07-20	64
2015-07-21	59
2015-07-22	66
2015-07-23	91
2015-07-24	82
2015-07-25	63
2015-07-26	56
2015-07-27	66
2015-07-28	73
2015-07-29	62
2015-07-30	46
2015-07-31	65
2015-08-01	65
2015-08-02	52
2015-08-03	51
2015-08-04	45
2015-08-05	42
2015-08-06	70
2015-08-07	78
2015-08-08	60
2015-08-09	52
2015-08-10	59
2015-08-11	63
2015-08-12	65
2015-08-13	51
2015-08-14	66
2015-08-15	51
2015-08-16	50
2015-08-17	52
2015-08-18	60
2015-08-19	57
2015-08-20	64
2015-08-21	58
2015-08-22	39
2015-08-23	55
2015-08-24	57
2015-08-25	52
2015-08-26	50
2015-08-27	58
2015-08-28	52
2015-08-29	49
2015-08-30	38
2015-08-31	54
2015-09-01	59
2015-09-02	51
2015-09-03	57
2015-09-04	56
2015-09-05	48
2015-09-06	64
2015-09-07	56
2015-09-08	46
2015-09-09	60
2015-09-10	48
2015-09-11	54
2015-09-12	39
2015-09-13	48
2015-09-14	37
2015-09-15	66
2015-09-16	79
2015-09-17	71
2015-09-18	53
2015-09-19	57
2015-09-20	45
2015-09-21	49
2015-09-22	60
2015-09-23	61
2015-09-24	55
2015-09-25	66
2015-09-26	47
2015-09-27	60
2015-09-28	68
2015-09-29	90
2015-09-30	83
2015-10-01	88
2015-10-02	77
2015-10-03	91
2015-10-04	57
2015-10-05	58
2015-10-06	65
2015-10-07	53
2015-10-08	59
2015-10-09	66
2015-10-10	72
2015-10-11	61
2015-10-12	69
2015-10-13	72
2015-10-14	66
2015-10-15	76
2015-10-16	78
2015-10-17	63
2015-10-18	66
2015-10-19	70
2015-10-20	68
2015-10-21	75
2015-10-22	63
2015-10-23	66
2015-10-24	74
2015-10-25	54
2015-10-26	60
2015-10-27	42
2015-10-28	69
2015-10-29	76
2015-10-30	57
2015-10-31	51
2015-11-01	81
2015-11-02	91
2015-11-03	59
