date	freq
2015-06-01	49
2015-06-02	41
2015-06-03	73
2015-06-04	52
2015-06-05	43
2015-06-06	54
2015-06-07	46
2015-06-08	60
2015-06-09	42
2015-06-10	57
2015-06-11	62
2015-06-12	50
2015-06-13	51
2015-06-14	49
2015-06-15	67
2015-06-16	60
2015-06-17	46
2015-06-18	46
2015-06-19	62
2015-06-20	49
2015-06-21	46
2015-06-22	49
2015-06-23	32
2015-06-24	66
2015-06-25	58
2015-06-26	54
2015-06-27	40
2015-06-28	54
2015-06-29	54
2015-06-30	63
2015-07-01	52
2015-07-02	36
2015-07-03	54
2015-07-04	43
2015-07-05	53
2015-07-06	58
2015-07-07	61
2015-07-08	48
2015-07-09	53
2015-07-10	61
2015-07-11	61
2015-07-12	45
2015-07-13	47
2015-07-14	45
2015-07-15	46
2015-07-16	32
2015-07-17	50
2015-07-18	52
2015-07-19	50
2015-07-20	58
2015-07-21	66
2015-07-22	59
2015-07-23	48
2015-07-24	46
2015-07-25	65
2015-07-26	55
2015-07-27	49
2015-07-28	55
2015-07-29	53
2015-07-30	47
2015-07-31	55
2015-08-01	34
2015-08-02	30
2015-08-03	52
2015-08-04	55
2015-08-05	51
2015-08-06	71
2015-08-07	50
2015-08-08	53
2015-08-09	47
2015-08-10	49
2015-08-11	58
2015-08-12	37
2015-08-13	34
2015-08-14	41
2015-08-15	41
2015-08-16	38
2015-08-17	41
2015-08-18	54
2015-08-19	46
2015-08-20	59
2015-08-21	45
2015-08-22	38
2015-08-23	40
2015-08-24	54
2015-08-25	62
2015-08-26	41
2015-08-27	44
2015-08-28	60
2015-08-29	50
2015-08-30	42
2015-08-31	32
2015-09-01	43
2015-09-02	56
2015-09-03	42
2015-09-04	52
2015-09-05	56
2015-09-06	60
2015-09-07	35
2015-09-08	46
2015-09-09	40
2015-09-10	35
2015-09-11	35
2015-09-12	36
2015-09-13	38
2015-09-14	47
2015-09-15	41
2015-09-16	33
2015-09-17	37
2015-09-18	38
2015-09-19	24
2015-09-20	23
2015-09-21	24
2015-09-22	28
2015-09-23	32
2015-09-24	26
2015-09-25	35
2015-09-26	31
2015-09-27	30
2015-09-28	24
2015-09-29	30
2015-09-30	35
2015-10-01	40
2015-10-02	26
2015-10-03	32
2015-10-04	31
2015-10-05	35
2015-10-06	23
2015-10-07	21
2015-10-08	37
2015-10-09	31
2015-10-10	23
2015-10-11	23
2015-10-12	29
2015-10-13	32
2015-10-14	35
2015-10-15	22
2015-10-16	27
2015-10-17	26
2015-10-18	25
2015-10-19	29
2015-10-20	42
2015-10-21	21
2015-10-22	49
2015-10-23	34
2015-10-24	29
2015-10-25	26
2015-10-26	30
2015-10-27	29
2015-10-28	35
2015-10-29	29
2015-10-30	30
2015-10-31	27
2015-11-01	35
2015-11-02	39
2015-11-03	33
2015-11-04	30
2015-11-05	42
2015-11-06	35
2015-11-07	21
2015-11-08	45
2015-11-09	45
2015-11-10	73
2015-11-11	70
2015-11-12	55
2015-11-13	73
2015-11-14	75
2015-11-15	97
2015-11-16	97
2015-11-17	66
2015-11-18	56
2015-11-19	37
2015-11-20	32
2015-11-21	36
2015-11-22	36
2015-11-23	48
2015-11-24	39
2015-11-25	37
2015-11-26	51
2015-11-27	45
2015-11-28	53
2015-11-29	41
2015-11-30	47
2015-12-01	52
2015-12-02	50
2015-12-03	39
2015-12-04	33
2015-12-05	45
2015-12-06	47
2015-12-07	44
2015-12-08	42
2015-12-09	43
2015-12-10	42
