date	freq
2015-06-01	1084
2015-06-02	1097
2015-06-03	1103
2015-06-04	1181
2015-06-05	1191
2015-06-06	1095
2015-06-07	1053
2015-06-08	1103
2015-06-09	1168
2015-06-10	1093
2015-06-11	1171
2015-06-12	1143
2015-06-13	985
2015-06-14	1187
2015-06-15	1113
2015-06-16	1052
2015-06-17	1098
2015-06-18	1096
2015-06-19	1132
2015-06-20	970
2015-06-21	1014
2015-06-22	1051
2015-06-23	1172
2015-06-24	1119
2015-06-25	1113
2015-06-26	1155
2015-06-27	1072
2015-06-28	978
2015-06-29	1162
2015-06-30	1015
2015-07-01	1080
2015-07-02	1049
2015-07-03	1064
2015-07-04	956
2015-07-05	1024
2015-07-06	1122
2015-07-07	1268
2015-07-08	1136
2015-07-09	1120
2015-07-10	1118
2015-07-11	985
2015-07-12	938
2015-07-13	1054
2015-07-14	1067
2015-07-15	1008
2015-07-16	1025
2015-07-17	982
2015-07-18	970
2015-07-19	895
2015-07-20	972
2015-07-21	1017
2015-07-22	1123
2015-07-23	1065
2015-07-24	1034
2015-07-25	940
2015-07-26	896
2015-07-27	971
2015-07-28	978
2015-07-29	1036
2015-07-30	964
2015-07-31	997
2015-08-01	883
2015-08-02	913
2015-08-03	1006
2015-08-04	981
2015-08-05	1019
2015-08-06	981
2015-08-07	900
2015-08-08	864
2015-08-09	894
2015-08-10	995
2015-08-11	859
2015-08-12	902
2015-08-13	901
2015-08-14	900
2015-08-15	799
2015-08-16	881
2015-08-17	911
2015-08-18	1000
2015-08-19	1004
2015-08-20	951
2015-08-21	927
2015-08-22	928
2015-08-23	889
2015-08-24	976
2015-08-25	983
2015-08-26	956
2015-08-27	1003
2015-08-28	995
2015-08-29	867
2015-08-30	949
2015-08-31	1083
2015-09-01	1097
2015-09-02	1168
2015-09-03	1069
2015-09-04	1021
2015-09-05	989
2015-09-06	986
2015-09-07	1060
2015-09-08	994
2015-09-09	1087
2015-09-10	985
2015-09-11	954
2015-09-12	856
2015-09-13	1020
2015-09-14	994
2015-09-15	1005
2015-09-16	1070
2015-09-17	1002
2015-09-18	1053
2015-09-19	1028
2015-09-20	993
2015-09-21	1026
2015-09-22	1085
2015-09-23	1027
2015-09-24	1055
2015-09-25	1060
2015-09-26	1019
2015-09-27	1040
2015-09-28	951
2015-09-29	1003
2015-09-30	1014
2015-10-01	1055
2015-10-02	999
2015-10-03	939
2015-10-04	965
2015-10-05	1036
2015-10-06	1070
2015-10-07	1030
2015-10-08	1007
2015-10-09	1005
2015-10-10	945
2015-10-11	831
2015-10-12	930
2015-10-13	1016
2015-10-14	962
2015-10-15	952
2015-10-16	983
2015-10-17	906
2015-10-18	976
2015-10-19	1097
2015-10-20	1044
2015-10-21	1116
2015-10-22	1176
2015-10-23	979
2015-10-24	930
2015-10-25	939
2015-10-26	1100
2015-10-27	1167
2015-10-28	1164
2015-10-29	1027
2015-10-30	1037
2015-10-31	880
2015-11-01	993
2015-11-02	997
2015-11-03	1001
2015-11-04	1032
2015-11-05	1017
2015-11-06	1038
2015-11-07	1050
2015-11-08	1136
2015-11-09	1160
2015-11-10	1120
2015-11-11	1177
2015-11-12	1124
2015-11-13	979
2015-11-14	987
2015-11-15	1058
2015-11-16	1058
2015-11-17	1167
2015-11-18	997
2015-11-19	1076
2015-11-20	1054
2015-11-21	953
2015-11-22	933
2015-11-23	982
2015-11-24	895
2015-11-25	981
2015-11-26	1011
2015-11-27	911
2015-11-28	939
2015-11-29	896
2015-11-30	957
2015-12-01	1004
2015-12-02	1019
2015-12-03	976
2015-12-04	986
2015-12-05	904
2015-12-06	900
2015-12-07	904
2015-12-08	931
2015-12-09	887
2015-12-10	986
2015-12-11	996
2015-12-12	897
2015-12-13	949
2015-12-14	955
2015-12-15	869
2015-12-16	871
2015-12-17	875
2015-12-18	877
2015-12-19	805
2015-12-20	822
2015-12-21	873
2015-12-22	889
2015-12-23	860
2015-12-24	893
2015-12-25	937
2015-12-26	783
2015-12-27	719
2015-12-28	799
2015-12-29	776
2015-12-30	748
2015-12-31	734
2016-01-01	672
2016-01-02	647
2016-01-03	775
2016-01-04	897
2016-01-05	888
2016-01-06	901
2016-01-07	1035
2016-01-08	1002
2016-01-09	974
2016-01-10	1041
2016-01-11	992
2016-01-12	946
2016-01-13	978
2016-01-14	1004
2016-01-15	1008
2016-01-16	922
2016-01-17	1003
2016-01-18	956
2016-01-19	1002
2016-01-20	1048
2016-01-21	998
2016-01-22	949
2016-01-23	877
2016-01-24	963
2016-01-25	1023
2016-01-26	1035
2016-01-27	1040
2016-01-28	1040
2016-01-29	1513
2016-01-30	966
2016-01-31	1005
2016-02-01	1006
2016-02-02	1017
2016-02-03	1047
2016-02-04	1113
2016-02-05	1095
2016-02-06	949
2016-02-07	1039
2016-02-08	1330
2016-02-09	1644
2016-02-10	1051
2016-02-11	1162
2016-02-12	1236
2016-02-13	994
2016-02-14	1280
2016-02-15	1565
2016-02-16	1603
2016-02-17	1335
2016-02-18	1289
2016-02-19	1129
2016-02-20	1031
2016-02-21	948
2016-02-22	941
2016-02-23	1124
2016-02-24	1089
2016-02-25	1027
2016-02-26	1036
2016-02-27	1011
2016-02-28	1067
2016-02-29	1036
2016-03-01	1173
2016-03-02	1125
2016-03-03	1065
2016-03-04	1078
2016-03-05	973
2016-03-06	1041
2016-03-07	979
2016-03-08	1014
2016-03-09	1091
2016-03-10	1045
2016-03-11	1027
2016-03-12	841
2016-03-13	928
2016-03-14	959
2016-03-15	922
2016-03-16	945
2016-03-17	995
2016-03-18	883
2016-03-19	938
2016-03-20	870
2016-03-21	862
2016-03-22	960
2016-03-23	1020
2016-03-24	1001
2016-03-25	842
2016-03-26	862
2016-03-27	1029
2016-03-28	979
2016-03-29	1030
2016-03-30	1147
2016-03-31	985
2016-04-01	1019
2016-04-02	1025
2016-04-03	1011
2016-04-04	1181
2016-04-05	1076
2016-04-06	1178
2016-04-07	1480
2016-04-08	1340
2016-04-09	1456
2016-04-10	1189
2016-04-11	1144
2016-04-12	1063
2016-04-13	1237
2016-04-14	1272
2016-04-15	1528
2016-04-16	992
2016-04-17	1166
2016-04-18	1096
2016-04-19	1304
2016-04-20	1125
2016-04-21	1289
2016-04-22	1209
2016-04-23	1173
2016-04-24	1211
2016-04-25	1276
2016-04-26	1235
2016-04-27	1168
2016-04-28	1018
2016-04-29	1065
2016-04-30	979
2016-05-01	1014
2016-05-02	1069
2016-05-03	945
2016-05-04	1027
2016-05-05	1056
2016-05-06	1040
2016-05-07	1143
2016-05-08	1104
2016-05-09	1091
2016-05-10	1219
2016-05-11	1237
2016-05-12	1336
2016-05-13	1188
2016-05-14	1049
2016-05-15	1028
2016-05-16	1275
2016-05-17	1226
2016-05-18	1093
2016-05-19	1118
2016-05-20	1116
2016-05-21	1226
2016-05-22	1260
2016-05-23	1427
2016-05-24	1254
2016-05-25	1360
2016-05-26	1340
2016-05-27	1406
2016-05-28	1029
2016-05-29	1190
2016-05-30	1302
2016-05-31	1340
