date	freq
2015-06-01	588
2015-06-02	537
2015-06-03	678
2015-06-04	731
2015-06-05	593
2015-06-06	586
2015-06-07	600
2015-06-08	585
2015-06-09	555
2015-06-10	689
2015-06-11	562
2015-06-12	560
2015-06-13	571
2015-06-14	598
2015-06-15	549
2015-06-16	613
2015-06-17	724
2015-06-18	954
2015-06-19	1128
2015-06-20	943
2015-06-21	1063
2015-06-22	1015
2015-06-23	1175
2015-06-24	1195
2015-06-25	1215
2015-06-26	1153
2015-06-27	1204
2015-06-28	992
2015-06-29	1072
2015-06-30	1329
2015-07-01	963
2015-07-02	1545
2015-07-03	1540
2015-07-04	1000
2015-07-05	887
2015-07-06	1455
2015-07-07	1336
2015-07-08	1288
2015-07-09	1173
2015-07-10	1076
2015-07-11	1066
2015-07-12	1020
2015-07-13	923
2015-07-14	1001
2015-07-15	1030
2015-07-16	963
2015-07-17	1049
2015-07-18	1069
2015-07-19	987
2015-07-20	1038
2015-07-21	1121
2015-07-22	993
2015-07-23	978
2015-07-24	1088
2015-07-25	1088
2015-07-26	927
2015-07-27	904
2015-07-28	1009
2015-07-29	954
2015-07-30	1167
2015-07-31	1160
2015-08-01	1119
2015-08-02	1151
2015-08-03	1128
2015-08-04	1128
2015-08-05	1103
2015-08-06	1083
2015-08-07	1041
2015-08-08	1014
2015-08-09	1104
2015-08-10	953
2015-08-11	749
2015-08-12	823
2015-08-13	801
2015-08-14	779
2015-08-15	468
2015-08-16	695
2015-08-17	1108
2015-08-18	1305
2015-08-19	1335
2015-08-20	1278
2015-08-21	1354
2015-08-22	1239
2015-08-23	1235
2015-08-24	1140
2015-08-25	1105
2015-08-26	1114
2015-08-27	1192
2015-08-28	1102
2015-08-29	1031
2015-08-30	987
2015-08-31	972
2015-09-01	922
2015-09-02	718
2015-09-03	582
2015-09-04	697
2015-09-05	713
2015-09-06	736
2015-09-07	615
2015-09-08	752
2015-09-09	626
2015-09-10	617
2015-09-11	716
2015-09-12	755
2015-09-13	779
2015-09-14	742
2015-09-15	556
2015-09-16	727
2015-09-17	1026
2015-09-18	1008
2015-09-19	828
2015-09-20	865
2015-09-21	840
2015-09-22	788
2015-09-23	779
2015-09-24	919
2015-09-25	881
2015-09-26	905
2015-09-27	798
2015-09-28	837
2015-09-29	800
2015-09-30	952
2015-10-01	917
2015-10-02	743
2015-10-03	857
2015-10-04	837
2015-10-05	854
2015-10-06	716
2015-10-07	738
2015-10-08	952
2015-10-09	829
2015-10-10	723
2015-10-11	734
2015-10-12	805
2015-10-13	768
2015-10-14	665
2015-10-15	635
2015-10-16	849
2015-10-17	861
2015-10-18	782
2015-10-19	715
2015-10-20	1085
2015-10-21	1004
2015-10-22	745
2015-10-23	458
2015-10-24	417
2015-10-25	525
2015-10-26	505
2015-10-27	623
2015-10-28	882
2015-10-29	938
2015-10-30	856
2015-10-31	784
2015-11-01	837
2015-11-02	701
2015-11-03	448
2015-11-04	425
2015-11-05	481
2015-11-06	596
2015-11-07	540
