date	freq
2015-06-01	730
2015-06-02	674
2015-06-03	648
2015-06-04	668
2015-06-05	815
2015-06-06	714
2015-06-07	683
2015-06-08	711
2015-06-09	802
2015-06-10	812
2015-06-11	797
2015-06-12	851
2015-06-13	717
2015-06-14	692
2015-06-15	753
2015-06-16	746
2015-06-17	807
2015-06-18	826
2015-06-19	823
2015-06-20	614
2015-06-21	687
2015-06-22	727
2015-06-23	779
2015-06-24	730
2015-06-25	746
2015-06-26	807
2015-06-27	747
2015-06-28	785
2015-06-29	773
2015-06-30	747
2015-07-01	834
2015-07-02	707
2015-07-03	688
2015-07-04	670
2015-07-05	763
2015-07-06	846
2015-07-07	833
2015-07-08	837
2015-07-09	731
2015-07-10	672
2015-07-11	708
2015-07-12	645
2015-07-13	733
2015-07-14	764
2015-07-15	693
2015-07-16	682
2015-07-17	788
2015-07-18	571
2015-07-19	621
2015-07-20	583
2015-07-21	700
2015-07-22	701
2015-07-23	825
2015-07-24	750
2015-07-25	648
2015-07-26	596
2015-07-27	781
2015-07-28	753
2015-07-29	622
2015-07-30	597
2015-07-31	576
2015-08-01	504
2015-08-02	594
2015-08-03	693
2015-08-04	763
2015-08-05	737
2015-08-06	681
2015-08-07	646
2015-08-08	619
2015-08-09	559
2015-08-10	801
2015-08-11	736
2015-08-12	655
2015-08-13	531
2015-08-14	689
2015-08-15	665
2015-08-16	594
2015-08-17	587
2015-08-18	678
2015-08-19	674
2015-08-20	675
2015-08-21	609
2015-08-22	555
2015-08-23	562
2015-08-24	677
2015-08-25	602
2015-08-26	654
2015-08-27	679
2015-08-28	677
2015-08-29	657
2015-08-30	649
2015-08-31	654
2015-09-01	719
2015-09-02	752
2015-09-03	668
2015-09-04	712
2015-09-05	624
2015-09-06	627
2015-09-07	763
2015-09-08	782
2015-09-09	770
2015-09-10	696
2015-09-11	681
2015-09-12	549
2015-09-13	658
2015-09-14	670
2015-09-15	675
2015-09-16	738
2015-09-17	806
2015-09-18	713
2015-09-19	691
2015-09-20	676
2015-09-21	618
2015-09-22	750
2015-09-23	714
2015-09-24	794
2015-09-25	758
2015-09-26	645
2015-09-27	592
2015-09-28	698
2015-09-29	612
2015-09-30	633
2015-10-01	736
2015-10-02	659
2015-10-03	611
2015-10-04	708
2015-10-05	687
2015-10-06	758
2015-10-07	755
2015-10-08	724
2015-10-09	730
2015-10-10	693
2015-10-11	673
2015-10-12	684
2015-10-13	791
2015-10-14	671
2015-10-15	657
2015-10-16	842
2015-10-17	607
2015-10-18	603
2015-10-19	821
2015-10-20	797
2015-10-21	845
2015-10-22	831
2015-10-23	760
2015-10-24	720
2015-10-25	630
2015-10-26	838
2015-10-27	774
2015-10-28	828
2015-10-29	805
2015-10-30	678
2015-10-31	649
2015-11-01	843
2015-11-02	742
2015-11-03	653
2015-11-04	806
2015-11-05	822
2015-11-06	700
2015-11-07	761
2015-11-08	629
2015-11-09	707
2015-11-10	797
2015-11-11	739
2015-11-12	705
2015-11-13	694
2015-11-14	652
2015-11-15	688
2015-11-16	717
2015-11-17	765
2015-11-18	750
2015-11-19	958
2015-11-20	784
2015-11-21	725
2015-11-22	817
2015-11-23	892
2015-11-24	709
2015-11-25	766
2015-11-26	762
2015-11-27	745
2015-11-28	743
2015-11-29	721
2015-11-30	710
2015-12-01	815
2015-12-02	749
2015-12-03	837
2015-12-04	745
2015-12-05	752
2015-12-06	644
2015-12-07	819
2015-12-08	769
2015-12-09	678
2015-12-10	801
2015-12-11	772
2015-12-12	768
2015-12-13	757
2015-12-14	685
2015-12-15	700
2015-12-16	694
2015-12-17	669
2015-12-18	657
2015-12-19	568
2015-12-20	561
2015-12-21	643
2015-12-22	696
2015-12-23	571
2015-12-24	583
2015-12-25	638
2015-12-26	587
2015-12-27	588
2015-12-28	647
2015-12-29	573
2015-12-30	720
