date	freq
2015-06-01	140
2015-06-02	136
2015-06-03	174
2015-06-04	147
2015-06-05	133
2015-06-06	132
2015-06-07	146
2015-06-08	162
2015-06-09	63
2015-06-10	158
2015-06-11	162
2015-06-12	133
2015-06-13	148
2015-06-14	116
2015-06-15	149
2015-06-16	144
2015-06-17	173
2015-06-18	162
2015-06-19	146
2015-06-20	123
2015-06-21	178
2015-06-22	162
2015-06-23	137
2015-06-24	156
2015-06-25	165
2015-06-26	117
2015-06-27	125
2015-06-28	154
2015-06-29	142
2015-06-30	137
2015-07-01	137
2015-07-02	128
2015-07-03	139
2015-07-04	141
2015-07-05	150
2015-07-06	165
2015-07-07	142
2015-07-08	145
2015-07-09	151
2015-07-10	152
2015-07-11	125
2015-07-12	158
2015-07-13	154
2015-07-14	170
2015-07-15	145
2015-07-16	158
2015-07-17	163
2015-07-18	172
2015-07-19	143
2015-07-20	147
2015-07-21	174
2015-07-22	172
2015-07-23	125
2015-07-24	199
2015-07-25	248
2015-07-26	136
2015-07-27	201
2015-07-28	170
2015-07-29	163
2015-07-30	161
2015-07-31	150
2015-08-01	157
2015-08-02	136
2015-08-03	311
2015-08-04	227
2015-08-05	166
2015-08-06	159
2015-08-07	164
2015-08-08	136
2015-08-09	129
2015-08-10	165
2015-08-11	131
2015-08-12	149
2015-08-13	142
2015-08-14	128
2015-08-15	142
2015-08-16	175
2015-08-17	131
2015-08-18	163
2015-08-19	147
2015-08-20	137
2015-08-21	159
2015-08-22	133
2015-08-23	122
2015-08-24	128
2015-08-25	135
2015-08-26	159
2015-08-27	142
2015-08-28	161
2015-08-29	133
2015-08-30	169
2015-08-31	187
2015-09-01	156
2015-09-02	159
2015-09-03	130
2015-09-04	145
2015-09-05	163
2015-09-06	158
2015-09-07	138
2015-09-08	141
2015-09-09	207
2015-09-10	140
2015-09-11	159
2015-09-12	150
2015-09-13	139
2015-09-14	145
2015-09-15	145
2015-09-16	151
2015-09-17	149
2015-09-18	141
2015-09-19	175
2015-09-20	126
2015-09-21	149
2015-09-22	170
2015-09-23	142
2015-09-24	158
2015-09-25	176
2015-09-26	141
2015-09-27	943
2015-09-28	489
2015-09-29	156
2015-09-30	120
2015-10-01	121
