date	freq
2015-06-01	388
2015-06-02	430
2015-06-03	432
2015-06-04	493
2015-06-05	435
2015-06-06	383
2015-06-07	388
2015-06-08	459
2015-06-09	459
2015-06-10	460
2015-06-11	386
2015-06-12	497
2015-06-13	393
2015-06-14	467
2015-06-15	392
2015-06-16	447
2015-06-17	440
2015-06-18	421
2015-06-19	458
2015-06-20	341
2015-06-21	399
2015-06-22	406
2015-06-23	466
2015-06-24	415
2015-06-25	403
2015-06-26	449
2015-06-27	406
2015-06-28	399
2015-06-29	479
2015-06-30	413
2015-07-01	356
2015-07-02	431
2015-07-03	378
2015-07-04	446
2015-07-05	423
2015-07-06	418
2015-07-07	366
2015-07-08	425
2015-07-09	417
2015-07-10	457
2015-07-11	388
2015-07-12	407
2015-07-13	394
2015-07-14	323
2015-07-15	386
2015-07-16	490
2015-07-17	423
2015-07-18	369
2015-07-19	359
2015-07-20	332
2015-07-21	438
2015-07-22	388
2015-07-23	459
2015-07-24	473
2015-07-25	395
2015-07-26	329
2015-07-27	541
2015-07-28	506
2015-07-29	378
2015-07-30	391
2015-07-31	352
2015-08-01	355
2015-08-02	339
2015-08-03	347
2015-08-04	534
2015-08-05	404
2015-08-06	395
2015-08-07	388
2015-08-08	335
2015-08-09	320
2015-08-10	458
2015-08-11	398
2015-08-12	470
2015-08-13	436
2015-08-14	323
2015-08-15	371
2015-08-16	404
2015-08-17	387
2015-08-18	407
2015-08-19	449
2015-08-20	385
2015-08-21	370
2015-08-22	368
2015-08-23	435
2015-08-24	375
2015-08-25	412
2015-08-26	437
2015-08-27	433
2015-08-28	436
2015-08-29	366
2015-08-30	342
2015-08-31	419
2015-09-01	483
2015-09-02	472
2015-09-03	433
2015-09-04	517
2015-09-05	473
2015-09-06	472
2015-09-07	429
2015-09-08	482
2015-09-09	434
2015-09-10	408
2015-09-11	382
2015-09-12	388
2015-09-13	456
2015-09-14	443
2015-09-15	479
2015-09-16	438
2015-09-17	482
2015-09-18	470
2015-09-19	422
2015-09-20	399
2015-09-21	418
2015-09-22	654
2015-09-23	761
2015-09-24	465
2015-09-25	534
2015-09-26	458
2015-09-27	517
2015-09-28	447
2015-09-29	541
2015-09-30	466
2015-10-01	828
2015-10-02	480
2015-10-03	566
2015-10-04	513
2015-10-05	674
2015-10-06	788
2015-10-07	713
2015-10-08	450
2015-10-09	603
2015-10-10	408
2015-10-11	530
2015-10-12	473
2015-10-13	576
2015-10-14	597
2015-10-15	483
2015-10-16	487
2015-10-17	394
2015-10-18	458
2015-10-19	500
2015-10-20	475
2015-10-21	509
2015-10-22	661
2015-10-23	461
2015-10-24	701
2015-10-25	510
2015-10-26	642
2015-10-27	479
2015-10-28	490
2015-10-29	491
2015-10-30	710
2015-10-31	525
2015-11-01	416
2015-11-02	576
2015-11-03	489
2015-11-04	523
2015-11-05	436
2015-11-06	504
2015-11-07	470
2015-11-08	577
2015-11-09	448
2015-11-10	478
2015-11-11	514
2015-11-12	476
2015-11-13	509
2015-11-14	468
2015-11-15	584
2015-11-16	535
2015-11-17	609
2015-11-18	598
2015-11-19	709
2015-11-20	442
2015-11-21	513
2015-11-22	545
2015-11-23	601
2015-11-24	662
2015-11-25	535
2015-11-26	639
2015-11-27	611
2015-11-28	461
2015-11-29	536
2015-11-30	562
2015-12-01	511
2015-12-02	647
2015-12-03	477
2015-12-04	463
2015-12-05	746
2015-12-06	412
2015-12-07	495
2015-12-08	564
2015-12-09	579
2015-12-10	444
2015-12-11	527
2015-12-12	603
2015-12-13	493
2015-12-14	402
2015-12-15	497
2015-12-16	492
