date	freq
2015-06-01	60
2015-06-02	43
2015-06-03	57
2015-06-04	60
2015-06-05	94
2015-06-06	55
2015-06-07	55
2015-06-08	65
2015-06-09	122
2015-06-10	60
2015-06-11	54
2015-06-12	76
2015-06-13	48
2015-06-14	54
2015-06-15	63
2015-06-16	55
2015-06-17	78
2015-06-18	370
2015-06-19	82
2015-06-20	62
2015-06-21	63
2015-06-22	78
2015-06-23	73
2015-06-24	88
2015-06-25	68
2015-06-26	69
2015-06-27	63
2015-06-28	50
2015-06-29	68
2015-06-30	58
2015-07-01	56
2015-07-02	54
2015-07-03	53
2015-07-04	55
2015-07-05	41
2015-07-06	66
2015-07-07	59
2015-07-08	53
2015-07-09	68
2015-07-10	62
2015-07-11	52
2015-07-12	53
2015-07-13	51
2015-07-14	54
2015-07-15	48
2015-07-16	37
2015-07-17	44
2015-07-18	42
2015-07-19	39
2015-07-20	54
2015-07-21	54
2015-07-22	57
2015-07-23	71
2015-07-24	84
2015-07-25	63
2015-07-26	48
2015-07-27	57
2015-07-28	59
2015-07-29	44
2015-07-30	52
2015-07-31	47
2015-08-01	41
2015-08-02	36
2015-08-03	37
2015-08-04	46
2015-08-05	59
2015-08-06	44
2015-08-07	48
2015-08-08	34
2015-08-09	42
2015-08-10	56
2015-08-11	50
2015-08-12	35
2015-08-13	49
2015-08-14	27
2015-08-15	37
2015-08-16	45
2015-08-17	36
2015-08-18	48
2015-08-19	42
2015-08-20	41
2015-08-21	39
2015-08-22	45
2015-08-23	25
2015-08-24	42
2015-08-25	45
2015-08-26	42
2015-08-27	40
2015-08-28	43
2015-08-29	47
2015-08-30	36
2015-08-31	53
2015-09-01	40
2015-09-02	61
2015-09-03	59
2015-09-04	46
2015-09-05	51
2015-09-06	49
2015-09-07	56
2015-09-08	42
2015-09-09	45
2015-09-10	51
2015-09-11	44
2015-09-12	52
2015-09-13	28
2015-09-14	54
2015-09-15	47
2015-09-16	63
2015-09-17	48
2015-09-18	55
2015-09-19	62
2015-09-20	48
2015-09-21	79
2015-09-22	48
2015-09-23	37
2015-09-24	42
2015-09-25	61
2015-09-26	73
2015-09-27	43
2015-09-28	96
2015-09-29	53
2015-09-30	55
2015-10-01	59
2015-10-02	47
2015-10-03	60
2015-10-04	64
2015-10-05	84
2015-10-06	52
2015-10-07	47
2015-10-08	51
2015-10-09	77
2015-10-10	40
2015-10-11	52
2015-10-12	61
2015-10-13	56
2015-10-14	58
2015-10-15	42
2015-10-16	63
2015-10-17	61
2015-10-18	50
2015-10-19	58
2015-10-20	46
2015-10-21	54
2015-10-22	55
2015-10-23	40
2015-10-24	68
2015-10-25	54
2015-10-26	69
2015-10-27	56
2015-10-28	56
2015-10-29	46
2015-10-30	45
2015-10-31	44
2015-11-01	42
2015-11-02	49
2015-11-03	55
2015-11-04	46
2015-11-05	59
2015-11-06	50
2015-11-07	42
2015-11-08	54
2015-11-09	46
2015-11-10	64
2015-11-11	60
2015-11-12	62
2015-11-13	52
2015-11-14	39
2015-11-15	38
2015-11-16	46
2015-11-17	53
2015-11-18	55
2015-11-19	57
2015-11-20	69
2015-11-21	38
2015-11-22	40
2015-11-23	39
2015-11-24	43
2015-11-25	48
2015-11-26	75
2015-11-27	44
2015-11-28	51
2015-11-29	34
2015-11-30	45
2015-12-01	42
2015-12-02	45
2015-12-03	49
2015-12-04	42
2015-12-05	37
2015-12-06	47
2015-12-07	36
2015-12-08	53
2015-12-09	46
2015-12-10	47
2015-12-11	45
2015-12-12	49
2015-12-13	26
2015-12-14	51
2015-12-15	45
2015-12-16	63
2015-12-17	64
2015-12-18	69
2015-12-19	41
2015-12-20	34
2015-12-21	56
2015-12-22	50
2015-12-23	38
2015-12-24	39
2015-12-25	37
2015-12-26	37
2015-12-27	57
2015-12-28	35
2015-12-29	41
2015-12-30	27
2015-12-31	25
2016-01-01	22
2016-01-02	30
2016-01-03	32
2016-01-04	38
2016-01-05	35
2016-01-06	46
2016-01-07	45
2016-01-08	46
2016-01-09	61
2016-01-10	39
2016-01-11	41
2016-01-12	51
2016-01-13	74
2016-01-14	42
2016-01-15	44
2016-01-16	46
2016-01-17	45
2016-01-18	43
2016-01-19	53
2016-01-20	53
2016-01-21	57
2016-01-22	61
2016-01-23	70
2016-01-24	65
2016-01-25	63
2016-01-26	79
2016-01-27	44
2016-01-28	96
2016-01-29	61
2016-01-30	62
2016-01-31	99
2016-02-01	70
2016-02-02	70
2016-02-03	62
2016-02-04	60
2016-02-05	44
2016-02-06	49
2016-02-07	54
2016-02-08	60
2016-02-09	75
2016-02-10	64
2016-02-11	54
2016-02-12	66
2016-02-13	56
2016-02-14	57
2016-02-15	56
2016-02-16	54
2016-02-17	51
2016-02-18	60
2016-02-19	55
2016-02-20	58
2016-02-21	61
2016-02-22	58
2016-02-23	52
2016-02-24	78
2016-02-25	73
2016-02-26	53
2016-02-27	51
2016-02-28	54
2016-02-29	57
2016-03-01	53
2016-03-02	48
2016-03-03	67
2016-03-04	40
2016-03-05	64
2016-03-06	37
2016-03-07	69
2016-03-08	61
2016-03-09	73
2016-03-10	86
2016-03-11	60
2016-03-12	61
2016-03-13	48
2016-03-14	54
2016-03-15	53
2016-03-16	60
2016-03-17	50
2016-03-18	57
2016-03-19	69
2016-03-20	50
2016-03-21	30
2016-03-22	57
2016-03-23	59
2016-03-24	45
2016-03-25	59
2016-03-26	40
2016-03-27	45
2016-03-28	81
2016-03-29	48
2016-03-30	63
2016-03-31	56
2016-04-01	43
2016-04-02	53
2016-04-03	43
2016-04-04	68
2016-04-05	30
2016-04-06	36
2016-04-07	38
2016-04-08	36
2016-04-09	38
2016-04-10	38
2016-04-11	52
2016-04-12	65
2016-04-13	56
2016-04-14	66
2016-04-15	48
2016-04-16	44
2016-04-17	46
2016-04-18	54
2016-04-19	69
2016-04-20	48
2016-04-21	47
2016-04-22	47
2016-04-23	47
2016-04-24	56
2016-04-25	43
2016-04-26	51
2016-04-27	57
2016-04-28	44
2016-04-29	38
2016-04-30	49
2016-05-01	58
2016-05-02	43
2016-05-03	39
2016-05-04	38
2016-05-05	54
2016-05-06	54
2016-05-07	53
2016-05-08	42
2016-05-09	69
2016-05-10	65
2016-05-11	53
2016-05-12	62
2016-05-13	55
2016-05-14	48
2016-05-15	49
2016-05-16	82
2016-05-17	56
2016-05-18	71
2016-05-19	72
2016-05-20	63
2016-05-21	59
2016-05-22	49
2016-05-23	46
2016-05-24	48
2016-05-25	44
2016-05-26	55
2016-05-27	60
2016-05-28	42
2016-05-29	37
2016-05-30	60
2016-05-31	60
