date	freq
2015-06-01	37
2015-06-02	39
2015-06-03	52
2015-06-04	46
2015-06-05	32
2015-06-06	38
2015-06-07	44
2015-06-08	22
2015-06-09	38
2015-06-10	7
2015-06-11	29
2015-06-12	31
2015-06-13	19
2015-06-14	15
2015-06-15	14
2015-06-16	16
2015-06-17	37
2015-06-18	31
2015-06-19	21
2015-06-20	16
2015-06-21	10
2015-06-22	17
2015-06-23	17
2015-06-24	22
2015-06-25	23
2015-06-26	12
2015-06-27	21
2015-06-28	26
2015-06-29	15
2015-06-30	8
2015-07-01	14
2015-07-02	17
2015-07-03	16
2015-07-04	11
2015-07-05	30
2015-07-06	13
2015-07-07	14
2015-07-08	14
2015-07-09	15
2015-07-10	24
2015-07-11	8
2015-07-12	23
2015-07-13	9
2015-07-14	27
2015-07-15	14
2015-07-16	14
2015-07-17	10
2015-07-18	12
2015-07-19	21
2015-07-20	12
2015-07-21	12
2015-07-22	14
2015-07-23	14
2015-07-24	22
2015-07-25	18
2015-07-26	13
2015-07-27	8
2015-07-28	10
2015-07-29	22
2015-07-30	16
2015-07-31	11
2015-08-01	14
2015-08-02	16
2015-08-03	13
2015-08-04	15
2015-08-05	15
2015-08-06	11
2015-08-07	9
2015-08-08	13
2015-08-09	16
2015-08-10	11
2015-08-11	16
2015-08-12	17
2015-08-13	17
2015-08-14	13
2015-08-15	15
2015-08-16	14
2015-08-17	6
2015-08-18	15
2015-08-19	8
2015-08-20	16
2015-08-21	13
2015-08-22	13
2015-08-23	8
2015-08-24	13
2015-08-25	12
2015-08-26	14
2015-08-27	7
2015-08-28	16
2015-08-29	18
2015-08-30	15
2015-08-31	20
2015-09-01	12
2015-09-02	18
2015-09-03	17
2015-09-04	17
2015-09-05	16
2015-09-06	14
2015-09-07	16
2015-09-08	11
2015-09-09	8
2015-09-10	13
2015-09-11	10
2015-09-12	20
2015-09-13	31
2015-09-14	9
2015-09-15	18
2015-09-16	14
2015-09-17	15
2015-09-18	17
2015-09-19	9
2015-09-20	12
2015-09-21	14
2015-09-22	21
2015-09-23	15
2015-09-24	28
2015-09-25	12
2015-09-26	21
2015-09-27	12
2015-09-28	17
2015-09-29	28
2015-09-30	14
2015-10-01	20
2015-10-02	19
2015-10-03	21
2015-10-04	17
2015-10-05	22
2015-10-06	27
2015-10-07	24
2015-10-08	23
2015-10-09	14
2015-10-10	21
2015-10-11	15
2015-10-12	22
2015-10-13	18
2015-10-14	18
2015-10-15	23
2015-10-16	13
2015-10-17	19
2015-10-18	14
2015-10-19	30
2015-10-20	27
2015-10-21	14
2015-10-22	21
2015-10-23	22
2015-10-24	10
2015-10-25	19
2015-10-26	7
2015-10-27	18
2015-10-28	27
2015-10-29	16
2015-10-30	13
2015-10-31	10
2015-11-01	16
2015-11-02	17
2015-11-03	17
2015-11-04	14
2015-11-05	11
2015-11-06	8
2015-11-07	14
2015-11-08	13
2015-11-09	8
2015-11-10	8
2015-11-11	13
2015-11-12	10
2015-11-13	13
2015-11-14	15
2015-11-15	15
2015-11-16	12
2015-11-17	11
2015-11-18	11
2015-11-19	15
2015-11-20	16
2015-11-21	5
2015-11-22	3
2015-11-23	54
2015-11-24	20
2015-11-25	18
2015-11-26	15
2015-11-27	9
2015-11-28	19
2015-11-29	19
2015-11-30	17
2015-12-01	15
2015-12-02	10
2015-12-03	11
2015-12-04	16
2015-12-05	17
2015-12-06	10
2015-12-07	20
2015-12-08	16
2015-12-09	17
2015-12-10	17
2015-12-11	9
2015-12-12	13
2015-12-13	5
2015-12-14	18
2015-12-15	10
2015-12-16	11
2015-12-17	8
2015-12-18	12
2015-12-19	14
2015-12-20	9
2015-12-21	10
2015-12-22	10
2015-12-23	13
2015-12-24	11
2015-12-25	8
2015-12-26	12
2015-12-27	8
2015-12-28	16
2015-12-29	18
2015-12-30	16
2015-12-31	10
2016-01-01	16
2016-01-02	19
2016-01-03	20
2016-01-04	11
2016-01-05	15
2016-01-06	11
2016-01-07	8
2016-01-08	11
2016-01-09	17
2016-01-10	16
2016-01-11	10
2016-01-12	19
2016-01-13	13
2016-01-14	17
2016-01-15	20
2016-01-16	14
2016-01-17	20
2016-01-18	10
2016-01-19	12
2016-01-20	10
2016-01-21	10
2016-01-22	16
2016-01-23	16
2016-01-24	18
2016-01-25	18
2016-01-26	16
2016-01-27	15
2016-01-28	9
2016-01-29	14
2016-01-30	11
2016-01-31	19
2016-02-01	15
2016-02-02	14
2016-02-03	14
2016-02-04	10
2016-02-05	13
2016-02-06	17
2016-02-07	16
2016-02-08	8
2016-02-09	8
2016-02-10	15
2016-02-11	16
2016-02-12	17
2016-02-13	10
2016-02-14	11
2016-02-15	20
2016-02-16	13
2016-02-17	12
2016-02-18	13
2016-02-19	33
2016-02-20	15
2016-02-21	13
2016-02-22	9
2016-02-23	10
2016-02-24	13
2016-02-25	13
2016-02-26	15
2016-02-27	10
2016-02-28	18
2016-02-29	18
2016-03-01	9
2016-03-02	13
2016-03-03	15
2016-03-04	12
2016-03-05	16
2016-03-06	15
2016-03-07	12
2016-03-08	9
2016-03-09	15
2016-03-10	11
2016-03-11	14
2016-03-12	10
2016-03-13	6
2016-03-14	11
2016-03-15	6
2016-03-16	9
2016-03-17	9
2016-03-18	13
2016-03-19	8
2016-03-20	10
2016-03-21	13
2016-03-22	17
2016-03-23	9
2016-03-24	10
2016-03-25	14
2016-03-26	14
2016-03-27	19
2016-03-28	13
2016-03-29	14
2016-03-30	14
2016-03-31	5
2016-04-01	14
2016-04-02	10
2016-04-03	18
2016-04-04	21
2016-04-05	14
2016-04-06	5
2016-04-07	17
2016-04-08	17
2016-04-09	15
2016-04-10	14
2016-04-11	16
2016-04-12	26
2016-04-13	14
2016-04-14	15
2016-04-15	12
2016-04-16	11
2016-04-17	10
2016-04-18	11
2016-04-19	18
2016-04-20	29
2016-04-21	18
2016-04-22	6
2016-04-23	14
2016-04-24	15
2016-04-25	20
2016-04-26	16
2016-04-27	14
2016-04-28	9
2016-04-29	8
2016-04-30	9
2016-05-01	16
2016-05-02	18
2016-05-03	12
2016-05-04	14
2016-05-05	26
2016-05-06	12
2016-05-07	9
2016-05-08	18
2016-05-09	12
2016-05-10	11
2016-05-11	13
2016-05-12	14
2016-05-13	10
2016-05-14	12
2016-05-15	13
2016-05-16	11
2016-05-17	21
2016-05-18	12
2016-05-19	11
2016-05-20	13
2016-05-21	18
2016-05-22	12
2016-05-23	14
2016-05-24	15
2016-05-25	17
2016-05-26	10
2016-05-27	15
2016-05-28	8
2016-05-29	10
2016-05-30	9
2016-05-31	17
