date	freq
2015-06-01	2160
2015-06-02	2096
2015-06-03	2285
2015-06-04	2264
2015-06-05	2128
2015-06-06	2215
2015-06-07	2336
2015-06-08	2332
2015-06-09	2241
2015-06-10	2222
2015-06-11	2141
2015-06-12	2103
2015-06-13	2001
2015-06-14	2145
2015-06-15	2132
2015-06-16	2162
2015-06-17	2188
2015-06-18	2290
2015-06-19	2306
2015-06-20	2287
2015-06-21	2430
2015-06-22	2390
2015-06-23	2160
2015-06-24	2185
2015-06-25	2152
2015-06-26	2313
2015-06-27	2121
2015-06-28	2191
2015-06-29	2137
2015-06-30	2142
2015-07-01	2236
2015-07-02	2083
2015-07-03	2112
2015-07-04	2122
2015-07-05	2305
2015-07-06	2126
2015-07-07	2211
2015-07-08	2195
2015-07-09	2091
2015-07-10	2007
2015-07-11	2006
2015-07-12	1955
2015-07-13	1995
2015-07-14	1830
2015-07-15	1835
2015-07-16	2117
2015-07-17	1927
2015-07-18	1845
2015-07-19	1845
2015-07-20	1918
2015-07-21	1963
2015-07-22	1903
2015-07-23	1948
2015-07-24	1878
2015-07-25	1805
2015-07-26	1791
2015-07-27	1809
2015-07-28	1869
2015-07-29	1944
2015-07-30	1990
2015-07-31	1901
2015-08-01	1876
2015-08-02	1789
2015-08-03	1803
2015-08-04	1755
2015-08-05	1883
2015-08-06	1830
2015-08-07	1965
2015-08-08	1749
2015-08-09	1772
2015-08-10	1926
2015-08-11	1776
2015-08-12	1845
2015-08-13	1777
2015-08-14	1721
2015-08-15	1699
2015-08-16	1808
2015-08-17	1893
2015-08-18	1944
2015-08-19	1948
2015-08-20	2106
2015-08-21	1980
2015-08-22	1872
2015-08-23	1986
2015-08-24	2022
2015-08-25	2029
2015-08-26	2166
2015-08-27	2133
2015-08-28	2051
2015-08-29	2025
2015-08-30	2035
2015-08-31	2189
2015-09-01	2185
2015-09-02	2189
2015-09-03	2182
2015-09-04	2016
2015-09-05	2031
2015-09-06	2175
2015-09-07	2280
2015-09-08	2179
2015-09-09	2261
2015-09-10	2171
2015-09-11	2122
2015-09-12	2067
2015-09-13	2165
2015-09-14	2189
2015-09-15	2318
2015-09-16	2332
2015-09-17	2370
2015-09-18	2255
2015-09-19	2127
2015-09-20	2243
2015-09-21	2134
2015-09-22	2276
2015-09-23	2639
2015-09-24	2591
2015-09-25	2352
2015-09-26	2282
2015-09-27	2387
2015-09-28	2268
2015-09-29	2317
2015-09-30	2263
2015-10-01	2466
2015-10-02	2291
2015-10-03	2281
2015-10-04	2321
2015-10-05	2434
2015-10-06	2373
2015-10-07	2340
2015-10-08	2445
2015-10-09	2443
2015-10-10	2317
2015-10-11	2264
2015-10-12	2440
2015-10-13	2441
2015-10-14	2337
2015-10-15	2463
2015-10-16	2533
2015-10-17	2404
2015-10-18	2436
2015-10-19	2517
2015-10-20	2455
2015-10-21	2466
2015-10-22	2458
2015-10-23	2454
2015-10-24	2479
2015-10-25	2528
2015-10-26	2668
2015-10-27	2496
2015-10-28	2601
2015-10-29	2743
2015-10-30	3127
2015-10-31	4100
2015-11-01	3063
2015-11-02	2724
2015-11-03	2393
2015-11-04	2347
2015-11-05	2207
2015-11-06	2275
2015-11-07	2192
2015-11-08	2458
2015-11-09	2452
2015-11-10	2389
2015-11-11	2305
2015-11-12	2295
2015-11-13	2263
2015-11-14	2300
2015-11-15	2305
2015-11-16	2268
2015-11-17	2334
2015-11-18	2383
2015-11-19	2317
2015-11-20	2250
2015-11-21	2190
2015-11-22	2258
2015-11-23	2547
2015-11-24	2331
2015-11-25	2290
2015-11-26	2256
2015-11-27	2242
2015-11-28	2197
2015-11-29	2399
2015-11-30	2384
2015-12-01	2490
2015-12-02	2565
2015-12-03	2518
2015-12-04	2397
2015-12-05	2381
2015-12-06	2458
2015-12-07	2624
2015-12-08	2538
2015-12-09	2465
2015-12-10	2531
2015-12-11	2586
2015-12-12	2443
2015-12-13	2568
2015-12-14	2648
2015-12-15	2766
2015-12-16	2622
2015-12-17	2765
2015-12-18	2640
2015-12-19	2599
2015-12-20	2727
2015-12-21	2822
2015-12-22	2716
2015-12-23	3257
2015-12-24	4042
2015-12-25	4221
2015-12-26	2868
2015-12-27	2362
2015-12-28	2257
2015-12-29	2108
2015-12-30	1982
2015-12-31	2187
2016-01-01	1409
2016-01-02	1524
2016-01-03	1629
2016-01-04	1721
2016-01-05	1816
2016-01-06	1970
2016-01-07	1958
2016-01-08	1939
2016-01-09	2036
2016-01-10	1934
2016-01-11	1939
2016-01-12	1932
2016-01-13	2011
2016-01-14	2035
2016-01-15	2004
2016-01-16	1965
2016-01-17	2146
2016-01-18	2046
2016-01-19	2005
2016-01-20	2128
2016-01-21	2124
2016-01-22	2129
2016-01-23	2105
2016-01-24	2258
2016-01-25	2187
2016-01-26	2057
2016-01-27	2046
2016-01-28	2037
2016-01-29	2152
2016-01-30	2082
2016-01-31	2326
2016-02-01	2298
2016-02-02	2234
2016-02-03	2149
2016-02-04	2140
2016-02-05	2189
2016-02-06	2286
2016-02-07	2426
2016-02-08	2372
2016-02-09	2421
2016-02-10	2479
2016-02-11	3221
2016-02-12	3427
2016-02-13	4138
2016-02-14	7070
2016-02-15	5035
2016-02-16	3400
2016-02-17	2716
2016-02-18	2505
2016-02-19	2302
2016-02-20	2493
2016-02-21	2408
2016-02-22	2381
2016-02-23	2375
2016-02-24	2188
2016-02-25	2211
2016-02-26	2082
2016-02-27	2105
2016-02-28	2197
2016-02-29	2385
2016-03-01	2126
2016-03-02	2075
2016-03-03	2249
2016-03-04	2029
2016-03-05	1979
2016-03-06	2062
2016-03-07	2175
2016-03-08	2180
2016-03-09	2168
2016-03-10	2202
2016-03-11	2052
2016-03-12	2414
2016-03-13	3022
2016-03-14	4581
2016-03-15	3138
2016-03-16	2543
2016-03-17	2264
2016-03-18	2191
2016-03-19	2037
2016-03-20	1913
2016-03-21	1988
2016-03-22	1915
2016-03-23	1867
2016-03-24	1914
2016-03-25	1959
2016-03-26	1802
2016-03-27	1986
2016-03-28	2076
2016-03-29	1957
2016-03-30	2005
2016-03-31	2117
2016-04-01	2156
2016-04-02	1862
2016-04-03	2095
2016-04-04	2092
2016-04-05	1995
2016-04-06	1897
2016-04-07	2014
2016-04-08	1890
2016-04-09	1999
2016-04-10	1955
2016-04-11	1991
2016-04-12	1978
2016-04-13	1927
2016-04-14	2007
2016-04-15	1745
2016-04-16	1636
2016-04-17	1812
2016-04-18	1900
2016-04-19	1902
2016-04-20	1986
2016-04-21	2033
2016-04-22	1999
2016-04-23	2009
2016-04-24	1967
2016-04-25	2046
2016-04-26	2060
2016-04-27	1985
2016-04-28	2057
2016-04-29	1976
2016-04-30	1972
2016-05-01	1973
2016-05-02	1980
2016-05-03	1871
2016-05-04	1978
2016-05-05	2204
2016-05-06	2063
2016-05-07	2083
2016-05-08	2406
2016-05-09	2398
2016-05-10	2190
2016-05-11	1990
2016-05-12	2116
2016-05-13	2018
2016-05-14	1976
2016-05-15	2039
2016-05-16	2195
2016-05-17	2102
2016-05-18	2109
2016-05-19	2221
2016-05-20	2155
2016-05-21	1964
2016-05-22	2045
2016-05-23	2070
2016-05-24	2020
2016-05-25	2087
2016-05-26	2062
2016-05-27	1955
2016-05-28	1824
2016-05-29	1872
2016-05-30	2134
2016-05-31	2028
