date	freq
2015-06-01	1681
2015-06-02	1617
2015-06-03	2167
2015-06-04	1755
2015-06-05	2308
2015-06-06	1920
2015-06-07	1923
2015-06-08	1871
2015-06-09	920
2015-06-10	875
2015-06-11	1696
2015-06-12	1543
2015-06-13	1978
2015-06-14	1884
2015-06-15	1720
2015-06-16	1694
2015-06-17	1617
2015-06-18	1832
2015-06-19	1743
2015-06-20	1849
2015-06-21	1947
2015-06-22	1643
2015-06-23	1621
2015-06-24	1535
2015-06-25	1626
2015-06-26	1743
2015-06-27	2012
2015-06-28	1885
2015-06-29	1950
2015-06-30	1669
2015-07-01	1590
2015-07-02	1599
2015-07-03	1512
2015-07-04	1969
2015-07-05	1867
2015-07-06	1532
2015-07-07	1449
2015-07-08	1563
2015-07-09	1851
2015-07-10	2030
2015-07-11	1747
2015-07-12	1717
2015-07-13	1624
2015-07-14	1489
2015-07-15	1601
2015-07-16	1641
2015-07-17	1571
2015-07-18	1764
2015-07-19	1678
2015-07-20	1648
2015-07-21	1611
2015-07-22	1540
2015-07-23	1670
2015-07-24	1588
2015-07-25	1625
2015-07-26	1652
2015-07-27	2140
2015-07-28	1958
2015-07-29	1633
2015-07-30	2153
2015-07-31	2811
2015-08-01	2172
2015-08-02	1885
2015-08-03	1764
2015-08-04	2075
2015-08-05	1750
2015-08-06	1653
2015-08-07	1700
2015-08-08	1693
2015-08-09	1910
2015-08-10	1785
2015-08-11	1540
2015-08-12	1509
2015-08-13	1690
2015-08-14	1515
2015-08-15	1949
2015-08-16	1870
2015-08-17	1731
2015-08-18	1699
2015-08-19	1563
2015-08-20	1760
2015-08-21	1752
2015-08-22	1744
2015-08-23	2260
2015-08-24	2369
2015-08-25	1877
2015-08-26	1690
2015-08-27	2089
2015-08-28	2592
2015-08-29	2127
2015-08-30	1906
2015-08-31	1762
2015-09-01	2058
2015-09-02	2035
2015-09-03	2426
2015-09-04	2083
2015-09-05	2172
2015-09-06	2270
2015-09-07	2141
2015-09-08	1776
2015-09-09	2058
2015-09-10	2015
