date	freq
2015-06-01	8
2015-06-02	2
2015-06-03	6
2015-06-04	1
2015-06-05	4
2015-06-06	5
2015-06-07	3
2015-06-08	7
2015-06-09	7
2015-06-10	2
2015-06-11	1
2015-06-12	5
2015-06-13	6
2015-06-14	4
2015-06-15	7
2015-06-16	3
2015-06-17	3
2015-06-18	5
2015-06-19	7
2015-06-20	11
2015-06-21	4
2015-06-22	10
2015-06-23	6
2015-06-24	5
2015-06-25	3
2015-06-26	4
2015-06-27	13
2015-06-28	6
2015-06-29	4
2015-06-30	6
2015-07-01	7
2015-07-02	5
2015-07-03	2
2015-07-04	4
2015-07-05	5
2015-07-06	12
2015-07-07	4
2015-07-08	9
2015-07-09	10
2015-07-10	8
2015-07-11	4
2015-07-12	5
2015-07-13	6
2015-07-14	6
2015-07-15	6
2015-07-16	3
2015-07-17	5
2015-07-18	3
2015-07-19	10
2015-07-20	6
2015-07-21	5
2015-07-22	9
2015-07-23	6
2015-07-24	4
2015-07-25	10
2015-07-26	8
2015-07-27	4
2015-07-28	5
2015-07-29	8
2015-07-30	7
2015-07-31	5
2015-08-01	3
2015-08-02	5
2015-08-03	6
2015-08-04	5
2015-08-05	9
2015-08-06	1
2015-08-07	3
2015-08-08	2
2015-08-09	5
2015-08-10	6
2015-08-11	6
2015-08-12	4
2015-08-13	12
2015-08-14	5
2015-08-15	3
2015-08-16	7
2015-08-17	0
2015-08-18	3
2015-08-19	3
2015-08-20	4
2015-08-21	5
2015-08-22	7
2015-08-23	5
2015-08-24	5
2015-08-25	7
2015-08-26	9
2015-08-27	6
2015-08-28	4
2015-08-29	6
2015-08-30	3
2015-08-31	5
2015-09-01	9
2015-09-02	5
2015-09-03	5
2015-09-04	5
2015-09-05	6
2015-09-06	5
2015-09-07	11
2015-09-08	5
2015-09-09	2
2015-09-10	5
2015-09-11	4
2015-09-12	0
2015-09-13	2
2015-09-14	5
2015-09-15	3
2015-09-16	3
2015-09-17	4
2015-09-18	6
2015-09-19	2
2015-09-20	2
2015-09-21	1
2015-09-22	2
2015-09-23	0
2015-09-24	7
2015-09-25	2
2015-09-26	2
2015-09-27	4
2015-09-28	4
2015-09-29	7
2015-09-30	5
2015-10-01	3
2015-10-02	2
2015-10-03	4
2015-10-04	4
2015-10-05	3
2015-10-06	5
2015-10-07	2
2015-10-08	5
2015-10-09	3
2015-10-10	5
2015-10-11	6
2015-10-12	2
2015-10-13	3
2015-10-14	5
2015-10-15	5
2015-10-16	14
2015-10-17	3
2015-10-18	2
2015-10-19	1
2015-10-20	2
2015-10-21	1
2015-10-22	4
2015-10-23	4
2015-10-24	6
2015-10-25	6
2015-10-26	7
2015-10-27	0
2015-10-28	1
2015-10-29	4
2015-10-30	8
2015-10-31	3
2015-11-01	1
2015-11-02	2
2015-11-03	1
2015-11-04	5
2015-11-05	5
2015-11-06	0
2015-11-07	8
2015-11-08	7
2015-11-09	9
2015-11-10	9
2015-11-11	5
2015-11-12	10
2015-11-13	6
2015-11-14	13
2015-11-15	8
2015-11-16	5
2015-11-17	7
2015-11-18	9
2015-11-19	9
2015-11-20	10
2015-11-21	3
2015-11-22	6
2015-11-23	9
2015-11-24	4
2015-11-25	8
2015-11-26	1
2015-11-27	7
2015-11-28	3
2015-11-29	3
2015-11-30	7
2015-12-01	3
2015-12-02	3
2015-12-03	4
2015-12-04	9
2015-12-05	6
2015-12-06	7
2015-12-07	4
2015-12-08	9
2015-12-09	6
2015-12-10	1
2015-12-11	3
2015-12-12	3
2015-12-13	21
2015-12-14	6
2015-12-15	7
2015-12-16	5
2015-12-17	8
2015-12-18	5
2015-12-19	7
2015-12-20	3
2015-12-21	11
2015-12-22	8
2015-12-23	3
2015-12-24	12
2015-12-25	17
2015-12-26	6
2015-12-27	9
2015-12-28	3
2015-12-29	8
2015-12-30	9
2015-12-31	8
2016-01-01	1
2016-01-02	3
2016-01-03	5
2016-01-04	3
2016-01-05	4
2016-01-06	2
2016-01-07	5
2016-01-08	6
2016-01-09	7
2016-01-10	3
2016-01-11	5
2016-01-12	4
2016-01-13	2
2016-01-14	4
2016-01-15	2
2016-01-16	7
2016-01-17	6
2016-01-18	5
2016-01-19	5
2016-01-20	5
2016-01-21	5
2016-01-22	9
2016-01-23	5
2016-01-24	4
2016-01-25	7
2016-01-26	9
2016-01-27	4
2016-01-28	6
2016-01-29	4
2016-01-30	9
2016-01-31	6
2016-02-01	5
2016-02-02	9
2016-02-03	5
2016-02-04	9
2016-02-05	9
2016-02-06	9
2016-02-07	5
2016-02-08	5
2016-02-09	9
2016-02-10	4
2016-02-11	4
2016-02-12	7
2016-02-13	7
2016-02-14	7
2016-02-15	3
2016-02-16	4
2016-02-17	6
2016-02-18	7
2016-02-19	6
2016-02-20	5
2016-02-21	5
2016-02-22	1
2016-02-23	17
2016-02-24	5
2016-02-25	10
2016-02-26	3
2016-02-27	5
2016-02-28	10
2016-02-29	7
2016-03-01	7
2016-03-02	13
2016-03-03	14
2016-03-04	5
2016-03-05	5
2016-03-06	9
2016-03-07	2
2016-03-08	4
2016-03-09	1
2016-03-10	3
2016-03-11	6
2016-03-12	3
2016-03-13	7
2016-03-14	5
2016-03-15	6
2016-03-16	6
2016-03-17	9
2016-03-18	7
2016-03-19	9
2016-03-20	3
2016-03-21	7
2016-03-22	4
2016-03-23	2
2016-03-24	8
2016-03-25	7
2016-03-26	3
2016-03-27	4
2016-03-28	2
