date	freq
2015-06-01	161
2015-06-02	129
2015-06-03	125
2015-06-04	148
2015-06-05	155
2015-06-06	138
2015-06-07	143
2015-06-08	174
2015-06-09	63
2015-06-10	187
2015-06-11	131
2015-06-12	156
2015-06-13	135
2015-06-14	169
2015-06-15	151
2015-06-16	139
2015-06-17	154
2015-06-18	282
2015-06-19	181
2015-06-20	157
2015-06-21	143
2015-06-22	158
2015-06-23	164
2015-06-24	176
2015-06-25	295
2015-06-26	164
2015-06-27	175
2015-06-28	176
2015-06-29	156
2015-06-30	163
2015-07-01	171
2015-07-02	141
2015-07-03	150
2015-07-04	194
2015-07-05	193
2015-07-06	184
2015-07-07	219
2015-07-08	143
2015-07-09	145
2015-07-10	172
2015-07-11	152
2015-07-12	143
2015-07-13	135
2015-07-14	126
2015-07-15	354
2015-07-16	127
2015-07-17	165
2015-07-18	136
2015-07-19	168
2015-07-20	144
2015-07-21	190
2015-07-22	141
2015-07-23	157
2015-07-24	150
2015-07-25	136
2015-07-26	191
2015-07-27	163
2015-07-28	143
2015-07-29	143
2015-07-30	145
2015-07-31	198
2015-08-01	207
2015-08-02	149
2015-08-03	188
2015-08-04	140
2015-08-05	133
2015-08-06	147
2015-08-07	407
2015-08-08	383
2015-08-09	267
2015-08-10	158
2015-08-11	157
2015-08-12	176
2015-08-13	176
2015-08-14	160
2015-08-15	198
2015-08-16	172
2015-08-17	143
2015-08-18	154
2015-08-19	138
2015-08-20	171
2015-08-21	158
2015-08-22	191
2015-08-23	245
2015-08-24	155
2015-08-25	140
2015-08-26	141
2015-08-27	211
2015-08-28	187
2015-08-29	178
2015-08-30	187
2015-08-31	211
2015-09-01	178
2015-09-02	247
2015-09-03	202
2015-09-04	135
2015-09-05	148
2015-09-06	362
2015-09-07	147
2015-09-08	163
2015-09-09	164
2015-09-10	124
2015-09-11	157
2015-09-12	146
2015-09-13	140
2015-09-14	155
2015-09-15	143
2015-09-16	160
2015-09-17	117
2015-09-18	121
2015-09-19	143
2015-09-20	158
2015-09-21	173
2015-09-22	187
2015-09-23	197
2015-09-24	134
2015-09-25	270
2015-09-26	283
2015-09-27	180
2015-09-28	138
2015-09-29	148
2015-09-30	141
2015-10-01	145
2015-10-02	132
2015-10-03	161
2015-10-04	171
2015-10-05	165
2015-10-06	162
2015-10-07	175
2015-10-08	177
2015-10-09	182
2015-10-10	308
2015-10-11	425
2015-10-12	248
2015-10-13	189
2015-10-14	181
2015-10-15	205
2015-10-16	192
2015-10-17	169
2015-10-18	191
2015-10-19	151
2015-10-20	184
2015-10-21	222
2015-10-22	170
2015-10-23	220
2015-10-24	181
2015-10-25	259
2015-10-26	170
2015-10-27	215
2015-10-28	373
2015-10-29	206
2015-10-30	187
2015-10-31	210
2015-11-01	248
2015-11-02	210
2015-11-03	160
2015-11-04	172
2015-11-05	184
2015-11-06	161
2015-11-07	153
2015-11-08	268
2015-11-09	212
2015-11-10	165
2015-11-11	188
2015-11-12	165
2015-11-13	194
2015-11-14	173
2015-11-15	175
2015-11-16	182
2015-11-17	192
2015-11-18	145
2015-11-19	146
2015-11-20	136
2015-11-21	167
2015-11-22	197
2015-11-23	202
2015-11-24	136
2015-11-25	170
2015-11-26	181
2015-11-27	151
2015-11-28	183
2015-11-29	169
2015-11-30	175
2015-12-01	155
2015-12-02	150
2015-12-03	125
2015-12-04	132
2015-12-05	259
2015-12-06	258
2015-12-07	194
2015-12-08	322
2015-12-09	158
2015-12-10	147
2015-12-11	218
2015-12-12	171
2015-12-13	197
2015-12-14	282
2015-12-15	283
2015-12-16	174
2015-12-17	197
2015-12-18	168
2015-12-19	186
2015-12-20	203
2015-12-21	274
2015-12-22	212
2015-12-23	258
2015-12-24	455
2015-12-25	355
2015-12-26	238
2015-12-27	231
2015-12-28	187
2015-12-29	165
2015-12-30	211
2015-12-31	341
2016-01-01	757
2016-01-02	198
2016-01-03	142
2016-01-04	142
2016-01-05	169
2016-01-06	162
2016-01-07	182
2016-01-08	205
2016-01-09	177
2016-01-10	217
2016-01-11	171
2016-01-12	159
2016-01-13	132
2016-01-14	230
2016-01-15	175
2016-01-16	150
2016-01-17	188
2016-01-18	181
2016-01-19	134
2016-01-20	143
2016-01-21	134
2016-01-22	132
2016-01-23	159
2016-01-24	162
2016-01-25	175
2016-01-26	178
2016-01-27	133
2016-01-28	339
2016-01-29	166
2016-01-30	141
2016-01-31	156
2016-02-01	282
2016-02-02	157
2016-02-03	136
2016-02-04	159
2016-02-05	134
2016-02-06	156
2016-02-07	150
2016-02-08	157
2016-02-09	133
2016-02-10	166
2016-02-11	170
2016-02-12	643
2016-02-13	252
2016-02-14	216
2016-02-15	159
2016-02-16	126
2016-02-17	142
2016-02-18	155
2016-02-19	174
2016-02-20	242
2016-02-21	362
2016-02-22	203
2016-02-23	157
2016-02-24	181
2016-02-25	594
2016-02-26	383
2016-02-27	261
2016-02-28	366
2016-02-29	210
2016-03-01	204
2016-03-02	190
2016-03-03	175
2016-03-04	162
2016-03-05	234
2016-03-06	278
2016-03-07	256
2016-03-08	204
2016-03-09	220
2016-03-10	186
2016-03-11	194
2016-03-12	268
2016-03-13	297
2016-03-14	359
2016-03-15	307
2016-03-16	164
2016-03-17	180
2016-03-18	162
2016-03-19	223
2016-03-20	224
2016-03-21	1598
2016-03-22	459
2016-03-23	192
2016-03-24	212
2016-03-25	226
2016-03-26	182
2016-03-27	213
2016-03-28	175
2016-03-29	192
2016-03-30	181
2016-03-31	224
2016-04-01	209
2016-04-02	182
2016-04-03	170
2016-04-04	196
2016-04-05	205
2016-04-06	183
2016-04-07	188
2016-04-08	187
2016-04-09	180
2016-04-10	187
2016-04-11	159
2016-04-12	154
2016-04-13	147
2016-04-14	149
2016-04-15	135
2016-04-16	216
2016-04-17	252
