date	freq
2015-06-01	618
2015-06-02	525
2015-06-03	509
2015-06-04	498
2015-06-05	525
2015-06-06	518
2015-06-07	540
2015-06-08	519
2015-06-09	546
2015-06-10	523
2015-06-11	560
2015-06-12	531
2015-06-13	547
2015-06-14	535
2015-06-15	560
2015-06-16	473
2015-06-17	571
2015-06-18	528
2015-06-19	532
2015-06-20	553
2015-06-21	846
2015-06-22	578
2015-06-23	559
2015-06-24	529
2015-06-25	504
2015-06-26	572
2015-06-27	551
2015-06-28	537
2015-06-29	547
2015-06-30	500
2015-07-01	522
2015-07-02	522
2015-07-03	459
2015-07-04	526
2015-07-05	564
2015-07-06	568
2015-07-07	490
2015-07-08	518
2015-07-09	489
2015-07-10	540
2015-07-11	488
2015-07-12	514
2015-07-13	487
2015-07-14	509
2015-07-15	437
2015-07-16	468
2015-07-17	470
2015-07-18	462
2015-07-19	478
2015-07-20	493
2015-07-21	455
2015-07-22	504
2015-07-23	486
2015-07-24	520
2015-07-25	487
2015-07-26	470
2015-07-27	505
2015-07-28	480
2015-07-29	433
2015-07-30	491
2015-07-31	480
2015-08-01	470
2015-08-02	532
2015-08-03	515
2015-08-04	491
2015-08-05	505
2015-08-06	537
2015-08-07	536
2015-08-08	517
2015-08-09	494
2015-08-10	542
2015-08-11	480
2015-08-12	538
2015-08-13	549
2015-08-14	494
2015-08-15	478
2015-08-16	497
2015-08-17	500
2015-08-18	514
2015-08-19	499
2015-08-20	504
2015-08-21	493
2015-08-22	477
2015-08-23	481
2015-08-24	481
2015-08-25	472
2015-08-26	460
2015-08-27	464
2015-08-28	520
2015-08-29	504
2015-08-30	543
2015-08-31	540
2015-09-01	470
2015-09-02	531
2015-09-03	505
2015-09-04	520
2015-09-05	524
2015-09-06	548
2015-09-07	542
2015-09-08	532
2015-09-09	523
2015-09-10	411
2015-09-11	489
2015-09-12	452
2015-09-13	484
2015-09-14	483
2015-09-15	474
2015-09-16	556
2015-09-17	482
2015-09-18	475
2015-09-19	514
2015-09-20	527
2015-09-21	480
2015-09-22	486
2015-09-23	519
2015-09-24	590
2015-09-25	543
2015-09-26	508
2015-09-27	515
2015-09-28	517
2015-09-29	533
2015-09-30	531
2015-10-01	548
2015-10-02	529
2015-10-03	497
2015-10-04	490
2015-10-05	549
2015-10-06	510
2015-10-07	523
2015-10-08	485
2015-10-09	478
2015-10-10	463
2015-10-11	490
2015-10-12	477
2015-10-13	468
2015-10-14	482
2015-10-15	487
2015-10-16	486
2015-10-17	464
2015-10-18	469
2015-10-19	511
2015-10-20	450
2015-10-21	497
2015-10-22	513
2015-10-23	513
2015-10-24	472
2015-10-25	535
2015-10-26	505
2015-10-27	534
2015-10-28	527
2015-10-29	500
2015-10-30	548
2015-10-31	473
2015-11-01	575
2015-11-02	548
2015-11-03	478
2015-11-04	486
2015-11-05	512
2015-11-06	588
2015-11-07	543
2015-11-08	570
2015-11-09	489
2015-11-10	481
2015-11-11	572
2015-11-12	493
2015-11-13	532
2015-11-14	490
2015-11-15	483
2015-11-16	521
2015-11-17	496
2015-11-18	504
2015-11-19	528
2015-11-20	502
2015-11-21	476
2015-11-22	525
2015-11-23	526
2015-11-24	518
2015-11-25	452
2015-11-26	428
2015-11-27	482
2015-11-28	543
2015-11-29	487
2015-11-30	630
2015-12-01	513
2015-12-02	523
2015-12-03	480
2015-12-04	508
2015-12-05	509
2015-12-06	500
2015-12-07	473
2015-12-08	505
2015-12-09	450
2015-12-10	473
2015-12-11	449
2015-12-12	506
2015-12-13	537
2015-12-14	486
2015-12-15	418
2015-12-16	436
2015-12-17	435
2015-12-18	491
2015-12-19	472
2015-12-20	507
2015-12-21	488
2015-12-22	438
2015-12-23	564
2015-12-24	494
2015-12-25	483
2015-12-26	440
2015-12-27	442
2015-12-28	429
2015-12-29	476
2015-12-30	510
2015-12-31	567
2016-01-01	306
2016-01-02	389
2016-01-03	452
2016-01-04	395
2016-01-05	465
2016-01-06	487
2016-01-07	495
2016-01-08	423
2016-01-09	470
2016-01-10	502
2016-01-11	501
2016-01-12	459
2016-01-13	484
2016-01-14	483
2016-01-15	447
2016-01-16	457
2016-01-17	437
2016-01-18	466
2016-01-19	460
2016-01-20	408
2016-01-21	402
2016-01-22	444
2016-01-23	490
2016-01-24	464
2016-01-25	444
2016-01-26	422
2016-01-27	452
2016-01-28	489
2016-01-29	481
2016-01-30	484
2016-01-31	489
2016-02-01	445
2016-02-02	494
2016-02-03	475
2016-02-04	454
2016-02-05	503
2016-02-06	487
2016-02-07	520
2016-02-08	529
2016-02-09	469
2016-02-10	471
2016-02-11	452
2016-02-12	481
2016-02-13	448
2016-02-14	494
2016-02-15	468
2016-02-16	426
2016-02-17	443
2016-02-18	436
2016-02-19	426
2016-02-20	482
2016-02-21	440
2016-02-22	405
2016-02-23	432
2016-02-24	404
2016-02-25	446
2016-02-26	424
2016-02-27	484
2016-02-28	467
2016-02-29	457
2016-03-01	411
2016-03-02	413
2016-03-03	417
2016-03-04	435
2016-03-05	425
2016-03-06	511
2016-03-07	482
2016-03-08	430
2016-03-09	499
2016-03-10	464
2016-03-11	431
2016-03-12	468
2016-03-13	398
2016-03-14	430
2016-03-15	462
2016-03-16	443
2016-03-17	437
2016-03-18	455
2016-03-19	459
2016-03-20	441
2016-03-21	434
2016-03-22	508
2016-03-23	418
2016-03-24	464
2016-03-25	417
2016-03-26	439
2016-03-27	454
2016-03-28	460
2016-03-29	452
2016-03-30	477
2016-03-31	463
2016-04-01	450
2016-04-02	489
2016-04-03	524
2016-04-04	483
2016-04-05	462
2016-04-06	511
2016-04-07	471
2016-04-08	463
2016-04-09	499
2016-04-10	498
2016-04-11	506
2016-04-12	572
2016-04-13	594
2016-04-14	545
2016-04-15	409
2016-04-16	409
2016-04-17	469
2016-04-18	484
2016-04-19	485
2016-04-20	482
2016-04-21	489
2016-04-22	450
2016-04-23	525
2016-04-24	499
2016-04-25	512
2016-04-26	478
2016-04-27	532
2016-04-28	474
2016-04-29	517
2016-04-30	489
2016-05-01	537
2016-05-02	467
2016-05-03	520
2016-05-04	489
2016-05-05	531
2016-05-06	517
2016-05-07	524
2016-05-08	495
2016-05-09	485
2016-05-10	473
2016-05-11	476
2016-05-12	525
2016-05-13	540
2016-05-14	496
2016-05-15	503
2016-05-16	489
2016-05-17	490
2016-05-18	519
2016-05-19	524
2016-05-20	511
2016-05-21	487
2016-05-22	491
2016-05-23	514
2016-05-24	514
2016-05-25	547
2016-05-26	511
2016-05-27	482
2016-05-28	496
2016-05-29	524
2016-05-30	505
2016-05-31	483
