date	freq
2015-06-01	32
2015-06-02	29
2015-06-03	36
2015-06-04	41
2015-06-05	26
2015-06-06	43
2015-06-07	30
2015-06-08	38
2015-06-09	56
2015-06-10	70
2015-06-11	64
2015-06-12	32
2015-06-13	52
2015-06-14	45
2015-06-15	39
2015-06-16	25
2015-06-17	25
2015-06-18	36
2015-06-19	26
2015-06-20	35
2015-06-21	27
2015-06-22	48
2015-06-23	33
2015-06-24	35
2015-06-25	25
2015-06-26	21
2015-06-27	52
2015-06-28	49
2015-06-29	44
2015-06-30	39
2015-07-01	27
2015-07-02	37
2015-07-03	31
2015-07-04	43
2015-07-05	45
2015-07-06	35
2015-07-07	47
2015-07-08	38
2015-07-09	41
2015-07-10	42
2015-07-11	42
2015-07-12	43
2015-07-13	46
2015-07-14	43
2015-07-15	35
2015-07-16	40
2015-07-17	31
2015-07-18	44
2015-07-19	39
2015-07-20	37
2015-07-21	43
2015-07-22	34
2015-07-23	33
2015-07-24	27
2015-07-25	37
2015-07-26	42
2015-07-27	49
2015-07-28	40
2015-07-29	34
2015-07-30	43
2015-07-31	42
2015-08-01	35
2015-08-02	33
2015-08-03	41
2015-08-04	45
2015-08-05	38
2015-08-06	39
2015-08-07	44
2015-08-08	45
2015-08-09	40
2015-08-10	40
2015-08-11	44
2015-08-12	35
2015-08-13	43
2015-08-14	31
2015-08-15	31
2015-08-16	35
2015-08-17	33
2015-08-18	25
2015-08-19	32
2015-08-20	44
2015-08-21	39
2015-08-22	23
2015-08-23	38
2015-08-24	52
2015-08-25	23
2015-08-26	36
2015-08-27	43
2015-08-28	41
2015-08-29	27
2015-08-30	44
2015-08-31	52
2015-09-01	38
2015-09-02	45
2015-09-03	32
2015-09-04	38
2015-09-05	41
2015-09-06	48
2015-09-07	46
2015-09-08	67
2015-09-09	42
2015-09-10	30
2015-09-11	38
2015-09-12	44
2015-09-13	35
2015-09-14	42
2015-09-15	38
2015-09-16	34
2015-09-17	33
2015-09-18	25
2015-09-19	27
2015-09-20	31
2015-09-21	35
2015-09-22	29
2015-09-23	31
2015-09-24	50
2015-09-25	29
2015-09-26	33
2015-09-27	33
2015-09-28	24
2015-09-29	22
2015-09-30	25
2015-10-01	36
2015-10-02	30
2015-10-03	32
2015-10-04	41
2015-10-05	25
2015-10-06	31
2015-10-07	19
2015-10-08	37
2015-10-09	25
2015-10-10	41
2015-10-11	28
2015-10-12	35
2015-10-13	23
2015-10-14	28
2015-10-15	36
2015-10-16	29
2015-10-17	30
2015-10-18	19
2015-10-19	31
2015-10-20	35
2015-10-21	25
2015-10-22	27
2015-10-23	42
2015-10-24	28
2015-10-25	27
2015-10-26	49
2015-10-27	39
2015-10-28	28
2015-10-29	38
2015-10-30	24
2015-10-31	35
2015-11-01	30
2015-11-02	25
2015-11-03	35
2015-11-04	44
2015-11-05	38
2015-11-06	42
2015-11-07	40
2015-11-08	53
2015-11-09	42
2015-11-10	64
2015-11-11	59
2015-11-12	49
2015-11-13	127
2015-11-14	110
2015-11-15	107
2015-11-16	96
2015-11-17	55
2015-11-18	39
2015-11-19	65
2015-11-20	44
2015-11-21	46
2015-11-22	50
2015-11-23	56
2015-11-24	39
2015-11-25	35
2015-11-26	62
2015-11-27	42
2015-11-28	53
2015-11-29	62
2015-11-30	48
2015-12-01	50
2015-12-02	57
2015-12-03	47
2015-12-04	41
2015-12-05	77
2015-12-06	67
2015-12-07	41
2015-12-08	35
2015-12-09	47
2015-12-10	38
2015-12-11	55
2015-12-12	36
2015-12-13	59
2015-12-14	64
2015-12-15	52
2015-12-16	55
2015-12-17	48
2015-12-18	56
2015-12-19	32
2015-12-20	50
2015-12-21	49
2015-12-22	49
2015-12-23	46
2015-12-24	57
2015-12-25	51
2015-12-26	46
2015-12-27	64
2015-12-28	34
2015-12-29	45
2015-12-30	37
2015-12-31	36
2016-01-01	49
2016-01-02	32
2016-01-03	32
2016-01-04	54
2016-01-05	67
2016-01-06	65
2016-01-07	53
2016-01-08	57
2016-01-09	63
2016-01-10	52
2016-01-11	99
2016-01-12	63
2016-01-13	73
2016-01-14	67
2016-01-15	112
2016-01-16	100
2016-01-17	84
2016-01-18	62
2016-01-19	58
2016-01-20	92
2016-01-21	104
2016-01-22	93
2016-01-23	98
2016-01-24	106
2016-01-25	110
2016-01-26	110
2016-01-27	117
2016-01-28	129
2016-01-29	86
2016-01-30	116
2016-01-31	116
2016-02-01	119
2016-02-02	148
2016-02-03	123
2016-02-04	129
2016-02-05	118
2016-02-06	154
2016-02-07	187
2016-02-08	170
2016-02-09	194
2016-02-10	215
2016-02-11	238
2016-02-12	238
2016-02-13	357
2016-02-14	582
2016-02-15	300
2016-02-16	162
2016-02-17	138
2016-02-18	100
2016-02-19	92
2016-02-20	108
2016-02-21	79
2016-02-22	70
2016-02-23	81
2016-02-24	75
2016-02-25	92
2016-02-26	71
2016-02-27	71
2016-02-28	53
2016-02-29	69
2016-03-01	75
2016-03-02	62
2016-03-03	67
2016-03-04	61
2016-03-05	69
2016-03-06	70
2016-03-07	68
2016-03-08	56
2016-03-09	95
2016-03-10	77
2016-03-11	80
2016-03-12	71
2016-03-13	74
2016-03-14	130
2016-03-15	91
2016-03-16	70
2016-03-17	73
2016-03-18	40
2016-03-19	61
2016-03-20	61
2016-03-21	60
2016-03-22	54
2016-03-23	38
2016-03-24	43
2016-03-25	69
2016-03-26	42
2016-03-27	57
2016-03-28	55
2016-03-29	48
2016-03-30	55
2016-03-31	53
2016-04-01	30
2016-04-02	45
2016-04-03	44
2016-04-04	36
2016-04-05	45
2016-04-06	55
2016-04-07	35
2016-04-08	25
2016-04-09	35
2016-04-10	51
2016-04-11	28
2016-04-12	51
2016-04-13	52
2016-04-14	51
2016-04-15	33
2016-04-16	50
2016-04-17	45
2016-04-18	47
2016-04-19	61
2016-04-20	50
2016-04-21	50
2016-04-22	34
2016-04-23	41
2016-04-24	42
2016-04-25	43
2016-04-26	26
2016-04-27	41
2016-04-28	53
2016-04-29	43
2016-04-30	36
2016-05-01	35
2016-05-02	30
2016-05-03	55
2016-05-04	62
2016-05-05	43
2016-05-06	33
2016-05-07	38
2016-05-08	45
2016-05-09	48
2016-05-10	33
2016-05-11	69
2016-05-12	38
2016-05-13	44
2016-05-14	60
2016-05-15	56
2016-05-16	37
2016-05-17	41
2016-05-18	45
2016-05-19	45
2016-05-20	39
2016-05-21	39
2016-05-22	47
2016-05-23	50
2016-05-24	34
2016-05-25	43
2016-05-26	44
2016-05-27	33
2016-05-28	43
2016-05-29	30
2016-05-30	39
2016-05-31	54
