date	freq
2015-06-01	1840
2015-06-02	1768
2015-06-03	2118
2015-06-04	2013
2015-06-05	1952
2015-06-06	1865
2015-06-07	1852
2015-06-08	2018
2015-06-09	1984
2015-06-10	1825
2015-06-11	1813
2015-06-12	1823
2015-06-13	1792
2015-06-14	1760
2015-06-15	1827
2015-06-16	1700
2015-06-17	1756
2015-06-18	1765
2015-06-19	1861
2015-06-20	1743
2015-06-21	1869
2015-06-22	1752
2015-06-23	1825
2015-06-24	1692
2015-06-25	1638
2015-06-26	1685
2015-06-27	1756
2015-06-28	1734
2015-06-29	1816
2015-06-30	1756
2015-07-01	1701
2015-07-02	1715
2015-07-03	1688
2015-07-04	1667
2015-07-05	1712
2015-07-06	1765
2015-07-07	1726
2015-07-08	1667
2015-07-09	1685
2015-07-10	1636
2015-07-11	1623
2015-07-12	1687
2015-07-13	1589
2015-07-14	1526
2015-07-15	1495
2015-07-16	1471
2015-07-17	1482
2015-07-18	1454
2015-07-19	1476
2015-07-20	1566
2015-07-21	1568
2015-07-22	1532
2015-07-23	1457
2015-07-24	1559
2015-07-25	1397
2015-07-26	1478
2015-07-27	1411
2015-07-28	1444
2015-07-29	1470
2015-07-30	1448
2015-07-31	1538
2015-08-01	1390
2015-08-02	1473
2015-08-03	1433
2015-08-04	1521
2015-08-05	1437
2015-08-06	1459
2015-08-07	1502
2015-08-08	1295
2015-08-09	1326
2015-08-10	1494
2015-08-11	1505
2015-08-12	1555
2015-08-13	1453
2015-08-14	1414
2015-08-15	1416
2015-08-16	1481
2015-08-17	1489
2015-08-18	1603
2015-08-19	1597
2015-08-20	1690
2015-08-21	1701
2015-08-22	1523
2015-08-23	1572
2015-08-24	1582
2015-08-25	1650
2015-08-26	1616
2015-08-27	1789
2015-08-28	1724
2015-08-29	1604
2015-08-30	1691
2015-08-31	1742
2015-09-01	1821
2015-09-02	1863
2015-09-03	1757
2015-09-04	1741
2015-09-05	1607
2015-09-06	1880
2015-09-07	1805
2015-09-08	1929
2015-09-09	1740
2015-09-10	1609
2015-09-11	1698
2015-09-12	1764
2015-09-13	1704
2015-09-14	1893
2015-09-15	1931
2015-09-16	1923
2015-09-17	1859
2015-09-18	1710
2015-09-19	1677
2015-09-20	1589
2015-09-21	1753
2015-09-22	1853
2015-09-23	1837
2015-09-24	1784
2015-09-25	1777
2015-09-26	1840
2015-09-27	1938
2015-09-28	1707
2015-09-29	1704
2015-09-30	1814
2015-10-01	1849
2015-10-02	1888
2015-10-03	1829
2015-10-04	1778
2015-10-05	1989
2015-10-06	1899
2015-10-07	1918
2015-10-08	1856
2015-10-09	1851
2015-10-10	1770
2015-10-11	1858
2015-10-12	1942
2015-10-13	2080
2015-10-14	1987
2015-10-15	2174
2015-10-16	2190
2015-10-17	2099
2015-10-18	1975
2015-10-19	1950
2015-10-20	2185
2015-10-21	2161
2015-10-22	2072
2015-10-23	1968
2015-10-24	1894
2015-10-25	2100
2015-10-26	2083
2015-10-27	2063
2015-10-28	2051
2015-10-29	2048
2015-10-30	2056
2015-10-31	2383
2015-11-01	2271
2015-11-02	2105
2015-11-03	2075
2015-11-04	2107
2015-11-05	2153
2015-11-06	2180
2015-11-07	2103
2015-11-08	2225
2015-11-09	2161
2015-11-10	2215
2015-11-11	2425
2015-11-12	2291
2015-11-13	2970
2015-11-14	2698
2015-11-15	2279
2015-11-16	2183
2015-11-17	2174
2015-11-18	2289
2015-11-19	2142
2015-11-20	2133
2015-11-21	2052
2015-11-22	2061
2015-11-23	2326
2015-11-24	2117
2015-11-25	2198
2015-11-26	2103
2015-11-27	2096
2015-11-28	2046
2015-11-29	2213
2015-11-30	2195
2015-12-01	2362
2015-12-02	2308
2015-12-03	2386
2015-12-04	2225
2015-12-05	2100
2015-12-06	2295
2015-12-07	2265
2015-12-08	2367
2015-12-09	2184
2015-12-10	2270
2015-12-11	2321
2015-12-12	2296
2015-12-13	2296
2015-12-14	2346
2015-12-15	2232
2015-12-16	2250
2015-12-17	2423
2015-12-18	2182
2015-12-19	2290
2015-12-20	2412
2015-12-21	2420
2015-12-22	2361
2015-12-23	2857
2015-12-24	3754
2015-12-25	3887
2015-12-26	2841
2015-12-27	2360
2015-12-28	2195
2015-12-29	2131
2015-12-30	1987
2015-12-31	1826
2016-01-01	1188
2016-01-02	1446
2016-01-03	1698
2016-01-04	1898
2016-01-05	1954
2016-01-06	2234
2016-01-07	2265
2016-01-08	2446
2016-01-09	2376
2016-01-10	2336
2016-01-11	2522
2016-01-12	2628
2016-01-13	2832
2016-01-14	3049
2016-01-15	3026
2016-01-16	3070
2016-01-17	3149
2016-01-18	3285
2016-01-19	2941
2016-01-20	3107
2016-01-21	3639
2016-01-22	3687
2016-01-23	3211
2016-01-24	3482
2016-01-25	3309
2016-01-26	3747
2016-01-27	4229
2016-01-28	4202
2016-01-29	4668
2016-01-30	4482
2016-01-31	4660
2016-02-01	4957
2016-02-02	4716
2016-02-03	4803
2016-02-04	5048
2016-02-05	5016
2016-02-06	5034
2016-02-07	5346
2016-02-08	5869
2016-02-09	6316
2016-02-10	6466
2016-02-11	7565
2016-02-12	8691
2016-02-13	11435
2016-02-14	24635
2016-02-15	13220
2016-02-16	6634
2016-02-17	4938
2016-02-18	4167
2016-02-19	3737
2016-02-20	3401
2016-02-21	3213
2016-02-22	3052
2016-02-23	2674
2016-02-24	2608
2016-02-25	2509
2016-02-26	2480
2016-02-27	2404
2016-02-28	2422
2016-02-29	2526
2016-03-01	2786
2016-03-02	2174
2016-03-03	2342
2016-03-04	2036
2016-03-05	2038
2016-03-06	2333
2016-03-07	2349
2016-03-08	2107
2016-03-09	2358
2016-03-10	2324
2016-03-11	2006
2016-03-12	2199
2016-03-13	2643
2016-03-14	4293
2016-03-15	2997
2016-03-16	2387
2016-03-17	2081
2016-03-18	1924
2016-03-19	1901
2016-03-20	1745
2016-03-21	1919
2016-03-22	1698
2016-03-23	1766
2016-03-24	1673
2016-03-25	1741
2016-03-26	1773
2016-03-27	1955
2016-03-28	1846
2016-03-29	1960
2016-03-30	2072
2016-03-31	1804
2016-04-01	1782
2016-04-02	1719
2016-04-03	1711
2016-04-04	1802
2016-04-05	1672
2016-04-06	1730
2016-04-07	2134
2016-04-08	1936
2016-04-09	2115
2016-04-10	1762
2016-04-11	1767
2016-04-12	1702
2016-04-13	1893
2016-04-14	1743
2016-04-15	1682
2016-04-16	1480
2016-04-17	1622
2016-04-18	1562
2016-04-19	1668
2016-04-20	1599
2016-04-21	1766
2016-04-22	1658
2016-04-23	1648
2016-04-24	1808
2016-04-25	1765
2016-04-26	1643
2016-04-27	1624
2016-04-28	1636
2016-04-29	1587
2016-04-30	1642
2016-05-01	1729
2016-05-02	1599
2016-05-03	1524
2016-05-04	1601
2016-05-05	1629
2016-05-06	1683
2016-05-07	1600
2016-05-08	1953
2016-05-09	1924
2016-05-10	1714
2016-05-11	1652
2016-05-12	1713
2016-05-13	1533
2016-05-14	1537
2016-05-15	1553
2016-05-16	1719
2016-05-17	1652
2016-05-18	1663
2016-05-19	1630
2016-05-20	1575
2016-05-21	1596
2016-05-22	1585
2016-05-23	1593
2016-05-24	1566
2016-05-25	1652
2016-05-26	1646
2016-05-27	1605
2016-05-28	1546
2016-05-29	1508
2016-05-30	1582
2016-05-31	1772
