date	freq
2015-06-01	1815
2015-06-02	2700
2015-06-03	5121
2015-06-04	2213
2015-06-05	2372
2015-06-06	2048
2015-06-07	1832
2015-06-08	864
2015-06-09	911
2015-06-10	2045
2015-06-11	1843
2015-06-12	2177
2015-06-13	2086
2015-06-14	1856
2015-06-15	1650
2015-06-16	1633
2015-06-17	2065
2015-06-18	1971
2015-06-19	2067
2015-06-20	1997
2015-06-21	1927
2015-06-22	1761
2015-06-23	1598
2015-06-24	1911
2015-06-25	1856
2015-06-26	1823
2015-06-27	1925
2015-06-28	1789
2015-06-29	1550
2015-06-30	1549
2015-07-01	1853
2015-07-02	1757
2015-07-03	1867
2015-07-04	1617
2015-07-05	1730
2015-07-06	1607
2015-07-07	2114
2015-07-08	1875
2015-07-09	1902
2015-07-10	1661
2015-07-11	1862
2015-07-12	1723
2015-07-13	1633
2015-07-14	1569
2015-07-15	1496
2015-07-16	1633
2015-07-17	1372
2015-07-18	1520
2015-07-19	1573
2015-07-20	1554
2015-07-21	1608
2015-07-22	1519
2015-07-23	1567
2015-07-24	1448
2015-07-25	1504
2015-07-26	1421
2015-07-27	1797
2015-07-28	1526
2015-07-29	1508
2015-07-30	1652
2015-07-31	1524
2015-08-01	1441
2015-08-02	1449
2015-08-03	1531
2015-08-04	1532
2015-08-05	1748
2015-08-06	1535
2015-08-07	1398
2015-08-08	1518
2015-08-09	1529
2015-08-10	1352
2015-08-11	1451
2015-08-12	1466
2015-08-13	1536
2015-08-14	1456
2015-08-15	1490
2015-08-16	1431
2015-08-17	1432
2015-08-18	1404
2015-08-19	1433
2015-08-20	1973
2015-08-21	1625
2015-08-22	1431
2015-08-23	1521
2015-08-24	1463
2015-08-25	1641
2015-08-26	1600
2015-08-27	1432
2015-08-28	1483
2015-08-29	1473
2015-08-30	1548
2015-08-31	1530
2015-09-01	1826
2015-09-02	2128
2015-09-03	1615
2015-09-04	1591
2015-09-05	1713
2015-09-06	1791
2015-09-07	2217
2015-09-08	2466
2015-09-09	1933
2015-09-10	2244
2015-09-11	2506
2015-09-12	2391
2015-09-13	1948
2015-09-14	1559
2015-09-15	1741
2015-09-16	1911
2015-09-17	2003
2015-09-18	1530
2015-09-19	1564
2015-09-20	1618
2015-09-21	1507
2015-09-22	1473
2015-09-23	1674
2015-09-24	1651
2015-09-25	1463
2015-09-26	1531
2015-09-27	1810
2015-09-28	1342
2015-09-29	1485
2015-09-30	1797
2015-10-01	1682
2015-10-02	1394
2015-10-03	1516
2015-10-04	2089
2015-10-05	1707
2015-10-06	1785
2015-10-07	1861
2015-10-08	1669
2015-10-09	1636
2015-10-10	2013
2015-10-11	1683
2015-10-12	1607
2015-10-13	1552
2015-10-14	1572
2015-10-15	1882
2015-10-16	1850
2015-10-17	1614
2015-10-18	1704
2015-10-19	1473
2015-10-20	1799
2015-10-21	2139
2015-10-22	2379
2015-10-23	2222
2015-10-24	2318
2015-10-25	2194
2015-10-26	2328
2015-10-27	2129
2015-10-28	1733
2015-10-29	1795
2015-10-30	1940
2015-10-31	2366
2015-11-01	3916
2015-11-02	1934
2015-11-03	1804
2015-11-04	2300
2015-11-05	1887
2015-11-06	3959
2015-11-07	3192
2015-11-08	2805
2015-11-09	2241
2015-11-10	2499
2015-11-11	2134
2015-11-12	2543
2015-11-13	28641
2015-11-14	6186
2015-11-15	2677
2015-11-16	2027
2015-11-17	2035
2015-11-18	2305
2015-11-19	1976
2015-11-20	2284
2015-11-21	1948
2015-11-22	2171
2015-11-23	2308
2015-11-24	1905
2015-11-25	2147
2015-11-26	2196
2015-11-27	1870
2015-11-28	1894
2015-11-29	2054
2015-11-30	1650
2015-12-01	1963
2015-12-02	1755
2015-12-03	1944
2015-12-04	1654
2015-12-05	1852
2015-12-06	2021
2015-12-07	2101
2015-12-08	2037
2015-12-09	1573
2015-12-10	2190
2015-12-11	3058
2015-12-12	2221
2015-12-13	2037
2015-12-14	1707
2015-12-15	1631
2015-12-16	1851
2015-12-17	1707
2015-12-18	2054
2015-12-19	1986
2015-12-20	1800
2015-12-21	2228
2015-12-22	3004
2015-12-23	2834
2015-12-24	2427
2015-12-25	2456
2015-12-26	3618
2015-12-27	2032
2015-12-28	1903
2015-12-29	1969
2015-12-30	1934
2015-12-31	1662
2016-01-01	1349
2016-01-02	1607
2016-01-03	1591
2016-01-04	1778
2016-01-05	1670
2016-01-06	1951
2016-01-07	2213
2016-01-08	2132
2016-01-09	2239
2016-01-10	1881
2016-01-11	1983
2016-01-12	3732
2016-01-13	2751
2016-01-14	2699
2016-01-15	3135
2016-01-16	2571
2016-01-17	2588
2016-01-18	2410
2016-01-19	2523
2016-01-20	3659
2016-01-21	3629
2016-01-22	4936
2016-01-23	3291
2016-01-24	3377
2016-01-25	3308
2016-01-26	3675
2016-01-27	3735
2016-01-28	4323
2016-01-29	4279
2016-01-30	4602
2016-01-31	4305
2016-02-01	5535
2016-02-02	4963
2016-02-03	4870
2016-02-04	5229
2016-02-05	5083
2016-02-06	5015
2016-02-07	5152
2016-02-08	6232
2016-02-09	8221
2016-02-10	8470
2016-02-11	8700
2016-02-12	10067
2016-02-13	14662
2016-02-14	35639
2016-02-15	12944
2016-02-16	5632
2016-02-17	4108
2016-02-18	3424
2016-02-19	2944
2016-02-20	2513
2016-02-21	2780
2016-02-22	2557
2016-02-23	2079
2016-02-24	2418
2016-02-25	2316
2016-02-26	1797
2016-02-27	1929
2016-02-28	2104
2016-02-29	1799
2016-03-01	1939
2016-03-02	2081
2016-03-03	1970
2016-03-04	1694
2016-03-05	2126
2016-03-06	1983
2016-03-07	2098
2016-03-08	2788
2016-03-09	1952
2016-03-10	2841
2016-03-11	2135
