date	freq
2015-06-01	1378
2015-06-02	1540
2015-06-03	1532
2015-06-04	1516
2015-06-05	1782
2015-06-06	1452
2015-06-07	1477
2015-06-08	1227
2015-06-09	745
2015-06-10	796
2015-06-11	1564
2015-06-12	1445
2015-06-13	1456
2015-06-14	1492
2015-06-15	1349
2015-06-16	1334
2015-06-17	1300
2015-06-18	1272
2015-06-19	1278
2015-06-20	1274
2015-06-21	1406
2015-06-22	1180
2015-06-23	1183
2015-06-24	1326
2015-06-25	1238
2015-06-26	1273
2015-06-27	1340
2015-06-28	1356
2015-06-29	1155
2015-06-30	1408
2015-07-01	1689
2015-07-02	2233
2015-07-03	1340
2015-07-04	1536
2015-07-05	1333
2015-07-06	2551
2015-07-07	1876
2015-07-08	1929
2015-07-09	1911
2015-07-10	1668
2015-07-11	1444
2015-07-12	1772
2015-07-13	2355
2015-07-14	1234
2015-07-15	1318
2015-07-16	1377
2015-07-17	1825
2015-07-18	1283
2015-07-19	1265
2015-07-20	1310
2015-07-21	1412
2015-07-22	1304
2015-07-23	1259
2015-07-24	1203
2015-07-25	1122
2015-07-26	1183
2015-07-27	1141
2015-07-28	1226
2015-07-29	1102
2015-07-30	1249
2015-07-31	1156
2015-08-01	1013
2015-08-02	1103
2015-08-03	1093
2015-08-04	1478
2015-08-05	1173
2015-08-06	1138
2015-08-07	1117
2015-08-08	1041
2015-08-09	1018
2015-08-10	964
2015-08-11	1064
2015-08-12	1022
2015-08-13	1006
2015-08-14	959
2015-08-15	935
2015-08-16	984
2015-08-17	1341
2015-08-18	1470
2015-08-19	1316
2015-08-20	1225
2015-08-21	1215
2015-08-22	1224
2015-08-23	1086
2015-08-24	1212
2015-08-25	1132
2015-08-26	1323
2015-08-27	1365
2015-08-28	1188
2015-08-29	1455
2015-08-30	1362
2015-08-31	1775
2015-09-01	1673
2015-09-02	1452
2015-09-03	1356
2015-09-04	1265
2015-09-05	1274
2015-09-06	1530
2015-09-07	1397
2015-09-08	1322
2015-09-09	1295
2015-09-10	1406
2015-09-11	1113
2015-09-12	1760
2015-09-13	1647
2015-09-14	1862
2015-09-15	1486
2015-09-16	1530
2015-09-17	1529
2015-09-18	1343
2015-09-19	2177
2015-09-20	1751
2015-09-21	1300
2015-09-22	1581
2015-09-23	1344
2015-09-24	1094
2015-09-25	1041
2015-09-26	1362
2015-09-27	1435
2015-09-28	992
2015-09-29	1261
2015-09-30	1476
2015-10-01	1429
2015-10-02	1780
2015-10-03	1423
2015-10-04	1389
2015-10-05	1292
2015-10-06	1337
2015-10-07	1462
2015-10-08	1361
2015-10-09	1172
2015-10-10	1407
2015-10-11	1535
2015-10-12	1491
2015-10-13	1362
2015-10-14	1579
2015-10-15	1578
2015-10-16	1492
2015-10-17	1825
2015-10-18	1383
2015-10-19	1364
2015-10-20	1279
2015-10-21	1265
2015-10-22	1235
2015-10-23	1164
2015-10-24	1287
2015-10-25	1442
2015-10-26	1257
2015-10-27	2086
2015-10-28	1438
2015-10-29	1631
2015-10-30	1465
2015-10-31	1647
2015-11-01	1587
2015-11-02	1272
2015-11-03	1251
2015-11-04	1428
2015-11-05	1405
