date	freq
2015-06-01	1455
2015-06-02	1312
2015-06-03	1355
2015-06-04	1318
2015-06-05	1294
2015-06-06	1359
2015-06-07	1422
2015-06-08	1415
2015-06-09	1354
2015-06-10	1333
2015-06-11	1339
2015-06-12	1318
2015-06-13	1379
2015-06-14	1372
2015-06-15	1346
2015-06-16	1344
2015-06-17	1266
2015-06-18	1325
2015-06-19	1277
2015-06-20	1279
2015-06-21	1457
2015-06-22	1371
2015-06-23	1296
2015-06-24	1345
2015-06-25	1362
2015-06-26	1339
2015-06-27	1361
2015-06-28	1511
2015-06-29	1467
2015-06-30	1425
2015-07-01	1348
2015-07-02	1383
2015-07-03	1477
2015-07-04	1306
2015-07-05	1485
2015-07-06	1437
2015-07-07	1361
2015-07-08	1465
2015-07-09	1387
2015-07-10	1340
2015-07-11	1255
2015-07-12	1326
2015-07-13	1351
2015-07-14	1139
2015-07-15	1181
2015-07-16	1161
2015-07-17	1224
2015-07-18	1422
2015-07-19	1147
2015-07-20	1297
2015-07-21	1271
2015-07-22	1258
2015-07-23	1277
2015-07-24	1363
2015-07-25	1428
2015-07-26	1623
2015-07-27	1346
2015-07-28	1282
2015-07-29	1309
2015-07-30	1306
2015-07-31	1239
2015-08-01	1440
2015-08-02	1359
2015-08-03	1302
2015-08-04	1216
2015-08-05	1268
2015-08-06	1135
2015-08-07	1394
2015-08-08	1288
2015-08-09	1318
2015-08-10	1351
2015-08-11	1246
2015-08-12	1407
2015-08-13	1308
2015-08-14	1296
2015-08-15	1320
2015-08-16	1313
2015-08-17	1285
2015-08-18	1362
2015-08-19	1379
2015-08-20	1300
2015-08-21	1248
2015-08-22	1367
2015-08-23	1306
2015-08-24	1363
2015-08-25	1257
2015-08-26	1442
2015-08-27	1246
2015-08-28	1255
2015-08-29	1351
2015-08-30	1567
2015-08-31	1530
2015-09-01	1532
2015-09-02	1447
2015-09-03	1331
2015-09-04	1349
2015-09-05	1457
2015-09-06	1395
2015-09-07	1531
2015-09-08	1432
2015-09-09	1415
2015-09-10	1382
2015-09-11	1288
2015-09-12	1272
2015-09-13	1371
2015-09-14	1425
2015-09-15	1468
2015-09-16	1497
2015-09-17	1553
2015-09-18	1800
2015-09-19	1656
2015-09-20	1582
2015-09-21	1626
2015-09-22	1584
2015-09-23	1533
2015-09-24	1531
2015-09-25	1413
2015-09-26	1522
2015-09-27	1594
2015-09-28	1491
2015-09-29	1385
2015-09-30	1510
2015-10-01	1632
2015-10-02	1660
2015-10-03	1570
2015-10-04	1551
2015-10-05	1591
2015-10-06	1448
2015-10-07	1507
2015-10-08	1596
2015-10-09	1552
2015-10-10	1608
2015-10-11	1619
2015-10-12	1589
2015-10-13	1713
2015-10-14	1518
2015-10-15	1535
2015-10-16	1598
2015-10-17	1539
2015-10-18	1623
2015-10-19	1672
2015-10-20	1588
2015-10-21	1511
2015-10-22	1512
2015-10-23	1586
2015-10-24	1515
2015-10-25	1620
2015-10-26	1772
2015-10-27	1576
2015-10-28	1576
2015-10-29	1676
2015-10-30	1736
2015-10-31	2089
2015-11-01	1936
2015-11-02	1782
2015-11-03	1749
2015-11-04	1605
2015-11-05	1516
2015-11-06	1651
2015-11-07	1689
2015-11-08	1655
2015-11-09	1745
2015-11-10	1573
2015-11-11	1511
2015-11-12	1455
2015-11-13	1402
2015-11-14	1371
2015-11-15	1532
2015-11-16	1484
2015-11-17	1681
2015-11-18	1684
2015-11-19	1686
2015-11-20	1611
2015-11-21	1638
2015-11-22	1732
2015-11-23	1932
2015-11-24	1772
2015-11-25	1707
2015-11-26	1680
2015-11-27	1632
2015-11-28	1703
2015-11-29	1681
2015-11-30	1582
2015-12-01	1535
2015-12-02	1671
2015-12-03	1493
2015-12-04	1286
2015-12-05	1371
2015-12-06	1742
2015-12-07	1566
2015-12-08	1354
2015-12-09	1326
2015-12-10	1348
2015-12-11	1273
2015-12-12	1415
2015-12-13	1467
2015-12-14	1435
2015-12-15	1348
2015-12-16	1236
2015-12-17	1232
2015-12-18	1287
2015-12-19	1295
2015-12-20	1345
2015-12-21	1358
2015-12-22	1291
2015-12-23	1557
2015-12-24	1652
2015-12-25	1762
2015-12-26	1567
2015-12-27	1550
2015-12-28	1399
2015-12-29	1462
2015-12-30	1315
2015-12-31	1473
2016-01-01	1087
2016-01-02	1189
2016-01-03	1311
2016-01-04	1290
2016-01-05	1276
2016-01-06	1458
2016-01-07	1449
2016-01-08	1410
2016-01-09	1463
2016-01-10	1426
2016-01-11	1519
2016-01-12	1395
2016-01-13	1486
2016-01-14	1355
2016-01-15	1244
2016-01-16	1326
2016-01-17	1464
2016-01-18	1358
2016-01-19	1361
2016-01-20	1378
2016-01-21	1601
2016-01-22	1443
2016-01-23	1591
2016-01-24	1543
2016-01-25	1393
2016-01-26	1264
2016-01-27	1261
2016-01-28	1247
2016-01-29	1271
2016-01-30	1313
2016-01-31	1431
2016-02-01	1424
2016-02-02	1313
2016-02-03	1174
2016-02-04	1246
2016-02-05	1252
2016-02-06	1306
2016-02-07	1412
2016-02-08	1351
2016-02-09	1226
2016-02-10	1233
2016-02-11	1427
2016-02-12	1377
2016-02-13	1645
2016-02-14	2045
2016-02-15	1628
2016-02-16	1357
2016-02-17	1307
2016-02-18	1172
2016-02-19	1256
2016-02-20	1236
2016-02-21	1408
2016-02-22	1226
2016-02-23	1318
2016-02-24	1247
2016-02-25	1205
2016-02-26	1251
2016-02-27	1251
2016-02-28	1311
2016-02-29	1328
2016-03-01	1262
2016-03-02	1109
2016-03-03	1263
2016-03-04	1172
2016-03-05	1090
2016-03-06	1164
2016-03-07	1318
2016-03-08	1163
2016-03-09	1216
2016-03-10	1105
2016-03-11	1069
2016-03-12	1088
2016-03-13	1172
2016-03-14	1572
2016-03-15	1300
2016-03-16	1119
2016-03-17	1168
2016-03-18	1166
2016-03-19	1132
2016-03-20	1156
2016-03-21	1189
2016-03-22	1096
2016-03-23	1036
2016-03-24	1179
2016-03-25	1092
2016-03-26	1149
2016-03-27	1161
2016-03-28	1190
2016-03-29	1194
2016-03-30	1255
2016-03-31	1254
2016-04-01	1297
2016-04-02	1261
2016-04-03	1390
2016-04-04	1286
2016-04-05	1232
2016-04-06	1235
2016-04-07	1367
2016-04-08	1258
2016-04-09	1248
2016-04-10	1386
2016-04-11	1298
2016-04-12	1258
2016-04-13	1149
2016-04-14	1201
2016-04-15	1025
2016-04-16	997
2016-04-17	1113
2016-04-18	1152
2016-04-19	1142
2016-04-20	1211
2016-04-21	1143
2016-04-22	1103
2016-04-23	1187
2016-04-24	1250
2016-04-25	1226
2016-04-26	1220
2016-04-27	1299
2016-04-28	1152
2016-04-29	1164
2016-04-30	1218
2016-05-01	1260
2016-05-02	1275
2016-05-03	1247
2016-05-04	1261
2016-05-05	1383
2016-05-06	1230
2016-05-07	1281
2016-05-08	1380
2016-05-09	1288
2016-05-10	1261
2016-05-11	1131
2016-05-12	1093
2016-05-13	1126
2016-05-14	1238
2016-05-15	1210
2016-05-16	1214
2016-05-17	1304
2016-05-18	1110
2016-05-19	1206
2016-05-20	1179
2016-05-21	1164
2016-05-22	1269
2016-05-23	1234
2016-05-24	1146
2016-05-25	1125
2016-05-26	1191
2016-05-27	1160
2016-05-28	1182
2016-05-29	1179
2016-05-30	1224
2016-05-31	1279
