date	freq
2015-06-01	247
2015-06-02	252
2015-06-03	276
2015-06-04	272
2015-06-05	260
2015-06-06	263
2015-06-07	228
2015-06-08	128
2015-06-09	175
2015-06-10	158
2015-06-11	290
2015-06-12	227
2015-06-13	287
2015-06-14	311
2015-06-15	254
2015-06-16	248
2015-06-17	250
2015-06-18	295
2015-06-19	334
2015-06-20	280
2015-06-21	278
2015-06-22	285
2015-06-23	260
2015-06-24	278
2015-06-25	234
2015-06-26	243
2015-06-27	256
2015-06-28	327
2015-06-29	301
2015-06-30	240
2015-07-01	246
2015-07-02	227
2015-07-03	256
2015-07-04	266
2015-07-05	251
2015-07-06	226
2015-07-07	253
2015-07-08	265
2015-07-09	327
2015-07-10	266
2015-07-11	243
2015-07-12	258
2015-07-13	229
2015-07-14	210
2015-07-15	253
2015-07-16	265
2015-07-17	298
2015-07-18	259
2015-07-19	262
2015-07-20	245
2015-07-21	236
2015-07-22	281
2015-07-23	260
2015-07-24	256
2015-07-25	253
2015-07-26	221
2015-07-27	200
2015-07-28	257
2015-07-29	229
2015-07-30	224
2015-07-31	218
2015-08-01	207
2015-08-02	224
2015-08-03	224
2015-08-04	281
2015-08-05	318
2015-08-06	272
2015-08-07	188
2015-08-08	220
2015-08-09	220
2015-08-10	243
2015-08-11	320
2015-08-12	271
2015-08-13	240
2015-08-14	242
2015-08-15	238
2015-08-16	222
2015-08-17	216
2015-08-18	305
2015-08-19	220
2015-08-20	218
2015-08-21	285
2015-08-22	354
2015-08-23	233
2015-08-24	265
2015-08-25	284
2015-08-26	285
2015-08-27	229
2015-08-28	251
2015-08-29	259
2015-08-30	269
2015-08-31	263
2015-09-01	282
2015-09-02	218
2015-09-03	223
2015-09-04	208
2015-09-05	217
2015-09-06	261
2015-09-07	263
2015-09-08	259
2015-09-09	274
2015-09-10	264
2015-09-11	323
2015-09-12	214
2015-09-13	242
2015-09-14	245
2015-09-15	191
2015-09-16	248
2015-09-17	273
2015-09-18	256
2015-09-19	234
2015-09-20	238
2015-09-21	215
2015-09-22	461
2015-09-23	286
2015-09-24	248
2015-09-25	245
2015-09-26	258
2015-09-27	244
2015-09-28	236
2015-09-29	243
2015-09-30	204
2015-10-01	207
2015-10-02	231
2015-10-03	235
2015-10-04	734
2015-10-05	311
2015-10-06	336
2015-10-07	331
2015-10-08	342
2015-10-09	306
2015-10-10	235
2015-10-11	615
2015-10-12	406
2015-10-13	318
2015-10-14	273
2015-10-15	298
2015-10-16	278
2015-10-17	288
2015-10-18	477
2015-10-19	320
2015-10-20	319
2015-10-21	300
2015-10-22	368
2015-10-23	332
2015-10-24	295
2015-10-25	903
2015-10-26	395
2015-10-27	490
2015-10-28	386
2015-10-29	333
2015-10-30	313
2015-10-31	362
2015-11-01	616
2015-11-02	311
2015-11-03	273
2015-11-04	252
2015-11-05	250
2015-11-06	264
2015-11-07	396
2015-11-08	667
2015-11-09	415
2015-11-10	282
2015-11-11	408
2015-11-12	351
2015-11-13	365
2015-11-14	270
2015-11-15	602
2015-11-16	350
2015-11-17	252
2015-11-18	334
2015-11-19	276
2015-11-20	219
2015-11-21	287
2015-11-22	537
2015-11-23	297
2015-11-24	287
2015-11-25	231
2015-11-26	244
2015-11-27	334
2015-11-28	263
2015-11-29	483
2015-11-30	325
2015-12-01	346
2015-12-02	249
2015-12-03	233
2015-12-04	271
2015-12-05	487
2015-12-06	550
2015-12-07	368
2015-12-08	224
2015-12-09	190
2015-12-10	253
2015-12-11	202
2015-12-12	245
2015-12-13	265
2015-12-14	253
2015-12-15	227
2015-12-16	242
2015-12-17	193
2015-12-18	241
2015-12-19	251
2015-12-20	383
2015-12-21	241
2015-12-22	209
2015-12-23	236
2015-12-24	285
2015-12-25	257
2015-12-26	200
2015-12-27	386
2015-12-28	215
2015-12-29	223
2015-12-30	218
2015-12-31	211
2016-01-01	188
2016-01-02	159
2016-01-03	195
2016-01-04	206
2016-01-05	187
2016-01-06	206
2016-01-07	212
2016-01-08	253
2016-01-09	212
2016-01-10	790
2016-01-11	286
2016-01-12	234
2016-01-13	214
2016-01-14	193
2016-01-15	274
2016-01-16	338
2016-01-17	863
2016-01-18	327
2016-01-19	202
2016-01-20	210
2016-01-21	228
2016-01-22	211
2016-01-23	214
2016-01-24	352
2016-01-25	249
2016-01-26	215
2016-01-27	229
2016-01-28	241
2016-01-29	264
2016-01-30	269
2016-01-31	353
2016-02-01	218
2016-02-02	202
2016-02-03	237
2016-02-04	200
2016-02-05	212
2016-02-06	224
2016-02-07	256
2016-02-08	258
2016-02-09	242
2016-02-10	237
2016-02-11	244
2016-02-12	2039
2016-02-13	548
2016-02-14	530
2016-02-15	337
2016-02-16	326
2016-02-17	270
2016-02-18	221
2016-02-19	367
2016-02-20	322
2016-02-21	1309
2016-02-22	416
2016-02-23	279
2016-02-24	326
2016-02-25	238
2016-02-26	355
2016-02-27	460
2016-02-28	10719
2016-02-29	2182
2016-03-01	1081
2016-03-02	743
2016-03-03	530
2016-03-04	490
2016-03-05	445
2016-03-06	2119
2016-03-07	480
2016-03-08	407
2016-03-09	383
2016-03-10	353
2016-03-11	367
2016-03-12	293
2016-03-13	1249
2016-03-14	673
2016-03-15	783
2016-03-16	471
2016-03-17	300
2016-03-18	298
2016-03-19	245
2016-03-20	625
2016-03-21	508
2016-03-22	610
2016-03-23	337
2016-03-24	297
2016-03-25	262
2016-03-26	296
2016-03-27	667
2016-03-28	406
2016-03-29	420
2016-03-30	519
2016-03-31	416
2016-04-01	287
2016-04-02	280
2016-04-03	246
2016-04-04	262
2016-04-05	242
2016-04-06	248
2016-04-07	280
2016-04-08	265
2016-04-09	257
2016-04-10	298
2016-04-11	233
2016-04-12	249
2016-04-13	231
2016-04-14	221
2016-04-15	215
2016-04-16	236
2016-04-17	301
2016-04-18	261
2016-04-19	271
2016-04-20	230
2016-04-21	265
2016-04-22	313
2016-04-23	314
2016-04-24	369
2016-04-25	250
2016-04-26	341
2016-04-27	321
2016-04-28	227
2016-04-29	270
2016-04-30	298
2016-05-01	231
2016-05-02	225
2016-05-03	240
2016-05-04	237
2016-05-05	224
2016-05-06	277
2016-05-07	205
2016-05-08	253
2016-05-09	228
2016-05-10	222
2016-05-11	254
2016-05-12	241
2016-05-13	221
2016-05-14	222
2016-05-15	216
2016-05-16	313
2016-05-17	233
2016-05-18	231
2016-05-19	225
2016-05-20	216
2016-05-21	201
2016-05-22	221
2016-05-23	245
2016-05-24	263
2016-05-25	210
2016-05-26	216
2016-05-27	222
2016-05-28	802
2016-05-29	283
2016-05-30	311
2016-05-31	226
