date	freq
2015-06-01	8
2015-06-02	3
2015-06-03	5
2015-06-04	14
2015-06-05	4
2015-06-06	11
2015-06-07	9
2015-06-08	8
2015-06-09	13
2015-06-10	8
2015-06-11	5
2015-06-12	7
2015-06-13	11
2015-06-14	9
2015-06-15	7
2015-06-16	6
2015-06-17	8
2015-06-18	8
2015-06-19	10
2015-06-20	10
2015-06-21	7
2015-06-22	7
2015-06-23	6
2015-06-24	12
2015-06-25	5
2015-06-26	7
2015-06-27	8
2015-06-28	4
2015-06-29	5
2015-06-30	7
2015-07-01	5
2015-07-02	2
2015-07-03	9
2015-07-04	13
2015-07-05	14
2015-07-06	1
2015-07-07	11
2015-07-08	4
2015-07-09	8
2015-07-10	8
2015-07-11	9
2015-07-12	6
2015-07-13	5
2015-07-14	8
2015-07-15	6
2015-07-16	2
2015-07-17	5
2015-07-18	6
2015-07-19	11
2015-07-20	22
2015-07-21	7
2015-07-22	3
2015-07-23	5
2015-07-24	6
2015-07-25	10
2015-07-26	3
2015-07-27	9
2015-07-28	6
2015-07-29	4
2015-07-30	9
2015-07-31	13
2015-08-01	11
2015-08-02	7
2015-08-03	8
2015-08-04	10
2015-08-05	8
2015-08-06	11
2015-08-07	4
2015-08-08	9
2015-08-09	3
2015-08-10	9
2015-08-11	6
2015-08-12	5
2015-08-13	8
2015-08-14	2
2015-08-15	5
2015-08-16	2
2015-08-17	7
2015-08-18	5
2015-08-19	4
2015-08-20	2
2015-08-21	6
2015-08-22	8
2015-08-23	6
2015-08-24	6
2015-08-25	6
2015-08-26	3
2015-08-27	7
2015-08-28	5
2015-08-29	6
2015-08-30	2
2015-08-31	12
2015-09-01	7
2015-09-02	8
2015-09-03	6
2015-09-04	3
2015-09-05	8
2015-09-06	11
2015-09-07	9
2015-09-08	7
2015-09-09	11
2015-09-10	4
2015-09-11	5
2015-09-12	18
2015-09-13	13
2015-09-14	4
2015-09-15	9
2015-09-16	0
2015-09-17	2
2015-09-18	4
2015-09-19	12
2015-09-20	11
2015-09-21	5
2015-09-22	5
2015-09-23	2
2015-09-24	3
2015-09-25	3
2015-09-26	3
2015-09-27	3
2015-09-28	4
2015-09-29	5
2015-09-30	1
2015-10-01	3
2015-10-02	1
2015-10-03	2
2015-10-04	8
2015-10-05	9
2015-10-06	2
2015-10-07	5
2015-10-08	2
2015-10-09	5
2015-10-10	10
2015-10-11	1
2015-10-12	5
2015-10-13	5
2015-10-14	6
2015-10-15	3
2015-10-16	7
2015-10-17	4
2015-10-18	3
2015-10-19	7
2015-10-20	10
2015-10-21	8
2015-10-22	4
2015-10-23	6
2015-10-24	4
2015-10-25	1
2015-10-26	3
2015-10-27	7
2015-10-28	1
2015-10-29	5
2015-10-30	6
2015-10-31	3
2015-11-01	3
2015-11-02	3
2015-11-03	10
2015-11-04	3
2015-11-05	7
2015-11-06	5
2015-11-07	7
2015-11-08	10
2015-11-09	6
2015-11-10	5
2015-11-11	12
2015-11-12	10
2015-11-13	17
2015-11-14	14
2015-11-15	10
2015-11-16	27
2015-11-17	23
2015-11-18	14
2015-11-19	7
2015-11-20	11
2015-11-21	1
2015-11-22	8
2015-11-23	13
2015-11-24	9
2015-11-25	5
2015-11-26	6
2015-11-27	8
2015-11-28	3
2015-11-29	10
2015-11-30	3
2015-12-01	14
2015-12-02	5
2015-12-03	6
2015-12-04	10
2015-12-05	6
2015-12-06	2
2015-12-07	6
2015-12-08	3
2015-12-09	9
2015-12-10	3
2015-12-11	8
2015-12-12	4
2015-12-13	4
2015-12-14	6
2015-12-15	1
2015-12-16	4
2015-12-17	5
2015-12-18	7
2015-12-19	9
2015-12-20	3
2015-12-21	2
2015-12-22	8
2015-12-23	2
2015-12-24	5
2015-12-25	6
2015-12-26	7
2015-12-27	10
2015-12-28	2
2015-12-29	7
2015-12-30	2
2015-12-31	2
2016-01-01	3
2016-01-02	1
2016-01-03	0
2016-01-04	6
2016-01-05	8
2016-01-06	11
2016-01-07	2
2016-01-08	6
2016-01-09	4
2016-01-10	12
2016-01-11	5
2016-01-12	4
2016-01-13	5
2016-01-14	5
2016-01-15	10
2016-01-16	11
2016-01-17	6
2016-01-18	11
2016-01-19	8
2016-01-20	4
2016-01-21	6
2016-01-22	3
2016-01-23	10
2016-01-24	5
2016-01-25	4
2016-01-26	3
2016-01-27	5
2016-01-28	2
2016-01-29	9
2016-01-30	10
2016-01-31	7
2016-02-01	3
2016-02-02	8
2016-02-03	12
2016-02-04	6
2016-02-05	9
2016-02-06	6
2016-02-07	7
2016-02-08	3
2016-02-09	1
2016-02-10	14
2016-02-11	12
2016-02-12	5
2016-02-13	20
2016-02-14	6
2016-02-15	8
2016-02-16	16
2016-02-17	11
2016-02-18	17
2016-02-19	6
2016-02-20	19
2016-02-21	9
2016-02-22	7
2016-02-23	11
2016-02-24	12
2016-02-25	11
2016-02-26	8
2016-02-27	11
2016-02-28	4
2016-02-29	1
2016-03-01	3
2016-03-02	9
2016-03-03	5
2016-03-04	6
2016-03-05	6
2016-03-06	12
2016-03-07	3
2016-03-08	10
2016-03-09	6
2016-03-10	5
2016-03-11	7
2016-03-12	9
2016-03-13	5
2016-03-14	4
2016-03-15	9
2016-03-16	9
2016-03-17	4
2016-03-18	12
2016-03-19	7
2016-03-20	10
2016-03-21	3
2016-03-22	19
2016-03-23	10
2016-03-24	6
2016-03-25	8
2016-03-26	4
2016-03-27	5
2016-03-28	5
2016-03-29	8
2016-03-30	16
2016-03-31	7
2016-04-01	5
2016-04-02	8
2016-04-03	4
2016-04-04	14
2016-04-05	11
2016-04-06	19
2016-04-07	3
2016-04-08	12
2016-04-09	2
2016-04-10	8
2016-04-11	7
2016-04-12	15
2016-04-13	12
2016-04-14	21
2016-04-15	9
2016-04-16	11
2016-04-17	15
2016-04-18	8
2016-04-19	5
2016-04-20	8
2016-04-21	5
2016-04-22	12
2016-04-23	14
2016-04-24	2
2016-04-25	9
2016-04-26	3
2016-04-27	2
2016-04-28	7
2016-04-29	10
2016-04-30	9
2016-05-01	9
2016-05-02	12
2016-05-03	12
2016-05-04	5
2016-05-05	5
2016-05-06	10
2016-05-07	5
2016-05-08	19
2016-05-09	10
2016-05-10	12
2016-05-11	11
2016-05-12	7
2016-05-13	5
2016-05-14	9
2016-05-15	9
2016-05-16	6
2016-05-17	8
2016-05-18	8
2016-05-19	18
2016-05-20	7
2016-05-21	7
2016-05-22	12
2016-05-23	2
2016-05-24	8
2016-05-25	5
2016-05-26	7
2016-05-27	4
2016-05-28	15
2016-05-29	11
2016-05-30	5
2016-05-31	10
