date	freq
2015-06-01	235
2015-06-02	220
2015-06-03	284
2015-06-04	261
2015-06-05	256
2015-06-06	225
2015-06-07	231
2015-06-08	262
2015-06-09	249
2015-06-10	231
2015-06-11	217
2015-06-12	187
2015-06-13	219
2015-06-14	262
2015-06-15	196
2015-06-16	199
2015-06-17	214
2015-06-18	244
2015-06-19	253
2015-06-20	183
2015-06-21	217
2015-06-22	215
2015-06-23	186
2015-06-24	200
2015-06-25	191
2015-06-26	191
2015-06-27	153
2015-06-28	160
2015-06-29	168
2015-06-30	153
2015-07-01	185
2015-07-02	155
2015-07-03	169
2015-07-04	207
2015-07-05	174
2015-07-06	231
2015-07-07	199
2015-07-08	216
2015-07-09	222
2015-07-10	189
2015-07-11	178
2015-07-12	156
2015-07-13	190
2015-07-14	198
2015-07-15	162
2015-07-16	156
2015-07-17	164
2015-07-18	155
2015-07-19	141
2015-07-20	167
2015-07-21	201
2015-07-22	159
2015-07-23	192
2015-07-24	261
2015-07-25	225
2015-07-26	214
2015-07-27	176
2015-07-28	207
2015-07-29	192
2015-07-30	159
2015-07-31	153
2015-08-01	146
2015-08-02	158
2015-08-03	168
2015-08-04	179
2015-08-05	147
2015-08-06	169
2015-08-07	186
2015-08-08	154
2015-08-09	158
2015-08-10	157
2015-08-11	177
2015-08-12	166
2015-08-13	179
2015-08-14	209
2015-08-15	148
2015-08-16	167
2015-08-17	166
2015-08-18	163
2015-08-19	181
2015-08-20	184
2015-08-21	167
2015-08-22	183
2015-08-23	189
2015-08-24	198
2015-08-25	161
2015-08-26	159
2015-08-27	168
2015-08-28	158
2015-08-29	152
2015-08-30	171
2015-08-31	171
2015-09-01	156
2015-09-02	151
2015-09-03	161
2015-09-04	142
2015-09-05	172
2015-09-06	198
2015-09-07	201
2015-09-08	151
2015-09-09	166
2015-09-10	161
2015-09-11	134
2015-09-12	147
2015-09-13	179
2015-09-14	167
2015-09-15	178
2015-09-16	164
2015-09-17	164
2015-09-18	166
2015-09-19	148
2015-09-20	184
2015-09-21	213
2015-09-22	159
2015-09-23	162
2015-09-24	167
2015-09-25	153
2015-09-26	167
2015-09-27	170
2015-09-28	170
2015-09-29	140
2015-09-30	160
2015-10-01	178
2015-10-02	192
2015-10-03	149
2015-10-04	152
2015-10-05	174
2015-10-06	178
2015-10-07	174
2015-10-08	170
2015-10-09	164
2015-10-10	168
2015-10-11	190
2015-10-12	182
2015-10-13	148
2015-10-14	154
2015-10-15	165
2015-10-16	162
2015-10-17	148
2015-10-18	158
2015-10-19	160
2015-10-20	207
2015-10-21	198
2015-10-22	236
2015-10-23	156
2015-10-24	212
2015-10-25	235
2015-10-26	177
2015-10-27	152
2015-10-28	162
2015-10-29	162
2015-10-30	148
2015-10-31	156
2015-11-01	162
2015-11-02	158
2015-11-03	170
2015-11-04	214
2015-11-05	301
2015-11-06	298
2015-11-07	264
2015-11-08	268
2015-11-09	224
2015-11-10	228
2015-11-11	277
2015-11-12	165
2015-11-13	164
2015-11-14	176
2015-11-15	154
2015-11-16	160
2015-11-17	160
2015-11-18	220
2015-11-19	213
2015-11-20	201
2015-11-21	206
2015-11-22	173
2015-11-23	187
2015-11-24	195
2015-11-25	154
2015-11-26	153
2015-11-27	144
2015-11-28	149
2015-11-29	181
2015-11-30	181
2015-12-01	186
2015-12-02	184
2015-12-03	232
2015-12-04	287
2015-12-05	249
2015-12-06	192
